training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
2.257329,-2.257329,0.41945207,1.0,0.111911215,-0.10716985,2.2184546,2.2587695,-2.2587695,0.42089245,1.0,0.027467033529281617,137.33517861366272,5000
2.2235498,-2.2235498,0.385673,1.0,0.06628888,-0.051486492,1.4435831,2.2298727,-2.2298727,0.3919959,1.0,0.0007788570880889892,141.22946906089783,10000
2.2458506,-2.2458506,0.4079736,1.0,0.100742385,-0.088005126,2.0602481,2.2234454,-2.2234454,0.3855684,1.0,0.00077654128074646,145.1121802330017,15000
2.2418003,-2.2418003,0.4039234,1.0,0.13888545,-0.10853999,2.0491157,2.2311828,-2.2311828,0.39330563,1.0,0.0007736443042755126,148.98040676116943,20000
2.200769,-2.200769,0.36289197,1.0,0.0605202,-0.1661056,1.9220428,2.2282548,-2.2282548,0.39037782,1.0,0.0007749290466308594,152.8550567626953,25000
2.2191372,-2.2191372,0.38126034,1.0,0.07704176,-0.10921353,1.7570215,2.2277079,-2.2277079,0.38983104,1.0,0.0007784866333007813,156.74749445915222,30000
2.2102485,-2.2102485,0.37237146,1.0,0.18726906,-0.08116184,2.2935414,2.2509575,-2.2509575,0.41308063,1.0,0.0007768548488616944,160.63177371025085,35000
2.224885,-2.224885,0.387008,1.0,0.11132451,-0.08296063,2.092325,2.2104359,-2.2104359,0.37255895,1.0,0.0007750033378601074,164.50679516792297,40000
2.2250476,-2.2250476,0.38717052,1.0,0.15480405,-0.14867584,2.649657,2.212886,-2.212886,0.37500912,1.0,0.0007717761039733887,168.36567997932434,45000
2.1998372,-2.1998372,0.36196002,1.0,0.102194205,-0.14320706,2.1235342,2.1999805,-2.1999805,0.36210334,1.0,0.0007737627029418946,172.23449850082397,50000
2.2221394,-2.2221394,0.38426226,1.0,0.16042952,-0.12486917,2.5470421,2.1997933,-2.1997933,0.36191636,1.0,0.0007753262042999267,176.1111340522766,55000
2.1879792,-2.1879792,0.35010237,1.0,0.15471895,-0.124926955,2.0149157,2.2011914,-2.2011914,0.36331442,1.0,0.0007776293754577637,179.99928617477417,60000
2.2115955,-2.2115955,0.37371847,1.0,0.14548121,-0.12510301,2.6705134,2.2344382,-2.2344382,0.39656126,1.0,0.0007872475624084472,183.9355285167694,65000
2.2200677,-2.2200677,0.38219064,1.0,0.11149626,-0.17984895,2.295468,2.226679,-2.226679,0.38880223,1.0,0.0007728580474853516,187.79982352256775,70000
2.207355,-2.207355,0.36947817,1.0,0.14302048,-0.20019798,2.1416957,2.2280772,-2.2280772,0.39020008,1.0,0.0007995828151702881,191.79774284362793,75000
2.219388,-2.219388,0.3815109,1.0,0.15377636,-0.08795424,2.1333032,2.2089221,-2.2089221,0.37104493,1.0,0.0007751428127288818,195.67346167564392,80000
2.190053,-2.190053,0.3521759,1.0,0.1279293,-0.08915034,1.7793329,2.211206,-2.211206,0.3733292,1.0,0.0007749942779541016,199.54843735694885,85000
2.2177482,-2.2177482,0.37987143,1.0,0.13937825,-0.13849881,2.4475598,2.2179012,-2.2179012,0.38002443,1.0,0.0007766987800598144,203.43193674087524,90000
2.2067945,-2.2067945,0.36891744,1.0,0.10611199,-0.08677577,1.6173143,2.2017217,-2.2017217,0.3638448,1.0,0.0007756144046783448,207.31001329421997,95000
2.189519,-2.189519,0.3516419,1.0,0.09807919,-0.068872236,1.4922724,2.1989627,-2.1989627,0.36108577,1.0,0.0007744144439697266,211.1820900440216,100000
2.1844473,-2.1844473,0.34657016,1.0,0.15595464,-0.14125064,2.186345,2.2132778,-2.2132778,0.37540084,1.0,0.022551975536346434,323.9419720172882,105000
2.2056499,-2.2056499,0.36777282,1.0,0.13905644,-0.13436481,1.6530353,2.2132635,-2.2132635,0.3753863,1.0,0.0007890615940093994,327.88728499412537,110000
2.2251048,-2.2251048,0.38722798,1.0,0.1547271,-0.11915281,2.9090145,2.2044153,-2.2044153,0.36653847,1.0,0.0007881181240081787,331.82788038253784,115000
2.2047036,-2.2047036,0.36682665,1.0,0.16627383,-0.16953188,3.3982804,2.2063813,-2.2063813,0.36850426,1.0,0.0007906254768371582,335.78101229667664,120000
2.1880512,-2.1880512,0.35017443,1.0,0.08644131,-0.102202855,1.5124589,2.2042668,-2.2042668,0.36638963,1.0,0.0007907232761383057,339.73463344573975,125000
2.200408,-2.200408,0.3625309,1.0,0.12504756,-0.20011891,2.1105864,2.2167964,-2.2167964,0.3789194,1.0,0.0007885879516601563,343.6775782108307,130000
2.189621,-2.189621,0.35174376,1.0,0.18979329,-0.13910502,3.1527476,2.2088704,-2.2088704,0.37099332,1.0,0.0007877607822418213,347.6163866519928,135000
2.1986938,-2.1986938,0.36081666,1.0,0.11150989,-0.13613799,2.40408,2.2097702,-2.2097702,0.37189317,1.0,0.0007861100196838379,351.54694175720215,140000
2.1963959,-2.1963959,0.35851884,1.0,0.2549518,-0.10117502,2.4109006,2.2113116,-2.2113116,0.37343454,1.0,0.0007868447303771973,355.4811701774597,145000
