training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.0362114,-12.070477,0.03621143,1.1797421,25.918915,0.99999994,-25.918915,1.0,0.99902344,0.0625,0.0052146805,-23.897457,-23.916515,-4.398286,1.7230829,0.02039479,5.892714e-06,0.0038569919,-0.002725527,0.067235574,1.0358571,-11.9523945,0.035857182,1.1502216,25.46039,0.99999994,-25.46039,1.0,0.99902344,0.06640625,0.0052254475,-24.057377,-24.076675,-4.314519,1.1195207,0.021925133,8.071902e-06,0.048174596977233884,240.87300753593445,5000
1.0347697,-11.589903,0.034769706,1.0595987,22.156773,0.99999994,-22.156773,1.0,0.99902916,0.11425781,0.004955887,-21.803185,-21.820534,-4.054951,3.7242582,0.05476257,1.15012426e-07,0.0020393243,-0.0017055401,0.04334528,1.0350245,-11.674868,0.0350246,1.0808396,22.043812,0.99999994,-22.043812,1.0,0.99902534,0.12011719,0.00491682,-21.633175,-21.65035,-4.0632915,19.235405,0.08101365,1.0353996e-05,0.002046228504180908,251.1041557788849,10000
1.0346202,-11.540111,0.034620333,1.0471506,16.074165,0.9999998,-16.074165,1.0,0.9990387,0.140625,0.0049123643,-15.815565,-15.82713,-3.9843364,17.26007,0.105706125,1.0206197e-05,0.0017258006,-0.0016884027,0.04398044,1.0345569,-11.518995,0.03455699,1.0418719,16.152605,0.9999999,-16.152605,1.0,0.99902916,0.14355469,0.004793234,-16.106842,-16.118773,-3.9060469,16.418356,0.14409068,7.714982e-06,0.002046460437774658,261.3364632129669,15000
1.0340232,-11.341097,0.034023292,0.99739724,13.9265995,0.9999999,-13.9265995,1.0,0.99903965,0.14355469,0.004860225,-13.817743,-13.827418,-3.9200618,31.912382,0.18652034,8.066908e-06,0.0010839916,-0.0017614979,0.03618987,1.0335538,-11.184612,0.03355384,0.95827615,13.7983055,0.99999994,-13.7983055,1.0,0.99902725,0.13476562,0.004897411,-13.903635,-13.913325,-3.990123,31.678038,0.16795272,9.095707e-06,0.0020374060153961183,271.5234980583191,20000
1.0336411,-11.213695,0.033641085,0.96554667,13.58143,1.0,-13.58143,1.0,0.99904156,0.16503906,0.0047650295,-13.344609,-13.353895,-3.8450458,132.91989,0.25669378,9.187557e-07,0.0010222312,-0.0011141424,0.028645232,1.0337584,-11.252829,0.033758484,0.9753301,13.286203,0.99999994,-13.286203,1.0,0.9990349,0.15332031,0.004780473,-13.272371,-13.281582,-3.8501549,47.34177,0.17805094,9.218033e-06,0.0020454263687133788,281.7506351470947,25000
1.0337434,-11.247831,0.033743497,0.9740809,13.139721,0.9999999,-13.139721,1.0,0.9990492,0.16601562,0.0048007066,-13.109328,-13.118348,-3.8816059,61.773212,0.25767177,4.704235e-05,0.0010626294,-0.0010830852,0.03053481,1.0335033,-11.16778,0.03350334,0.95406795,13.062429,0.99999994,-13.062429,1.0,0.99900913,0.12695312,0.0049393075,-13.009552,-13.018434,-3.9240327,154.5456,0.49015984,9.582879e-06,0.0020419873237609862,291.9605779647827,30000
1.0338435,-11.2811575,0.033843473,0.98241246,13.354596,1.0,-13.354596,1.0,0.9990444,0.17089844,0.0047633033,-13.041941,-13.050983,-3.790497,159.43315,0.4002263,3.0412533e-05,0.0014475556,-0.0015300555,0.03571146,1.0336748,-11.224947,0.03367484,0.96835977,13.203182,1.0,-13.203182,1.0,0.9990368,0.15722656,0.004788954,-13.084591,-13.093551,-3.9189725,228.96234,0.446118,7.817761e-06,0.0020332128047943114,302.12664699554443,35000
1.0339442,-11.314756,0.03394427,0.99081206,13.427652,0.99999994,-13.427652,1.0,0.99905014,0.171875,0.004701253,-13.47329,-13.4828005,-3.743917,84.12055,0.44258067,9.261315e-06,0.0013924118,-0.0017841836,0.0361193,1.0340297,-11.343254,0.03402976,0.99793637,13.422069,0.99999994,-13.422069,1.0,0.9990368,0.14941406,0.004818199,-13.176264,-13.185333,-3.8995547,299.44534,0.37587214,1.9562838e-05,0.00204087495803833,312.33102679252625,40000
1.0345306,-11.510224,0.03453067,1.039679,13.454168,0.99999994,-13.454168,1.0,0.99904346,0.17382812,0.004676357,-13.388583,-13.3980465,-3.7076275,28.466167,0.24624555,1.4274256e-05,0.0014440515,-0.0014092986,0.03783233,1.0344362,-11.478748,0.03443625,1.0318102,13.472454,0.99999994,-13.472454,1.0,0.9990225,0.16503906,0.0048404876,-13.39815,-13.407514,-3.8199153,38.795258,0.2721955,1.7923983e-05,0.0020477516651153565,322.56979036331177,45000
1.0341154,-11.371803,0.034115408,1.0050735,13.848027,1.0,-13.848027,1.0,0.99905586,0.20019531,0.004543406,-13.561708,-13.571512,-3.5313144,274.6338,0.7318939,1.3819601e-05,0.0011165331,-0.0019800449,0.032959994,1.0341619,-11.387348,0.03416204,1.00896,13.325585,0.99999994,-13.325585,1.0,0.9990225,0.13769531,0.004915475,-13.353482,-13.36276,-3.8616009,50.75635,0.32677656,2.9143357e-06,0.0020352957248687743,332.74627566337585,50000
1.0341794,-11.393171,0.034179516,1.0104159,13.807098,0.9999999,-13.807098,1.0,0.9990454,0.15722656,0.004752294,-13.557243,-13.56678,-3.8013084,113.410965,0.44334027,3.4952637e-07,0.0011394442,-0.0015725289,0.035341166,1.0342772,-11.425755,0.03427726,1.0185614,13.810444,0.9999999,-13.810444,1.0,0.99903107,0.16699219,0.0048647397,-13.624279,-13.633824,-3.8583922,102.753395,0.5503378,6.628365e-06,0.002039801073074341,342.94528579711914,55000
1.0345943,-11.531433,0.034594297,1.044981,13.7479515,0.99999994,-13.7479515,1.0,0.9990463,0.15527344,0.0047177156,-13.721256,-13.730967,-3.7860556,93.472496,0.4101916,1.0580749e-05,0.0014293598,-0.00090700475,0.03127763,1.0343413,-11.44714,0.034341425,1.0239081,13.815388,0.99999994,-13.815388,1.0,0.9990225,0.15136719,0.00492453,-13.583885,-13.593368,-3.8840077,58.65316,0.35777497,8.283624e-06,0.0020521064281463623,353.20582246780396,60000
1.0345299,-11.509956,0.03452987,1.0396119,14.146812,1.0,-14.146812,1.0,0.99905205,0.18066406,0.004673266,-13.803222,-13.813084,-3.7151237,94.0914,0.40795714,1.5019959e-05,0.0016809131,-0.0014587606,0.043546434,1.0338186,-11.411869,0.034235604,1.0150902,13.977261,0.99958295,-13.971432,1.0,0.99902725,0.16308594,0.004822174,-13.81739,-13.827233,-3.7478118,190.74846,0.8229355,2.5365784e-05,0.002034591293334961,363.3787841796875,65000
1.0344443,-11.481442,0.03444433,1.0324836,14.262767,1.0,-14.262767,1.0,0.99905586,0.18164062,0.0046144123,-14.154012,-14.164249,-3.6806746,51.170418,0.41699532,2.7862448e-05,0.0012603286,-0.0015621163,0.038098373,1.0341358,-11.378636,0.034135908,1.006782,14.294147,0.99999994,-14.294147,1.0,0.9990206,0.17382812,0.0048205988,-13.9618225,-13.971793,-3.7618928,105.955,0.544969,1.1927507e-05,0.002041540861129761,373.5864942073822,70000
1.0340273,-11.342451,0.034027353,0.99773556,14.240398,0.99999994,-14.240398,1.0,0.9990473,0.17089844,0.0046659373,-13.895451,-13.905409,-3.7076492,79.20579,0.4965589,1.2588819e-05,0.0013736142,-0.0014381795,0.03777451,1.0340489,-11.349676,0.034049027,0.99954176,14.015369,0.99999994,-14.015369,1.0,0.99902916,0.15429688,0.0048630135,-13.915683,-13.925499,-3.8756268,1003.20953,1.3170817,6.569746e-07,0.002047173023223877,383.82236528396606,75000
1.0339576,-11.319233,0.033957697,0.99193114,14.17621,0.99999994,-14.17621,1.0,0.99905014,0.17578125,0.0046442347,-13.870907,-13.880865,-3.6840394,107.467804,0.5452659,3.6495196e-06,0.0014653398,-0.0010606229,0.0359788,1.034356,-11.451986,0.03435596,1.0251197,14.244634,1.0,-14.244634,1.0,0.99902344,0.18554688,0.0047273096,-14.155197,-14.165441,-3.6771028,178.58,0.88636124,6.76636e-06,0.002035224151611328,393.99849104881287,80000
1.0344548,-11.484981,0.03445494,1.0333681,14.0618725,0.99999994,-14.0618725,1.0,0.99904156,0.18945312,0.004613868,-13.970099,-13.980195,-3.6429145,97.77196,0.44678462,2.5870715e-05,0.001683914,-0.001278924,0.038893074,1.0343952,-11.465074,0.034395218,1.0283912,14.355513,1.0,-14.355513,1.0,0.9990339,0.15039062,0.0048760055,-13.950562,-13.960395,-3.891415,163.6093,0.62404436,7.4350787e-06,0.0020409695148468016,404.20334362983704,85000
1.0341516,-11.3839,0.034151703,1.0080978,14.122723,0.9999999,-14.122723,1.0,0.9990549,0.21679688,0.0045482325,-14.03396,-14.044208,-3.5503292,1128.2411,1.1801374,4.160581e-05,0.001243608,-0.0013131697,0.038454834,1.0339619,-11.320625,0.033961877,0.9922795,14.090742,1.0,-14.090742,1.0,0.99902534,0.1796875,0.0047944193,-13.939049,-13.948954,-3.8078065,143.3493,0.5708775,5.8929168e-06,0.0020454925060272217,414.4308109283447,90000
1.034575,-11.525024,0.03457507,1.043379,14.441171,0.9999999,-14.441171,1.0,0.99904156,0.17578125,0.00463691,-14.134974,-14.14519,-3.683638,266.74985,0.6309231,4.4966233e-05,0.0018224576,-0.001342014,0.035640176,1.0337702,-11.2567425,0.03377023,0.9763087,14.631985,0.99999994,-14.631985,1.0,0.99903965,0.1796875,0.0047259787,-14.181179,-14.191392,-3.7338538,463.4463,1.3172916,1.63613e-05,0.0020386627197265623,424.6241292953491,95000
1.0337862,-11.262077,0.033786234,0.9776424,14.209747,1.0,-14.209747,1.0,0.9990492,0.19140625,0.0045983475,-14.084904,-14.09512,-3.6345131,702.68335,0.86979866,1.6423089e-06,0.0014188056,-0.0012745312,0.035308253,1.0341345,-11.378206,0.03413462,1.0066748,14.25396,0.99999994,-14.25396,1.0,0.9990282,0.16015625,0.004854303,-14.149281,-14.159371,-3.8267498,2217.6887,1.882335,2.0012609e-05,0.002035910654067993,434.80368757247925,100000
1.0344896,-11.49655,0.034489647,1.0362604,14.344242,1.0,-14.344242,1.0,0.9990473,0.17675781,0.0045341076,-14.206377,-14.216778,-3.566173,156.83636,0.6114883,6.8430425e-05,0.0014155378,-0.0017847175,0.03640102,1.0342007,-11.400236,0.034200706,1.012182,14.406395,1.0,-14.406395,1.0,0.9990339,0.15625,0.0048164017,-14.282926,-14.293275,-3.6952069,1347.9797,2.6233976,1.8755167e-06,0.04400644464492798,654.8359160423279,105000
