training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.3303795,-9.3303795,0.494718,1.0,0.0794642,-0.07091227,1.7695323,9.244635,-9.244635,0.47328156,1.0,0.04252574319839478,212.6287341117859,5000
9.245371,-9.245371,0.4734655,1.0,0.07356559,-0.04854666,1.345877,9.314358,-9.314358,0.49071229,1.0,0.0012047799587249755,218.65264058113098,10000
9.301382,-9.301382,0.48746842,1.0,0.048445903,-0.05855265,1.3064342,9.271845,-9.271845,0.48008412,1.0,0.0012342580318450928,224.82393550872803,15000
9.297173,-9.297173,0.4864161,1.0,0.053094033,-0.069896385,1.2936207,9.245989,-9.245989,0.47362018,1.0,0.0012064167976379395,230.8560242652893,20000
9.259944,-9.259944,0.47710878,1.0,0.040240847,-0.03756347,1.0882039,9.291986,-9.291986,0.48511946,1.0,0.0012081063270568849,236.8965606689453,25000
9.269432,-9.269432,0.4794809,1.0,0.05992594,-0.05941181,1.3281487,9.314521,-9.314521,0.49075323,1.0,0.0011963927745819091,242.87852931022644,30000
9.23654,-9.23654,0.47125775,1.0,0.046018537,-0.049788132,1.1150787,9.301141,-9.301141,0.48740828,1.0,0.0012056096076965331,248.90658354759216,35000
9.239656,-9.239656,0.47203702,1.0,0.083233446,-0.07213887,1.4395338,9.294048,-9.294048,0.4856351,1.0,0.001214936637878418,254.9812717437744,40000
9.221518,-9.221518,0.46750218,1.0,0.046306252,-0.053312235,1.1580389,9.271528,-9.271528,0.48000515,1.0,0.0012082076072692871,261.022314786911,45000
9.233063,-9.233063,0.47038877,1.0,0.04569659,-0.05470861,1.205269,9.272265,-9.272265,0.48018932,1.0,0.0012014359951019286,267.02949953079224,50000
9.246899,-9.246899,0.4738477,1.0,0.05972083,-0.060265422,1.2873636,9.260837,-9.260837,0.47733212,1.0,0.0012106926918029786,273.0829677581787,55000
9.295696,-9.295696,0.48604712,1.0,0.03632375,-0.05680275,1.185939,9.26206,-9.26206,0.47763813,1.0,0.0012077582836151123,279.12176418304443,60000
9.26178,-9.26178,0.477568,1.0,0.06635739,-0.05267544,1.2540073,9.309188,-9.309188,0.48941985,1.0,0.0012114775657653808,285.1791570186615,65000
9.235746,-9.235746,0.4710595,1.0,0.050414175,-0.05452694,1.2334718,9.292457,-9.292457,0.48523703,1.0,0.0012108043670654297,291.2331838607788,70000
9.275222,-9.275222,0.48092857,1.0,0.055270847,-0.058760915,1.3233588,9.298468,-9.298468,0.48673987,1.0,0.001196973705291748,297.2180573940277,75000
9.253708,-9.253708,0.47554976,1.0,0.06250186,-0.052854173,1.2365351,9.273469,-9.273469,0.48049027,1.0,0.0011952937126159667,303.19453048706055,80000
9.272207,-9.272207,0.48017472,1.0,0.060500324,-0.070128225,1.30948,9.277552,-9.277552,0.4815107,1.0,0.0012025955677032471,309.2075128555298,85000
9.193197,-9.193197,0.46042222,1.0,0.054333914,-0.061787356,1.2408544,9.269764,-9.269764,0.47956395,1.0,0.0012088905334472655,315.2519702911377,90000
9.246564,-9.246564,0.47376376,1.0,0.085280605,-0.07164329,1.2907268,9.252398,-9.252398,0.47522232,1.0,0.0012152696132659913,321.32832312583923,95000
9.214477,-9.214477,0.46574214,1.0,0.052084595,-0.07737827,1.2562363,9.265554,-9.265554,0.4785114,1.0,0.0012007837295532227,327.3322467803955,100000
9.2591,-9.2591,0.4768979,1.0,0.055892266,-0.05453413,1.3689356,9.237254,-9.237254,0.47143656,1.0,0.0418535861492157,536.6001822948456,105000
9.21957,-9.21957,0.46701527,1.0,0.0568639,-0.0628685,1.3196803,9.283274,-9.283274,0.4829414,1.0,0.001203982448577881,542.6200995445251,110000
9.235408,-9.235408,0.470975,1.0,0.099361286,-0.065331526,1.4143051,9.251255,-9.251255,0.47493684,1.0,0.0012107519626617432,548.6738641262054,115000
9.231028,-9.231028,0.46987984,1.0,0.048761286,-0.043125898,1.2634891,9.242862,-9.242862,0.47283852,1.0,0.0012014341831207275,554.6810400485992,120000
9.252931,-9.252931,0.47535568,1.0,0.057725973,-0.06451544,1.3460661,9.272413,-9.272413,0.48022625,1.0,0.001180735731124878,560.5847234725952,125000
9.196791,-9.196791,0.46132067,1.0,0.07584477,-0.053451333,1.3503557,9.300677,-9.300677,0.4872923,1.0,0.0012161694049835205,566.665575504303,130000
9.255257,-9.255257,0.47593722,1.0,0.055098344,-0.06421627,1.4328794,9.230714,-9.230714,0.46980134,1.0,0.001205175828933716,572.6914594173431,135000
9.229524,-9.229524,0.46950388,1.0,0.060322937,-0.04901683,1.3211763,9.272821,-9.272821,0.48032844,1.0,0.0011912039279937743,578.6474840641022,140000
9.243022,-9.243022,0.47287852,1.0,0.059720077,-0.07198536,1.4655875,9.277086,-9.277086,0.4813944,1.0,0.0012012953758239746,584.653965473175,145000
9.230162,-9.230162,0.46966353,1.0,0.04980214,-0.1033452,1.4140241,9.262126,-9.262126,0.47765458,1.0,0.0011873650074005126,590.5907952785492,150000
9.217234,-9.217234,0.4664315,1.0,0.059137672,-0.0540528,1.3749478,9.292448,-9.292448,0.48523512,1.0,0.0011978182315826415,596.5798916816711,155000
9.206829,-9.206829,0.46383014,1.0,0.061019614,-0.06620922,1.4413981,9.300336,-9.300336,0.487207,1.0,0.001221062707901001,602.6852099895477,160000
9.215281,-9.215281,0.46594316,1.0,0.085769325,-0.06520243,1.5352082,9.291696,-9.291696,0.48504686,1.0,0.0011977920532226564,608.6741752624512,165000
9.264185,-9.264185,0.47816926,1.0,0.06444366,-0.09424496,1.4777862,9.241068,-9.241068,0.47238988,1.0,0.0011875298500061036,614.611829996109,170000
9.231078,-9.231078,0.4698924,1.0,0.05317184,-0.06907678,1.4784101,9.327408,-9.327408,0.49397483,1.0,0.0012017270565032958,620.6204702854156,175000
9.261431,-9.261431,0.47748065,1.0,0.053551916,-0.06076231,1.3681096,9.301958,-9.301958,0.4876125,1.0,0.0011893935680389405,626.5674428939819,180000
9.205809,-9.205809,0.46357507,1.0,0.06029629,-0.07499662,1.4752434,9.280347,-9.280347,0.48220962,1.0,0.0012157858371734619,632.646377325058,185000
9.215462,-9.215462,0.46598858,1.0,0.07067781,-0.0577368,1.4252808,9.266764,-9.266764,0.47881377,1.0,0.001210877275466919,638.7007691860199,190000
9.209846,-9.209846,0.46458423,1.0,0.05628162,-0.04512284,1.3795754,9.275431,-9.275431,0.48098072,1.0,0.001201250171661377,644.7070243358612,195000
9.186169,-9.186169,0.45866504,1.0,0.11318031,-0.058844052,1.4895098,9.309259,-9.309259,0.48943764,1.0,0.0011968207359313965,650.6911330223083,200000
9.21571,-9.21571,0.46605036,1.0,0.070759386,-0.06856614,1.4124568,9.257233,-9.257233,0.47643128,1.0,0.04216115908622742,861.4969334602356,205000
9.216822,-9.216822,0.46632838,1.0,0.08496631,-0.07003068,1.5203713,9.322178,-9.322178,0.4926675,1.0,0.0012133150577545166,867.5635139942169,210000
9.225257,-9.225257,0.4684372,1.0,0.06563122,-0.06288434,1.5620211,9.298538,-9.298538,0.48675758,1.0,0.0012012053966522216,873.5695457458496,215000
9.208401,-9.208401,0.4642231,1.0,0.0903448,-0.0621255,1.5203803,9.254373,-9.254373,0.47571605,1.0,0.0012191035747528077,879.6650686264038,220000
9.222044,-9.222044,0.46763393,1.0,0.058572467,-0.064430945,1.4871006,9.281855,-9.281855,0.48258674,1.0,0.0011993532180786133,885.6618394851685,225000
9.224976,-9.224976,0.46836695,1.0,0.048489943,-0.08651051,1.5423756,9.275642,-9.275642,0.48103368,1.0,0.0011838099956512451,891.580894947052,230000
9.222648,-9.222648,0.46778494,1.0,0.06828307,-0.07827536,1.5779929,9.33388,-9.33388,0.49559304,1.0,0.0012200893878936768,897.6813468933105,235000
9.232955,-9.232955,0.4703617,1.0,0.06235443,-0.07609246,1.619604,9.261597,-9.261597,0.47752216,1.0,0.0011973607540130616,903.6681551933289,240000
9.234413,-9.234413,0.4707265,1.0,0.102958724,-0.11152725,1.6537433,9.298401,-9.298401,0.48672307,1.0,0.0012075582027435304,909.7059509754181,245000
9.196616,-9.196616,0.4612769,1.0,0.07016173,-0.051060494,1.4856344,9.30421,-9.30421,0.4881755,1.0,0.0011727538108825685,915.5697267055511,250000
