training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0953002,-9.530029,0.09530029,0.54463005,21.71157,0.99999994,-21.71157,1.0,1.2341993,0.0,-13.814254,-23.086334,3.262334,-2.9025886,52.10555,0.66518736,-13.197376,-22.285599,0.112592205,1.0948148,-9.481491,0.094814904,0.53249574,21.647408,0.9999999,-21.647408,1.0,1.626889,0.0,-13.074859,-23.026556,0.7101906,-12.528343,-22.256401,0.121878676,0.05013425531387329,250.67128801345825,5000
1.0937548,-9.375473,0.09375473,0.5059912,36.573708,1.0,-36.573708,1.0,3.0139005,0.0,-20.324118,-38.879406,11.984869,-11.894417,186.4506,0.6054259,-19.798029,-38.26018,0.108560696,1.0944532,-9.445316,0.09445316,0.523452,36.698708,1.0,-36.698708,1.0,1.5402371,0.0,-19.810219,-38.87263,0.58981043,-19.332703,-38.26111,0.09955834,0.002079542303085327,261.0690052509308,10000
1.0948142,-9.48143,0.09481429,0.53248036,47.48902,0.99999994,-47.48902,1.0,2.2300606,0.0,-24.091436,-51.591686,5.407652,-4.0891514,101.33126,0.56211096,-23.623043,-51.06698,0.10394831,1.0943633,-9.436342,0.09436342,0.5212085,47.71323,0.99999994,-47.71323,1.0,2.073936,0.0,-22.985472,-51.457977,0.5186214,-22.443157,-50.9686,0.1376352,0.0020845452308654784,271.49173617362976,15000
1.0951785,-9.517854,0.09517853,0.54158646,55.585037,1.0,-55.585037,1.0,1.819484,0.0,-25.472084,-61.310024,4.277876,-4.608178,84.23892,0.5389899,-25.025227,-60.91115,0.12735261,1.0945581,-9.455812,0.09455812,0.5260761,55.356873,1.0,-55.356873,1.0,1.7016668,0.0,-26.846218,-61.400658,0.3451615,-26.381016,-61.026505,0.1135667,0.002116814661026001,282.0758147239685,20000
1.0945171,-9.451715,0.09451716,0.5250518,62.168156,0.99999994,-62.168156,1.0,1.8813941,0.0,-26.465202,-69.20551,6.6309204,-6.837495,123.219986,0.59393835,-26.024948,-68.891716,0.12316862,1.0949587,-9.49587,0.09495869,0.5360905,60.958786,1.0,-60.958786,1.0,1.8743182,0.0,-26.897987,-69.30018,0.57528436,-26.47095,-68.995186,0.12647069,0.0020953980922698975,292.5528109073639,25000
1.094873,-9.487296,0.09487297,0.5339471,64.68599,1.0,-64.68599,1.0,1.6359189,0.0,-29.156761,-75.16145,2.0018013,-1.6279054,54.71783,0.6981895,-28.671892,-74.8996,0.11893221,1.0954638,-9.546377,0.09546377,0.5487174,64.78886,1.0,-64.78886,1.0,1.5721622,0.0,-28.597908,-75.13664,0.4058284,-28.144165,-74.87239,0.11263349,0.0021150614738464357,303.1281235218048,30000
1.0948957,-9.489577,0.09489577,0.5345173,68.32012,0.99999994,-68.32012,1.0,1.5095913,0.0,-31.908634,-80.02562,5.5415163,-4.5651364,79.80215,0.7517374,-31.481298,-79.79956,0.13537359,1.0952004,-9.520045,0.09520046,0.5421344,67.39279,0.99999994,-67.39279,1.0,1.7177784,0.0,-29.11646,-79.73615,0.44981003,-28.623983,-79.465256,0.11736584,0.002135331630706787,313.8047864437103,35000
1.0945253,-9.452528,0.09452528,0.52525485,68.34944,1.0,-68.34944,1.0,1.6451559,0.0,-29.780964,-83.44531,3.095878,-4.223416,76.29325,0.5713419,-29.351973,-83.23912,0.12494374,1.095088,-9.508804,0.09508805,0.53932416,69.57472,1.0,-69.57472,1.0,1.4892308,0.0,-30.61612,-83.29565,0.29648,-30.250618,-83.132195,0.11886762,0.0020816717624664305,324.2131509780884,40000
1.0942135,-9.421352,0.094213516,0.51746094,70.03425,1.0,-70.03425,1.0,1.5461172,0.0,-29.343584,-86.20523,2.843658,-4.057807,80.649734,0.35616153,-28.931124,-86.076,0.13066526,1.0948002,-9.48002,0.0948002,0.53212786,69.69206,1.0,-69.69206,1.0,1.8690305,0.0,-31.072231,-86.177765,0.50643766,-30.687502,-86.096825,0.12241183,0.0020910805225372313,334.6685585975647,45000
1.0945648,-9.456484,0.09456483,0.5262438,71.12529,1.0,-71.12529,1.0,1.3916558,0.0,-30.417952,-88.36875,4.2513375,-2.24645,73.2023,0.40520975,-30.019966,-88.20485,0.14323303,1.0950599,-9.505997,0.09505996,0.53862214,69.39047,0.99999994,-69.39047,1.0,1.4723861,0.0,-29.72887,-88.03332,0.5733375,-29.351795,-87.954895,0.1084757,0.002120882749557495,345.27297711372375,50000
1.0946319,-9.463193,0.094631925,0.52792126,71.34656,0.99999994,-71.34656,1.0,1.2746159,0.0,-31.24944,-89.90757,2.5535958,-3.458923,61.01982,0.8190005,-30.88985,-89.78188,0.12045786,1.0947975,-9.4797535,0.09479754,0.53206134,70.95094,1.0,-70.95094,1.0,1.3802855,0.0,-30.611296,-89.90114,0.74846005,-30.201653,-89.761055,0.11689934,0.002075836944580078,355.6521668434143,55000
1.0955807,-9.558067,0.095580675,0.5516398,70.643166,1.0,-70.643166,1.0,1.2409055,0.0,-30.64989,-90.709496,3.991488,-4.0823755,63.289875,1.0201676,-30.231354,-90.58179,0.11982588,1.0952841,-9.528408,0.095284075,0.54422486,70.852356,1.0,-70.852356,1.0,1.7647396,0.0,-30.510212,-90.51755,0.69920576,-30.133137,-90.473145,0.123803236,0.0020948721885681153,366.12653255462646,60000
