training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
48.008583,0.015008127,-9.47954,0.53200793,1.0,0.99375075,-0.97523236,38.69726,0.5092851,-13.266832,-25.497074,0.3278466,42.987213,0.004069412,-9.413733,0.5155559,1.0,0.5549971,-12.44133,-25.540573,0.25433767,0.04771601481437683,238.58008933067322,5000
92.589066,0.023606397,-9.379839,0.50708264,1.0,1.6659992,-2.5538394,43.028976,0.37112054,-17.990307,-43.083107,0.34758645,80.24021,0.015795112,-9.446823,0.5238286,1.0,0.37254775,-17.870335,-43.047817,0.28197506,0.0018196802139282227,247.6784963607788,10000
128.50452,0.012028705,-9.4664135,0.5287262,1.0,1.9383153,-2.764983,46.393967,0.61986184,-21.343317,-57.87742,0.26951587,126.151634,-0.007762667,-9.41124,0.514933,1.0,0.45297837,-20.396084,-57.76754,0.28064662,0.0018178183555603027,256.76759338378906,15000
186.17621,0.0020027424,-9.454283,0.5256936,1.0,2.1347823,-1.8105173,54.155148,0.3969745,-22.271694,-69.23439,0.32196927,159.7804,-0.021528909,-9.44623,0.5236804,1.0,0.27160567,-24.030575,-69.25485,0.31836185,0.001809459352493286,265.81489634513855,20000
186.5517,-0.010036168,-9.436516,0.5212518,1.0,2.6590421,-2.9774985,52.939056,0.5610687,-22.893946,-77.60812,0.2658158,198.38019,-0.016722629,-9.455027,0.52587944,1.0,0.44178593,-23.103233,-77.96197,0.2920405,0.0017997799396514893,274.8138015270233,25000
228.72913,0.012078287,-9.475598,0.53102267,1.0,2.464044,-1.9831835,61.169983,0.5984727,-24.271229,-82.994125,0.27644727,221.6167,0.0037842644,-9.506865,0.53883886,1.0,0.41267145,-24.135593,-83.05959,0.30022052,0.0018301392555236816,283.96450304985046,30000
202.74922,0.001033368,-9.46088,0.5273429,1.0,2.7201989,-2.687633,71.58588,0.3535991,-26.390388,-87.20967,0.32339275,208.97134,0.013052695,-9.470682,0.52979344,1.0,0.40885815,-23.818481,-84.619225,0.28496373,0.0018227751731872558,293.07838439941406,35000
227.78627,0.027205132,-9.439899,0.5220977,1.0,2.5698512,-2.1889129,65.338036,0.3904892,-23.990797,-87.00758,0.27707756,209.59492,0.003207216,-9.5082245,0.5391791,1.0,0.53765374,-24.916508,-88.52686,0.25580192,0.0018100131988525391,302.12845635414124,40000
201.82986,0.022920646,-9.440555,0.5222615,1.0,2.4141064,-1.6582274,53.069122,0.4404198,-23.59056,-88.45729,0.2816156,213.98859,0.0076304926,-9.48435,0.53321064,1.0,0.51275915,-24.96003,-87.60846,0.32565534,0.001829783535003662,311.2773790359497,45000
212.61505,0.021390915,-9.436169,0.52116513,1.0,3.8729286,-3.221459,72.21677,0.3548621,-24.345644,-87.36483,0.29004174,187.5367,-0.0028406344,-9.481196,0.53242195,1.0,0.29642224,-23.702446,-87.154755,0.31343442,0.001805519723892212,320.30498337745667,50000
200.9026,-0.0055997004,-9.495989,0.53612006,1.0,1.96725,-3.243424,58.692688,0.6484451,-25.094515,-88.53337,0.33281246,221.33534,0.02729287,-9.494583,0.5357688,1.0,0.32817072,-24.486818,-87.24069,0.2697849,0.0018111708641052246,329.36084270477295,55000
212.04727,-0.0070266314,-9.572972,0.55536604,1.0,3.632946,-2.784349,67.69967,0.481762,-24.56913,-87.829895,0.29386756,214.56444,0.0042680865,-9.523262,0.5429386,1.0,0.4158407,-24.408403,-86.9503,0.33956254,0.001839285945892334,338.55727791786194,60000
202.49901,-0.017904509,-9.53309,0.5453954,1.0,2.5552769,-3.1076565,61.529728,0.7970731,-24.610043,-88.79094,0.29113513,194.05406,-0.024513688,-9.5291195,0.5444031,1.0,0.5437468,-25.043436,-92.111145,0.30240023,0.0018105863571166992,347.61021518707275,65000
193.96912,-0.010599636,-9.495154,0.5359117,1.0,2.9095778,-1.9754341,63.63734,0.30137834,-24.930706,-88.8436,0.26038456,208.62881,0.020434316,-9.537049,0.54638547,1.0,0.3274383,-24.102097,-89.26511,0.32525748,0.0018176233291625976,356.6983368396759,70000
196.87097,-0.0073014926,-9.551228,0.5499296,1.0,2.4331832,-3.3432286,56.868732,0.29602087,-23.731806,-87.803764,0.30320358,220.95967,0.0018033977,-9.525999,0.54362273,1.0,0.33833823,-24.618576,-88.214096,0.24856594,0.0018432994842529297,365.9148392677307,75000
206.41513,0.01797776,-9.494337,0.5357072,1.0,3.223051,-2.8639793,66.1189,0.3249967,-24.181957,-88.870155,0.27958614,199.36461,0.007900206,-9.493246,0.5354347,1.0,0.30327028,-24.778496,-90.00472,0.26961285,0.0018157639503479004,374.99366426467896,80000
196.99428,0.0072574858,-9.531752,0.54506105,1.0,2.7377114,-2.4373317,64.75598,0.2528425,-25.374763,-88.813034,0.27817124,185.15897,-0.033561617,-9.539479,0.5469928,1.0,0.72514844,-26.028004,-88.99382,0.30088508,0.0018154506206512452,384.0709230899811,85000
207.79276,0.03038331,-9.477762,0.5315635,1.0,2.9561558,-2.4170852,57.58955,0.2524042,-23.997597,-90.244064,0.2770118,211.11777,0.00031732954,-9.529526,0.5445045,1.0,0.77999735,-25.822401,-88.37824,0.34331244,0.0018453248500823975,393.2975528240204,90000
168.74493,-0.02553623,-9.531034,0.5448816,1.0,2.772435,-2.2332926,61.976288,0.4235709,-24.545578,-90.98246,0.28229612,196.93002,-0.0026694592,-9.515571,0.5410155,1.0,0.29941827,-26.154781,-87.82301,0.25297543,0.0018226668357849121,402.4108922481537,95000
190.12863,-0.008673655,-9.484658,0.53328747,1.0,2.7396243,-2.4084306,57.510597,0.31636417,-25.568214,-89.82474,0.22556849,201.22635,-0.013015335,-9.536612,0.5462759,1.0,0.19722493,-25.675568,-89.6998,0.33040178,0.0018152093410491942,411.48694491386414,100000
205.0473,-0.035359755,-9.530001,0.54462326,1.0,2.596967,-3.916657,70.856636,0.34015414,-26.08637,-89.89743,0.30360246,215.2756,0.0027306299,-9.494405,0.53572416,1.0,0.402313,-24.817314,-89.25734,0.2804616,0.044430478429794314,633.6393432617188,105000
212.53491,0.02041345,-9.511971,0.54011583,1.0,5.6284175,-3.0351133,67.25528,0.65597874,-24.409603,-87.5144,0.30028278,197.1114,-0.013073986,-9.539068,0.5468901,1.0,0.3446985,-25.857277,-90.36505,0.31178755,0.0017794447422027587,642.5365722179413,110000
219.31523,0.05132231,-9.478054,0.53163636,1.0,3.5937283,-2.0452113,64.75787,0.25896984,-25.1868,-88.5559,0.27449763,189.89386,-0.01250013,-9.498212,0.5366758,1.0,0.36792964,-24.200434,-89.4154,0.25722829,0.001805836582183838,651.5657603740692,115000
207.46793,0.0014143232,-9.495126,0.5359044,1.0,2.3015435,-3.2042315,60.64653,0.27730072,-24.690924,-88.86355,0.3439215,218.03833,0.024137931,-9.495531,0.5360056,1.0,0.3333693,-23.400715,-90.14789,0.2806046,0.0018022147178649902,660.5768389701843,120000
