training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
2.648514,-2.9128325,117.49111,65.393974,-0.013758738,-10.714791,0.3050812,1.0,440.34564,0.14204329,-9.357109,0.5014001,1.0,0.15558031,-14.9686165,-26.588058,1.2223766,73.84389,0.024968755,-10.821714,0.3264659,1.0,440.68274,0.1682114,-9.281658,0.48253742,1.0,0.17716289,-15.161227,-26.582186,1.2554225,0.05367360615730286,268.3680453300476,5000
3.9486268,-4.297109,120.09972,87.4938,-0.016852597,-10.536934,0.2695097,1.0,456.9367,0.23833197,-9.280134,0.48215646,1.0,0.027690452,-21.403515,-42.818584,1.0363896,86.99782,-0.051273823,-10.526941,0.2675111,1.0,432.02304,0.2307413,-9.298191,0.48667055,1.0,-0.022073068,-20.693989,-42.83716,1.139513,0.0024232903003692627,280.48450231552124,10000
5.4315333,-4.5230465,150.24881,161.27942,-0.05138393,-10.513252,0.26477352,1.0,456.55408,0.21549189,-9.271313,0.47995138,1.0,0.05566258,-25.414455,-55.655098,1.1925293,178.81403,0.02170454,-10.553648,0.27285242,1.0,452.72684,0.24959716,-9.30154,0.487508,1.0,0.076808505,-25.92551,-55.62262,1.0910786,0.002436508893966675,292.6670517921448,15000
6.287799,-4.503958,171.95882,266.17157,-0.0057636816,-10.316889,0.22550078,1.0,466.20056,0.28445715,-9.324045,0.49313444,1.0,0.011001233,-27.217289,-65.576675,1.188993,252.89174,-0.10701081,-10.285101,0.21914318,1.0,463.2193,0.34198475,-9.292173,0.48516634,1.0,0.0064269155,-26.693108,-65.578964,1.0982046,0.0024355215549468996,304.84466528892517,20000
4.919229,-4.100234,158.97104,265.88263,-0.047729112,-10.370176,0.23615828,1.0,460.05188,0.27137166,-9.326046,0.49363434,1.0,0.0066436287,-29.135242,-73.27913,1.2054346,298.6057,0.07903664,-10.337019,0.2295269,1.0,436.17203,0.251599,-9.257711,0.4765507,1.0,-0.035534102,-27.754236,-73.291664,1.335077,0.002418311309814453,316.93622636795044,25000
6.407232,-6.3514333,174.77695,310.76053,0.26064646,-10.233467,0.20881645,1.0,457.20035,0.22055387,-9.314865,0.49083918,1.0,0.08305465,-30.008356,-79.15915,1.3830242,314.39435,0.0577794,-10.215499,0.20522271,1.0,449.09512,0.28993753,-9.279863,0.48208883,1.0,0.06397715,-30.537418,-79.12587,1.228062,0.002465761709213257,329.2650399208069,30000
6.6105556,-5.201486,157.2623,286.90863,-0.09186403,-10.193277,0.20077851,1.0,482.50153,0.33181244,-9.277489,0.4814952,1.0,0.10322934,-30.600912,-83.91026,1.3681085,299.2755,-0.080506146,-10.153396,0.19280206,1.0,463.73413,0.34122977,-9.344185,0.4981693,1.0,0.11613037,-32.598072,-83.947586,1.4193115,0.0024171979427337646,341.3510341644287,35000
4.1643906,-3.513276,146.76295,348.3289,0.032527775,-10.108295,0.18378209,1.0,467.1816,0.34569103,-9.303503,0.4879986,1.0,0.0076604374,-33.42933,-87.53903,1.3089209,380.14883,0.11486617,-10.121796,0.18648206,1.0,449.2307,0.2636856,-9.342205,0.49767408,1.0,-0.015464276,-32.739494,-87.524734,1.4794241,0.0024373469829559328,353.5377736091614,40000
4.048556,-6.6675973,170.93903,330.97885,-0.15034238,-10.041294,0.17038165,1.0,450.57663,0.27873904,-9.281685,0.48254418,1.0,0.10482961,-33.457554,-90.437485,1.8653476,356.1707,-0.00413689,-10.043087,0.17074013,1.0,472.1526,0.23002782,-9.329504,0.4944992,1.0,0.096410975,-32.848602,-90.40536,1.4439918,0.002428861713409424,365.6820869445801,45000
6.6804433,-5.144846,162.7198,407.22012,0.11922925,-10.109377,0.18399833,1.0,460.79266,0.28617686,-9.307168,0.48891518,1.0,0.013646591,-32.920517,-92.57826,1.377284,393.4914,-0.08101652,-10.050539,0.17223084,1.0,480.8518,0.3587667,-9.303096,0.48789692,1.0,0.04531558,-33.338352,-92.57348,1.2983385,0.002443578052520752,377.899982213974,50000
7.3567133,-4.305383,144.16429,370.83478,-0.056914285,-10.014394,0.16500176,1.0,446.8682,0.2837212,-9.272956,0.48036197,1.0,0.081434935,-33.852894,-94.27966,1.1082349,358.50555,-0.122445546,-10.058482,0.17381941,1.0,469.07297,0.34125373,-9.321214,0.49242634,1.0,0.08764391,-35.00891,-94.269516,1.4170572,0.002468673849105835,390.24335622787476,55000
6.92566,-5.724826,146.27982,382.0746,0.01958432,-10.044862,0.17109542,1.0,462.8458,0.3080039,-9.253193,0.4754211,1.0,0.058194578,-33.58648,-95.472145,1.3973275,373.46912,-0.034004003,-10.073229,0.17676876,1.0,439.893,0.206145,-9.319187,0.4919197,1.0,0.08588334,-35.79162,-95.50163,1.2306192,0.002447114419937134,402.4789354801178,60000
4.12217,-4.446689,142.21301,376.4479,-0.010812998,-10.069843,0.17609139,1.0,449.79337,0.23334007,-9.255882,0.47609347,1.0,0.00504902,-33.92274,-96.410675,1.3456357,386.09283,-0.00038684718,-10.062131,0.1745492,1.0,463.07678,0.3033489,-9.278465,0.48173913,1.0,0.009253949,-34.587112,-96.416245,1.3636298,0.0024409462451934812,414.68367195129395,65000
5.987435,-4.636325,153.35121,383.16626,-0.1355593,-10.065592,0.1752415,1.0,464.07367,0.29286358,-9.311801,0.49007323,1.0,0.048876684,-34.10725,-97.16997,1.2449615,392.95093,0.16749692,-10.017287,0.1655804,1.0,480.78693,0.30842727,-9.329242,0.49443316,1.0,0.059174206,-33.140312,-97.18364,1.2036115,0.002480086803436279,427.0841112136841,70000
7.4432707,-6.784066,185.29521,395.58392,-0.061517626,-9.989441,0.16001113,1.0,466.32303,0.2339983,-9.265992,0.47862092,1.0,0.061277457,-35.866894,-97.57767,1.2761196,397.47076,0.008875828,-9.991278,0.16037834,1.0,466.908,0.32449034,-9.27397,0.48061538,1.0,0.08490574,-34.51976,-97.53833,1.2129769,0.0024415367126464846,439.2917995452881,75000
6.3632393,-5.686629,171.55319,392.8996,-0.20351674,-10.031562,0.16843534,1.0,471.55182,0.27629793,-9.311964,0.49011403,1.0,0.021899637,-33.189774,-98.04768,1.3895528,391.20148,-0.0035550818,-9.980577,0.15823857,1.0,472.539,0.3643099,-9.25891,0.47685045,1.0,0.016397446,-34.94059,-98.05625,1.7769974,0.002477814722061157,451.68087935447693,80000
5.328274,-6.5266,173.6,370.58447,-0.043521486,-9.972237,0.15657029,1.0,464.62604,0.24010238,-9.278533,0.48175627,1.0,0.10359357,-36.222267,-98.42763,1.3597965,405.33463,0.13860843,-9.970162,0.15615542,1.0,481.478,0.3971162,-9.256889,0.47634542,1.0,0.066801056,-34.78239,-98.49515,1.3308321,0.0024404701709747315,463.88323521614075,85000
6.204146,-4.046577,178.58527,396.3711,0.1880069,-9.994298,0.1609826,1.0,488.3446,0.39352733,-9.310297,0.4896971,1.0,0.01426807,-34.86589,-98.50615,1.6260328,374.83917,-0.20243527,-10.043888,0.17090069,1.0,458.57352,0.28480422,-9.287561,0.48401338,1.0,0.032343976,-33.64747,-98.41708,1.5686063,0.002430729866027832,476.0368890762329,90000
5.2661476,-6.1639667,146.97034,368.34915,-0.11232592,-10.002466,0.16261621,1.0,464.27695,0.26704895,-9.242977,0.4728673,1.0,0.017122816,-36.54589,-98.6983,1.3737801,376.5708,-0.0003415309,-9.99176,0.16047505,1.0,473.74976,0.3571985,-9.264772,0.47831613,1.0,0.039715085,-33.311295,-98.6695,1.382695,0.002472748899459839,488.40063858032227,95000
5.3954067,-6.982715,159.00624,358.72748,0.102960214,-10.013031,0.16472918,1.0,453.11682,0.2064729,-9.314484,0.49074385,1.0,0.05576387,-33.30513,-98.77135,1.3836524,394.70447,0.08969362,-10.097571,0.18163727,1.0,463.02335,0.33718798,-9.289914,0.48460156,1.0,0.15589131,-34.30455,-98.73705,1.6429949,0.002433142852783203,500.56635880470276,100000
10.000791,-7.5900354,177.22281,374.1629,0.033081383,-10.002253,0.16257337,1.0,471.87372,0.32178718,-9.266064,0.47863877,1.0,0.05289812,-35.04328,-98.37279,1.4211545,378.93427,-0.07141742,-10.062834,0.17468956,1.0,456.63623,0.19837424,-9.304155,0.48816174,1.0,0.040996354,-34.07694,-98.603485,1.5128407,0.04828520965576172,741.9924118518829,105000
8.049912,-6.768159,155.50905,433.81323,0.25670594,-10.005281,0.16317911,1.0,459.82507,0.22219045,-9.316136,0.49115688,1.0,0.061539337,-34.485916,-98.4599,1.2687137,381.11282,-0.05108033,-9.98529,0.15918086,1.0,459.32947,0.26462668,-9.345655,0.49853694,1.0,0.07533726,-35.832813,-98.491165,1.0770662,0.002495502233505249,754.4699280261993,110000
6.2621465,-4.5629716,161.0268,375.81433,0.029902719,-10.044899,0.17110269,1.0,451.45697,0.2762766,-9.23107,0.4698903,1.0,0.003074348,-32.31349,-97.3625,1.2919067,367.0656,-0.14542224,-10.006512,0.16342525,1.0,454.6849,0.2332549,-9.311611,0.49002564,1.0,0.03426847,-33.845074,-97.55639,1.4799931,0.002469355344772339,766.8167095184326,115000
6.542987,-9.108149,163.34827,364.34448,-0.0395078,-10.027956,0.1677142,1.0,454.81506,0.24381134,-9.314428,0.49073008,1.0,0.0072225444,-34.76489,-97.91734,1.3510474,385.18518,0.028024308,-10.039742,0.17007144,1.0,475.83472,0.30610093,-9.292585,0.48526925,1.0,-0.012220088,-34.145588,-97.96205,1.3421144,0.0024956676959991455,779.2950532436371,120000
6.8907313,-8.314952,183.25381,365.93573,-0.18640408,-9.986545,0.15943182,1.0,470.77304,0.36561906,-9.334019,0.49562764,1.0,0.042362254,-35.223747,-98.34564,1.5219429,390.09973,0.089387126,-9.967468,0.1556165,1.0,456.22482,0.3895498,-9.309402,0.48947346,1.0,0.07053456,-36.103287,-98.29313,1.302098,0.00249535813331604,791.7718486785889,125000
4.922608,-5.642415,169.82834,386.68042,-0.17994784,-10.0469055,0.17150404,1.0,478.51028,0.36279315,-9.2987175,0.48680228,1.0,0.01804443,-35.81567,-98.108185,1.509793,362.25543,0.0025634505,-10.012051,0.16453318,1.0,474.54214,0.26474956,-9.310171,0.48966578,1.0,0.04311101,-36.621086,-98.37471,1.6014355,0.0024657774925231934,804.100741147995,130000
9.468847,-6.5544834,164.06949,352.23227,-0.11090814,-9.971893,0.15650152,1.0,428.98425,0.1262617,-9.286806,0.4838246,1.0,-0.003809262,-34.667046,-98.49095,1.0443932,380.14542,-0.043908,-10.026261,0.1673752,1.0,445.9516,0.2265355,-9.342194,0.49767125,1.0,-0.0111236535,-35.46733,-98.47065,1.1698743,0.0024873847007751463,816.5376694202423,135000
4.8578596,-6.554582,177.02176,395.3133,0.16525121,-9.929568,0.1480366,1.0,465.43207,0.36987978,-9.291782,0.48506838,1.0,0.21590228,-33.53311,-98.488335,1.4490223,365.3594,-0.0474348,-9.992561,0.16063523,1.0,469.3172,0.27268484,-9.379598,0.5070224,1.0,0.041239563,-33.90537,-98.310776,1.4954911,0.0024888344287872315,828.9818465709686,140000
5.2223043,-6.1266108,166.90213,391.56305,0.17851098,-10.025265,0.16717598,1.0,452.4317,0.14152744,-9.31803,0.4916306,1.0,0.042331472,-36.573597,-98.474045,1.3026216,366.76562,-0.061907277,-10.080872,0.17829725,1.0,450.27948,0.18153962,-9.308689,0.48929536,1.0,0.063538685,-35.266006,-98.64005,1.289121,0.0024695077896118166,841.3293902873993,145000
6.8513217,-6.4239006,171.7721,367.95157,-0.10011578,-9.947943,0.15171154,1.0,448.1131,0.2563613,-9.3336525,0.49553615,1.0,0.09652461,-34.7716,-98.25943,1.32493,366.08185,0.006149577,-9.9982605,0.16177502,1.0,443.43292,0.22831771,-9.302702,0.4877984,1.0,0.13364056,-34.703377,-98.11713,1.4611707,0.0024948083877563477,853.8034369945526,150000
4.157365,-5.300158,163.44786,352.77542,-0.047455713,-9.981394,0.15840182,1.0,465.44824,0.31259304,-9.285389,0.48347005,1.0,0.027134184,-33.841515,-98.59202,1.5736103,368.49692,0.010410851,-9.959667,0.15405643,1.0,449.01678,0.28338006,-9.338555,0.49676177,1.0,0.027130868,-35.017876,-98.48722,1.1021318,0.002462887954711914,866.1178812980652,155000
3.3499494,-5.1424356,146.7268,363.70312,-0.03002062,-9.952268,0.15257658,1.0,458.711,0.24962604,-9.258166,0.47666466,1.0,0.039964154,-35.867027,-98.741135,1.4185972,367.0682,-0.026485665,-10.002083,0.16253953,1.0,445.09177,0.22659557,-9.331757,0.49506187,1.0,0.039003786,-33.827755,-98.51236,1.414327,0.0024949130535125734,878.5924508571625,160000
