training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0093452,-9.345192,0.009345192,0.49842107,677.3551,1.0,-677.3551,1.0,2.308434,240.34651,-154.65915,1806.0757,83.474075,1120.1935,659.6727,3.938098,4.8178167,12.8946905,2.2970376,0.17580037,6.7839427,-32.344593,83.81328,116.15787,1.0092582,-9.25812,0.009258119,0.47665286,671.8846,1.0,-671.8846,1.0,2.2810595,86.95645,1117.7542,658.2936,2.10564,4.6385336,11.13125,2.2647898,0.07096852,6.786006,-31.137815,87.29575,118.43357,0.05366550698280335,268.327552318573,5000
1.0092556,-9.255603,0.009255603,0.4760236,485.27783,1.0,-485.27783,1.0,1.6195967,355.69617,-287.73373,3021.204,133.90465,950.0268,489.8176,0.9530619,1.8319936,10.074922,1.6165383,0.16975367,29.866447,-53.22182,135.39796,188.61978,1.009326,-9.325979,0.009325979,0.4936177,493.62576,1.0,-493.62576,1.0,1.5969446,129.97192,943.81726,495.49054,6.1752095,1.7980306,8.758268,1.5926936,0.09283975,29.872513,-52.218067,131.46556,183.68362,0.0036951260566711426,286.80318903923035,10000
1.0093095,-9.309538,0.009309538,0.48950744,384.8073,0.99999994,-384.8073,1.0,1.0727326,425.18933,-548.09705,4688.98,172.58011,885.94257,389.12738,5.583712,0.597668,6.323614,1.0710151,0.06194149,119.34303,-65.36036,178.54727,243.90762,1.0092739,-9.273893,0.009273893,0.48059618,393.85846,1.0,-393.85846,1.0,0.99358106,170.20029,872.84216,396.19385,0.974905,0.47394258,7.080232,0.9927158,0.06108202,119.37798,-50.60941,176.16919,226.7786,0.0036933274269104004,305.269832611084,15000
1.0093064,-9.306464,0.009306464,0.48873898,268.09763,1.0,-268.09763,1.0,0.7571766,325.86435,-254.1844,3189.894,246.06444,631.47864,274.19586,3.8676143,0.14337695,4.3170404,0.7555697,0.03976922,394.71262,-36.85706,265.80008,302.65714,1.0092651,-9.265097,0.009265097,0.478397,278.1433,1.0,-278.1433,1.0,0.7529324,241.9418,642.2261,278.0122,1.7116023,0.10556871,3.4592116,0.7524016,0.043152936,394.79773,-21.938398,261.6817,283.6201,0.0036937642097473146,323.73865842819214,20000
1.0092822,-9.282239,0.009282239,0.4826827,221.28737,1.0,-221.28737,1.0,0.62204885,403.34872,-284.1708,2453.9233,293.41846,505.76807,216.47878,1.9149514,0.032920837,2.2066705,0.62442166,0.04333044,789.20996,13.479046,332.87894,319.3999,1.0092994,-9.299234,0.009299235,0.48693162,217.23718,1.0000001,-217.23718,1.0,0.640854,295.7858,512.7536,213.7297,1.3769472,0.050931036,2.6541727,0.63283825,0.033835128,789.2743,-0.73484254,335.2495,335.98434,0.0036945940017700197,342.2116346359253,25000
1.0093373,-9.337347,0.009337347,0.49645966,216.07465,0.99999994,-216.07465,1.0,0.62174064,304.71097,-421.1486,3623.0205,298.08832,527.3618,211.6431,0.24269587,0.054379232,3.4021156,0.625106,0.02243696,829.5417,-3.632755,339.5654,343.19815,1.0093787,-9.378659,0.009378659,0.5067876,217.06932,1.0,-217.06932,1.0,0.61147714,288.99426,524.5737,221.32045,1.2755096,0.05235488,4.214031,0.6103385,0.022044089,829.5678,-1.9535317,330.47266,332.42618,0.0036947461128234863,360.68537044525146,30000
1.00935,-9.349983,0.009349983,0.49961877,222.74039,1.0,-222.74039,1.0,0.63703287,365.6687,-263.17368,2741.0461,287.56534,525.08795,222.55476,2.9600232,0.055041015,3.263197,0.6424203,0.03774263,828.6838,-4.177407,328.99954,333.17694,1.0093952,-9.395301,0.009395301,0.5109482,222.58444,0.99999994,-222.58444,1.0,0.62479925,288.64,525.8036,221.30496,2.3608043,0.045320243,3.4523087,0.6232738,0.018912008,828.6798,3.878021,330.074,326.19598,0.0036975273132324217,379.17301297187805,35000
1.009345,-9.345082,0.009345083,0.4983935,189.4581,1.0,-189.4581,1.0,0.5786233,166.8496,-147.59673,1577.8251,311.8905,437.33813,195.04218,0.34514788,0.038028114,3.2362103,0.5860813,0.031711467,849.58594,10.171147,354.3698,344.19867,1.009389,-9.388993,0.0093889935,0.5093713,199.71552,1.0,-199.71552,1.0,0.57199395,308.0573,434.61627,199.21057,1.2467544,0.03156765,2.8007565,0.575904,0.023892347,849.4093,15.656609,350.52777,334.87115,0.0036957221508026124,397.65162897109985,40000
1.0093235,-9.323489,0.00932349,0.49299532,224.36836,1.0,-224.36836,1.0,0.62755,271.40152,-299.7886,2644.1414,285.943,534.0568,224.79422,2.8782644,0.054137543,3.144036,0.63657826,0.018963987,836.3026,-3.4602373,327.75812,331.21835,1.0093726,-9.372553,0.009372554,0.5052613,219.13829,1.0,-219.13829,1.0,0.61451423,286.27728,538.49255,224.08429,1.1607674,0.041620098,2.615407,0.62149787,0.027417634,836.321,7.0082884,328.09335,321.08505,0.0036938364028930664,416.1208155155182,45000
1.0093374,-9.337394,0.0093373945,0.4964714,238.50015,1.0,-238.50015,1.0,0.61376995,291.7695,-252.6933,2641.317,281.95496,547.56354,229.35019,0.45205805,0.05925651,3.0433455,0.6121342,0.03611069,838.4228,-7.7608676,323.8761,331.63696,1.0093706,-9.370537,0.0093705375,0.50475717,228.74922,1.0,-228.74922,1.0,0.6207514,283.23395,560.72595,228.78418,0.66141844,0.05473437,3.2980452,0.6222652,0.014077574,838.41644,-3.9693744,325.1548,329.12415,0.0036935038089752196,434.58833932876587,50000
1.0093578,-9.357837,0.009357838,0.50158215,230.51743,1.0,-230.51743,1.0,0.63363445,225.81404,-201.44789,2076.8997,282.512,550.42505,228.88419,0.65741664,0.048369665,2.6706448,0.6393881,0.028663877,841.3809,1.3717337,324.58102,323.2093,1.0093689,-9.368856,0.009368857,0.5043371,228.78665,1.0,-228.78665,1.0,0.6121982,279.70654,554.3051,232.76187,0.27708063,0.045571037,2.7164247,0.62191164,0.022566192,841.39655,3.726515,321.77637,318.04987,0.0036945798873901366,453.06124353408813,55000
1.0094032,-9.403191,0.009403191,0.5129206,225.84845,1.0,-225.84845,1.0,0.6213647,153.3058,-170.70361,1569.5664,283.3736,553.97015,228.04521,0.5895215,0.060444236,3.67593,0.6294711,0.027058741,840.70276,-8.780498,325.40875,334.18924,1.0093852,-9.385271,0.009385271,0.50844055,231.26329,1.0,-231.26329,1.0,0.6075892,282.4804,533.37305,229.05882,1.1568104,0.04472372,3.275331,0.6170668,0.02771503,840.7048,4.435795,324.51566,320.07986,0.003694991493225098,471.53620624542236,60000
1.0093769,-9.376911,0.009376911,0.5063507,232.54648,1.0,-232.54648,1.0,0.65234053,470.4001,-413.2012,3161.8955,277.3556,562.9564,234.59085,0.82549846,0.06879535,3.112957,0.64805496,0.015002743,842.65967,-15.838085,319.4886,335.32666,1.0094135,-9.413439,0.00941344,0.5154826,237.50443,1.0,-237.50443,1.0,0.61164856,279.74622,560.40063,232.57664,1.0291001,0.047861576,3.2596037,0.61457825,0.019298954,842.67255,1.8019917,321.87985,320.07785,0.003693214511871338,490.0022852420807,65000
1.0093431,-9.343195,0.009343196,0.49792168,232.96692,1.0,-232.96692,1.0,0.6175352,243.96439,-243.49263,2421.6396,273.58435,559.38135,238.84561,2.053448,0.04357751,3.3833408,0.61433005,0.031160476,845.71375,5.431588,315.87003,310.43845,1.009408,-9.407965,0.009407965,0.514114,232.9991,1.0,-232.9991,1.0,0.63705504,282.2859,550.87604,229.3038,1.8516511,0.058783304,3.1890762,0.633476,0.028029894,845.7456,-7.42844,324.57318,332.00162,0.0036978089809417726,508.49133491516113,70000
1.0093672,-9.367215,0.009367216,0.50392675,230.98022,1.0,-230.98022,1.0,0.59486365,337.07675,-389.18738,2523.7695,283.2108,536.3318,227.98904,2.0851872,0.04106324,2.9545772,0.59057844,0.024669867,848.38763,7.5818357,325.6302,318.04834,1.0094022,-9.402103,0.009402104,0.5126487,224.88231,1.0,-224.88231,1.0,0.6288979,285.25473,527.63837,225.88524,1.2558874,0.05128938,3.2310631,0.62525755,0.030026235,848.3937,-1.0939009,327.6744,328.7683,0.0036941960334777833,526.9623210430145,75000
1.0093573,-9.357324,0.009357324,0.50145394,234.81918,1.0,-234.81918,1.0,0.6144738,250.81728,-216.17018,1855.3527,275.38098,552.2682,237.2993,1.4045521,0.045642845,2.5984416,0.6136754,0.0239709,848.1531,3.6955347,317.78864,314.0931,1.009389,-9.389095,0.009389095,0.50939655,225.56357,1.0,-225.56357,1.0,0.6007613,280.46988,553.6968,231.58476,0.5296231,0.03456743,2.2533593,0.603941,0.027524617,848.1393,13.088969,322.87683,309.78787,0.0036929769992828368,545.4272124767303,80000
1.0093882,-9.38818,0.00938818,0.5091679,227.74059,1.0,-227.74059,1.0,0.6360045,143.79475,-191.32542,1637.8773,275.82678,542.0708,236.49368,0.2204907,0.03865108,2.367561,0.64295745,0.01758168,849.204,9.637549,318.287,308.64944,1.0093851,-9.385103,0.009385103,0.50839883,237.49384,1.0,-237.49384,1.0,0.62714195,280.04358,561.85187,231.57486,0.9574783,0.05274657,3.536996,0.624502,0.02348492,849.2149,-2.332429,322.50433,324.83676,0.003695077133178711,563.9026033878326,85000
1.0093064,-9.306377,0.009306379,0.4887175,226.42767,1.0,-226.42767,1.0,0.6255986,180.53906,-188.39093,1749.8801,286.44244,552.7761,224.80121,0.63789743,0.047697626,2.72012,0.63081634,0.015565209,852.0432,1.9617227,329.04462,327.0829,1.0094067,-9.40651,0.009406511,0.5137506,228.7744,1.0000001,-228.7744,1.0,0.6352853,283.95544,561.04987,227.48087,1.7024494,0.062156737,4.07502,0.6420985,0.01596224,852.0733,-10.35843,326.5591,336.91754,0.0036929101943969727,582.3671607971191,90000
1.0093707,-9.370703,0.009370702,0.5047986,236.3222,1.0,-236.3222,1.0,0.61634725,221.81866,-169.87407,1867.197,275.3811,563.6881,236.77597,0.5104903,0.04346839,2.9208157,0.62339115,0.032245703,851.00256,5.558418,317.9312,312.3728,1.00936,-9.359811,0.0093598105,0.50207555,238.93073,1.0000001,-238.93073,1.0,0.61392146,275.28403,548.75836,237.11295,2.1385617,0.04621788,2.593723,0.61707145,0.018164396,850.9571,3.2184215,317.83188,314.61346,0.0036939804077148436,600.8370697498322,95000
