training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.7801766,-7.8497133,0.78497136,0.12455134,6.3997107,0.9952053,-6.369027,1.0,0.99903774,0.1015625,0.0061404016,-9.363598,-9.367545,-5.324749,3.168542,0.10036728,2.004504e-07,0.007028991,-0.009165289,0.24358064,1.7740963,-7.872058,0.7872058,0.13013738,6.2159057,0.9868905,-6.1344194,1.0,0.99864674,0.03125,0.0068416377,-9.132454,-9.136267,-5.2325115,7.7501583,0.17408885,7.115132e-06,0.04786533603668213,239.32669830322266,5000
1.7707342,-7.800663,0.7800664,0.11228885,6.1851587,0.9906678,-6.1274385,1.0,0.99906063,0.11230469,0.0058778217,-9.080991,-9.08503,-4.948699,13.199731,0.14723918,1.4711857e-05,0.0072676227,-0.009312181,0.23321618,1.777183,-7.839492,0.78394926,0.121996,6.3105383,0.99323386,-6.2678413,1.0,0.99885464,0.052734375,0.0065445146,-9.071269,-9.075096,-5.1571474,34.563824,0.24750161,1.17366435e-05,0.0020364738941192626,249.50907468795776,10000
1.761585,-7.8068686,0.78068686,0.11384019,6.058916,0.9808982,-5.943181,1.0,0.9990463,0.1328125,0.0056461333,-9.230894,-9.235283,-4.740168,22.668894,0.25106668,5.937929e-06,0.0060483143,-0.00899954,0.19695993,1.7596524,-7.8249984,0.78249985,0.11837254,5.9664817,0.9771525,-5.830164,1.0,0.9986658,0.06738281,0.006549458,-9.133323,-9.137541,-4.818388,41.81166,0.34193885,1.5144693e-05,0.0020379643440246583,259.69890093803406,15000
1.7574286,-7.7936816,0.77936816,0.110543355,5.9593005,0.9780604,-5.828557,1.0,0.9990444,0.15136719,0.005535475,-9.205362,-9.209928,-4.5351334,17.628763,0.287472,1.896513e-05,0.011789055,-0.0066536893,0.19474189,1.7616787,-7.8033795,0.78033805,0.11296793,5.8336544,0.98134065,-5.724803,1.0,0.9986124,0.064453125,0.006434771,-9.143452,-9.147805,-4.689304,26.892662,0.29904506,8.803792e-07,0.0020339733600616455,269.8687722682953,20000
1.7574365,-7.7543926,0.77543926,0.10072106,5.970885,0.9819973,-5.863394,1.0,0.9990444,0.14648438,0.005479594,-9.37529,-9.380092,-4.461703,15.436957,0.27864084,1.8666758e-05,0.0149338,-0.007989662,0.19535147,1.7662919,-7.7969503,0.77969503,0.11136056,5.9638734,0.98659676,-5.883939,1.0,0.9986086,0.06933594,0.006370255,-9.144218,-9.148549,-4.7138386,55.573654,0.25150347,6.875786e-06,0.0020366819381713868,280.0521891117096,25000
1.760673,-7.758792,0.77587914,0.10182088,6.039123,0.9847939,-5.9472923,1.0,0.9990568,0.14941406,0.0055132722,-9.223154,-9.2277155,-4.5567794,16.523062,0.24731945,1.8369996e-05,0.0075005824,-0.009075478,0.18142705,1.7714779,-7.813257,0.7813257,0.11543727,6.21259,0.99015224,-6.151411,1.0,0.9988327,0.07519531,0.006250875,-9.144198,-9.148404,-4.8423934,25.135994,0.22718315,2.16546e-07,0.0020376638412475585,290.24051308631897,30000
1.7659199,-7.769165,0.7769165,0.10441423,6.0015473,0.9890035,-5.935552,1.0,0.99905396,0.16503906,0.005459516,-9.341333,-9.346027,-4.538662,14.629384,0.19377764,1.2715699e-06,0.0058656945,-0.010856147,0.17365158,1.7731496,-7.801219,0.78012186,0.11242764,6.27902,0.99302775,-6.235242,1.0,0.9988375,0.080078125,0.006262718,-9.159595,-9.163836,-4.820853,27.354977,0.19777733,1.9931657e-07,0.002039158344268799,300.436311006546,35000
1.7532778,-7.736953,0.77369535,0.096361235,6.043127,0.97958237,-5.9197416,1.0,0.9990635,0.17382812,0.0054809996,-9.299858,-9.304535,-4.5164795,11.857269,0.25821316,9.936718e-06,0.018747807,-0.007921879,0.17936322,1.7634367,-7.7968464,0.77968466,0.11133456,6.2370143,0.983752,-6.1356764,1.0,0.9987869,0.087890625,0.0063621094,-9.162573,-9.166869,-4.7680435,21.67701,0.3495391,4.1397403e-08,0.002034768867492676,310.61016154289246,40000
1.7523823,-7.744754,0.7744754,0.0983114,6.048482,0.97790694,-5.914853,1.0,0.99905396,0.15332031,0.00540994,-9.5764885,-9.581453,-4.497279,40.335117,0.3069416,7.4289227e-07,0.0069234,-0.007448055,0.18307912,1.7667298,-7.803912,0.7803912,0.11310097,6.343418,0.9863387,-6.2567596,1.0,0.9987545,0.07421875,0.006390703,-9.322083,-9.326527,-4.776271,27.357975,0.2729898,7.472854e-06,0.0020371387004852297,320.7958598136902,45000
1.7607126,-7.754633,0.77546334,0.10078123,6.019877,0.98524934,-5.931081,1.0,0.99906445,0.15917969,0.005386297,-9.330202,-9.335016,-4.4067245,20.19572,0.24856335,1.8188153e-06,0.011093078,-0.014715878,0.20554554,1.769243,-7.795331,0.7795331,0.1109557,6.214596,0.98970985,-6.1506476,1.0,0.9988003,0.09375,0.006304974,-9.214937,-9.219202,-4.850821,20.12448,0.2524591,3.4511658e-08,0.0020396109580993653,330.99392080307007,50000
