training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.3251548,-7.750516,2.3251548,0.09975188,17.882355,0.9999999,-17.882355,1.0,1.0179672,0.29821777,-15.031692,-23.541128,1.1081744,-1.7893193,28.65934,0.6489438,-14.443512,-22.773455,0.055904754,3.329389,-7.7646303,2.329389,0.10328053,17.315508,0.9999999,-17.315508,1.0,1.0684067,0.13599408,-15.035489,-23.665783,0.8662902,-14.431131,-22.848545,0.06425874,0.04991927800178528,249.59640455245972,5000
3.3074527,-7.691519,2.307456,0.08500274,27.50535,0.99999666,-27.50526,1.0,1.4266658,0.13063157,-22.681597,-39.520443,2.2778013,-2.1253006,49.007298,0.60393155,-22.174522,-38.895344,0.06468612,3.3200636,-7.733555,2.3200665,0.09551159,27.898907,0.9999971,-27.898827,1.0,2.0276427,0.0,-21.668486,-39.540695,0.66538155,-21.17215,-38.918987,0.081566654,0.001981896162033081,259.505891084671,10000
3.3121388,-7.707129,2.3121388,0.088905215,32.118385,1.0,-32.118385,1.0,1.7761683,0.0,-25.356337,-51.96781,3.547822,-4.926861,73.090065,0.75997,-24.92316,-51.51349,0.110750735,3.319914,-7.733047,2.319914,0.0953847,30.464104,1.0,-30.464104,1.0,2.1345634,0.0,-25.414106,-51.913773,0.7088945,-24.943813,-51.428257,0.12007329,0.001979218530654907,269.4019892215729,15000
3.307378,-7.6913195,2.3073957,0.08495277,33.809452,0.9999823,-33.808853,1.0,2.5673888,0.0,-27.767258,-61.109474,3.4915552,-4.448957,96.601105,1.2304411,-27.37584,-60.71384,0.1315861,3.3119159,-7.7063856,2.3119159,0.0887194,31.857246,0.99999994,-31.857246,1.0,1.760165,0.0,-26.729458,-60.899853,1.0106969,-26.350414,-60.55873,0.14410421,0.0019707476139068604,279.2557325363159,20000
3.2945995,-7.6486654,2.2945995,0.07428919,33.313786,1.0,-33.313786,1.0,2.7544322,0.0,-27.471062,-66.16901,9.94821,-10.309456,170.07614,0.842084,-26.999125,-65.83479,0.1292948,3.3135915,-7.7119856,2.3135958,0.09011938,32.192398,0.99999577,-32.19226,1.0,2.178568,0.0,-26.852837,-66.7641,1.0171398,-26.413326,-66.42017,0.14516914,0.0019836183547973633,289.17382884025574,25000
3.294334,-7.6477795,2.294334,0.074067794,34.31729,1.0,-34.31729,1.0,1.6064289,0.0,-27.231884,-69.54355,3.1057236,-3.2189975,57.43438,0.67357755,-26.794859,-69.19248,0.14856516,3.3147209,-7.715736,2.3147209,0.09105691,34.142567,1.0,-34.142567,1.0,2.1934495,0.0,-27.258322,-68.77018,0.9247556,-26.780453,-68.45584,0.15591785,0.0019686448097229006,299.01705741882324,30000
3.2955542,-7.651847,2.2955542,0.075084716,33.9281,1.0,-33.9281,1.0,1.6656214,0.0,-28.060308,-72.275696,2.7167583,-3.9038162,69.35561,0.5506848,-27.659838,-72.00866,0.13446462,3.3058274,-7.6860914,2.3058274,0.08364573,33.913437,1.0,-33.913437,1.0,1.6772474,0.0,-27.476051,-70.52961,0.49129298,-27.0472,-70.329,0.15071522,0.001966666555404663,308.8503954410553,35000
3.2935266,-7.6451063,2.293532,0.07339946,34.125656,0.9999947,-34.125477,1.0,1.4500434,0.019796252,-27.790592,-73.34815,2.6801572,-2.3073645,59.85436,0.6344925,-27.390717,-73.02583,0.12496613,3.3057656,-7.6858845,2.3057656,0.08359412,34.001854,1.0,-34.001854,1.0,1.7055862,0.0,-28.049728,-74.15236,0.9386875,-27.638046,-73.90136,0.11295795,0.001987444067001343,318.7876217365265,40000
3.2870138,-7.623412,2.2870238,0.06797609,34.127197,0.9999899,-34.126854,1.0,1.4017215,0.0,-28.837347,-75.41776,2.6800945,-2.1272042,50.017834,0.9612291,-28.435425,-75.17233,0.13067374,3.3085592,-7.6951966,2.3085592,0.0859222,34.287613,1.0,-34.287613,1.0,2.0746937,0.0,-27.388023,-73.929085,1.5057489,-26.976963,-73.6651,0.14259076,0.0019645741462707518,328.61049699783325,45000
3.2935333,-7.64511,2.2935333,0.073400594,35.05001,1.0,-35.05001,1.0,1.554792,0.0,-28.34132,-76.53807,3.7088716,-2.8133907,69.00912,0.8907823,-27.957975,-76.294624,0.12635925,3.3041546,-7.6805153,2.3041546,0.08225173,33.821484,1.0,-33.821484,1.0,1.56048,0.0,-28.786842,-75.022606,0.8498403,-28.350887,-74.78487,0.13503191,0.00199364538192749,338.5787286758423,50000
3.2848005,-7.6160064,2.284802,0.06612457,35.748943,0.9999986,-35.748894,1.0,1.6209822,0.0,-28.82991,-77.494644,1.6994067,-2.4581704,50.338,0.8677866,-28.426544,-77.36197,0.13182813,3.2983117,-7.661039,2.2983117,0.07738266,33.544807,1.0,-33.544807,1.0,1.4868863,0.0,-27.445053,-75.51622,0.622046,-27.043163,-75.39874,0.12209907,0.0019844794273376465,348.5011308193207,55000
3.2840114,-7.61337,2.2840114,0.06546552,34.582542,1.0,-34.582542,1.0,1.5729259,0.0,-27.54808,-77.170395,2.9415507,-4.0082927,72.458954,0.73810846,-27.16481,-76.909164,0.12077718,3.3093023,-7.6976748,2.3093023,0.08654159,34.876472,1.0,-34.876472,1.0,2.0251656,0.0,-27.782167,-77.458534,0.7747919,-27.362665,-77.251076,0.12159482,0.0019654962539672853,358.3286163806915,60000
3.2829912,-7.60997,2.2829912,0.06461558,34.37468,0.99999994,-34.37468,1.0,1.6217613,0.0,-27.359066,-78.61407,2.352749,-2.96919,61.05358,1.1701992,-26.964106,-78.3904,0.14191526,3.303812,-7.6793733,2.303812,0.081966296,34.70024,0.99999994,-34.70024,1.0,1.5649507,0.0,-27.935919,-76.74831,0.4637348,-27.562096,-76.45422,0.13229148,0.0019640560626983643,368.14890146255493,65000
3.2855828,-7.6186094,2.2855828,0.06677523,35.230103,1.0,-35.230103,1.0,1.3952227,0.0,-28.78521,-77.7392,3.1540208,-1.8697382,54.346325,0.48844394,-28.382332,-77.515526,0.14517102,3.3041487,-7.6805267,2.304158,0.08225457,34.100807,0.9999906,-34.100487,1.0,1.4847085,0.0,-29.009937,-78.18366,0.7747208,-28.56828,-77.958755,0.11230485,0.0019689033031463623,377.9934227466583,70000
3.2902608,-7.634217,2.290265,0.070677206,34.518875,0.9999957,-34.518726,1.0,1.7288572,0.0,-28.9483,-79.20389,4.901087,-4.3755217,86.927574,0.78855646,-28.500273,-78.98359,0.16441467,3.304202,-7.6806736,2.304202,0.08229138,34.337627,1.0,-34.337627,1.0,1.9090605,0.0,-27.92303,-77.937935,0.5792705,-27.509586,-77.56561,0.14115307,0.001968544816970825,387.8361518383026,75000
3.285973,-7.6199102,2.285973,0.06710045,36.010292,1.0,-36.010292,1.0,1.7324202,0.0,-28.352007,-79.40092,3.6147385,-4.740719,79.22949,0.7193197,-27.939098,-79.19582,0.15852281,3.300928,-7.66976,2.300928,0.079563014,34.270393,1.0,-34.270393,1.0,1.9605472,0.0,-28.610939,-79.93084,0.89192486,-28.206963,-79.69938,0.10458684,0.0019922746658325194,397.7975299358368,80000
3.2805543,-7.60189,2.280567,0.06259546,34.859665,0.9999873,-34.859222,1.0,1.4421498,0.0,-28.569653,-78.32405,2.2648559,-2.1491275,45.656494,0.79853874,-28.203865,-78.18239,0.119526334,3.3049424,-7.683228,2.3049684,0.082929954,34.627213,0.99997395,-34.626312,1.0,1.8996841,0.0,-27.562023,-78.76142,0.45339295,-27.08284,-78.57118,0.13529754,0.0019796892642974856,407.6959812641144,85000
3.2826877,-7.608959,2.2826877,0.06436272,34.61303,1.0,-34.61303,1.0,1.4536245,0.0,-30.450611,-79.90854,3.2267916,-2.949705,54.535202,0.7262775,-30.002678,-79.70588,0.14381728,3.2973056,-7.6577206,2.2973163,0.07655312,34.54831,0.9999892,-34.547935,1.0,1.445549,0.0,-28.623611,-79.62846,0.96676636,-28.192492,-79.43131,0.1652453,0.001966994047164917,417.53095602989197,90000
3.2832072,-7.61069,2.2832072,0.064795524,36.835243,1.0,-36.835243,1.0,1.4945304,0.0,-29.452637,-82.08345,3.3897116,-5.6317606,71.15421,0.5404325,-29.099373,-81.85758,0.11139761,3.2992117,-7.6640387,2.2992117,0.0781327,34.899216,1.0,-34.899216,1.0,1.6260176,0.0,-27.919106,-80.22436,0.8801323,-27.50877,-80.01721,0.13723339,0.0019687758445739744,427.3748400211334,95000
3.2796714,-7.5989046,2.2796714,0.061849188,35.484417,1.0,-35.484417,1.0,1.6667459,0.0,-28.22085,-83.69006,2.345707,-2.0513988,49.712505,0.97779703,-27.808512,-83.50277,0.12621084,3.3057287,-7.685767,2.3057303,0.0835648,34.571,0.9999983,-34.57094,1.0,1.4510769,0.0,-28.60252,-82.44433,0.8097739,-28.187351,-82.394844,0.13976887,0.0019909777164459227,437.3297333717346,100000
3.284108,-7.6136928,2.284108,0.065546155,35.242172,1.0,-35.242172,1.0,1.5784397,0.0,-28.854841,-83.09732,2.491726,-2.6047945,54.285416,0.6410528,-28.470585,-82.92354,0.18122913,3.2940018,-7.6466722,2.2940018,0.0737911,34.771103,1.0,-34.771103,1.0,2.0709047,0.0,-27.906767,-82.44645,1.0489095,-27.566643,-82.26574,0.1744741,0.03197008857727051,597.1801807880402,105000
3.2814963,-7.604987,2.2814963,0.06336974,35.495735,1.0,-35.495735,1.0,1.7302079,0.0,-29.06847,-82.94668,3.72305,-5.294235,86.1031,0.5426699,-28.680548,-82.76999,0.12775338,3.3025427,-7.6751986,2.3025596,0.08092265,35.47486,0.9999832,-35.474266,1.0,1.415099,0.0,-29.174206,-81.8586,0.59628856,-28.78694,-81.67445,0.12872107,0.0019406571865081786,606.8834772109985,110000
3.281228,-7.604094,2.281228,0.06314644,35.855087,1.0,-35.855087,1.0,1.3999453,0.0,-28.994854,-82.27916,3.2786736,-2.8452127,53.869026,0.40214258,-28.62907,-82.34736,0.1428763,3.305864,-7.6862135,2.305864,0.08367635,34.38157,1.0,-34.38157,1.0,1.2509745,0.0,-27.635138,-82.69612,0.8652755,-27.241697,-82.49778,0.18652482,0.0019367518901824952,616.567241191864,115000
3.27935,-7.597838,2.2793515,0.061582416,35.860794,0.9999985,-35.86074,1.0,1.3330489,0.0,-29.869131,-84.220795,1.6615194,-2.0165904,44.931206,0.41591823,-29.455261,-84.106766,0.11889014,3.2986212,-7.6620708,2.2986212,0.07764067,34.76738,0.99999994,-34.76738,1.0,1.7131245,0.0,-27.81168,-83.48384,0.99148536,-27.472246,-83.31701,0.17809638,0.0019266054153442382,626.2002727985382,120000
