training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
157.10727,0.06196617,-7.864175,0.12816662,1.0,1.9661806,-3.0752206,62.24713,0.5483856,-14.955313,-25.356396,0.14198512,181.3904,0.10829551,-7.8552995,0.12594785,1.0,0.597198,-15.021879,-25.32043,0.13751972,0.04747200126647949,237.36002159118652,5000
247.94478,0.0634011,-7.7804,0.107222974,1.0,1.9573804,-2.9825463,66.07553,0.9120263,-21.12925,-44.22792,0.25831938,253.79134,0.08421427,-7.8148947,0.11584668,1.0,0.5118218,-20.237366,-44.139874,0.27517635,0.0016681937217712403,245.70099544525146,10000
303.8849,0.13696165,-7.7812705,0.10744065,1.0,2.1875188,-2.1643913,76.43183,0.55859315,-22.421677,-59.27144,0.31103402,317.95184,0.15310492,-7.7826824,0.10779362,1.0,0.5952288,-22.35054,-59.47074,0.35632384,0.0016611398220062255,254.00669956207275,15000
312.46423,0.13480675,-7.7521343,0.10015662,1.0,2.71832,-2.8909893,76.70227,0.47262955,-24.326065,-69.224976,0.31882972,314.85907,0.13843796,-7.7692757,0.104442,1.0,0.5634871,-23.209316,-68.67499,0.3625846,0.0016705370903015136,262.35939025878906,20000
298.89368,0.124406956,-7.729038,0.09438248,1.0,2.2783337,-1.9384978,66.3955,0.7792895,-23.853031,-75.06137,0.28902152,304.9298,0.10874078,-7.7692537,0.104436405,1.0,0.47248992,-23.521154,-74.629486,0.2904792,0.0016711130142211914,270.7149622440338,25000
304.4491,0.14509985,-7.717968,0.09161502,1.0,2.490062,-2.529487,73.89724,0.8361694,-23.590828,-78.406876,0.30353785,317.0149,0.14260063,-7.797655,0.11153659,1.0,0.4705659,-23.751535,-76.95499,0.37087968,0.0016670117855072022,279.05002665519714,30000
313.79132,0.12401661,-7.746253,0.09868634,1.0,3.14552,-8.959777,83.83184,0.42991668,-24.716759,-82.70047,0.34950763,312.8852,0.13402684,-7.743392,0.09797092,1.0,0.5083047,-24.099592,-77.91388,0.3904081,0.001679667568206787,287.4483697414398,35000
305.364,0.12094985,-7.7188234,0.09182869,1.0,2.8014426,-6.439938,83.24892,0.53086996,-24.14082,-80.53809,0.35924163,318.03094,0.15204395,-7.7451987,0.09842262,1.0,0.46022892,-24.57491,-81.570854,0.5073047,0.0016598092079162597,295.7474207878113,40000
285.68036,0.05774778,-7.697675,0.08654182,1.0,1.9522991,-4.6090064,67.91487,0.30398235,-25.174862,-82.377365,0.30022386,329.24472,0.14284469,-7.7459054,0.09859927,1.0,0.5960506,-23.651165,-76.649445,0.6900641,0.0016708734035491943,304.1017940044403,45000
304.71637,0.12891057,-7.695204,0.08592394,1.0,3.7256644,-6.933752,87.9732,0.3429986,-24.577179,-86.902534,0.4347414,309.8626,0.11542257,-7.737731,0.096555695,1.0,0.8344077,-24.71545,-81.763,0.35460353,0.0016774985790252686,312.4892933368683,50000
