training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
2.9020693,-4.8011823,131.4652,358.47177,2.1004102,-10.13257,0.1886371,1.0,152.754,0.2285628,-7.751083,0.099893674,1.0,0.67247367,-15.762672,-26.924213,0.6948755,369.99274,2.1380007,-10.16546,0.19521485,1.0,176.68236,0.29102543,-7.771292,0.10494605,1.0,0.29943103,-15.4674225,-26.946127,0.5655271,0.05337346878051758,266.86735796928406,5000
7.117861,-8.035242,173.6061,489.86133,2.8332438,-9.949829,0.15208893,1.0,193.58954,0.2479298,-7.698639,0.08678266,1.0,0.18863434,-22.660465,-43.42199,0.9615085,514.07043,3.0477238,-9.947489,0.15162076,1.0,182.6262,0.16872558,-7.7363524,0.09621107,1.0,0.07886063,-22.89389,-43.41463,0.7731087,0.002337907123565674,278.55689907073975,10000
10.342557,-13.245328,275.22476,552.91583,3.1229317,-9.896963,0.14151561,1.0,215.4545,0.35158676,-7.6945534,0.085761294,1.0,0.31836325,-25.136755,-56.190346,1.1228933,538.9302,2.931538,-9.9286175,0.14784642,1.0,212.99585,0.25453776,-7.708835,0.08933174,1.0,0.1259458,-25.518127,-56.223145,1.1008213,0.0023379555225372314,290.2466821670532,15000
7.8894863,-7.2173557,197.90436,573.1382,3.5090222,-9.803359,0.1227948,1.0,166.61755,0.2573889,-7.6655483,0.07851015,1.0,0.15397125,-27.984394,-65.4716,1.2830497,567.67535,3.3151932,-9.871128,0.13634844,1.0,191.95685,0.3856827,-7.700191,0.08717066,1.0,0.17423119,-27.334515,-65.4939,1.2031262,0.0023388208866119385,301.9407916069031,20000
3.9524245,-5.0425177,162.66992,583.19586,3.5469408,-9.741743,0.11047163,1.0,178.26247,0.32555637,-7.6725335,0.08025639,1.0,0.2335625,-28.796936,-72.63039,1.3992914,549.65344,3.337031,-9.76416,0.11495514,1.0,189.12363,0.27736598,-7.7113256,0.08995442,1.0,0.22509018,-28.833431,-72.276505,1.1506853,0.0023361895561218263,313.6217441558838,25000
5.275365,-4.547639,187.98892,560.5038,3.4530418,-9.740236,0.11017034,1.0,195.957,0.3597905,-7.661469,0.0774903,1.0,0.1428307,-28.616919,-78.40195,1.5038474,563.0229,3.3277712,-9.819075,0.12593797,1.0,184.43591,0.28407788,-7.6937056,0.08554931,1.0,0.20352508,-28.874413,-78.43178,1.2726827,0.002344929265975952,325.3463954925537,30000
8.855386,-9.909389,195.30638,581.4863,3.7041361,-9.8544655,0.13301598,1.0,197.49068,0.30639946,-7.6757593,0.08106271,1.0,0.25997594,-32.04544,-83.18472,1.7006973,592.10614,4.1510754,-9.838213,0.12976544,1.0,200.07588,0.35108304,-7.6630235,0.07787885,1.0,0.087934986,-30.485958,-83.20738,1.2877679,0.0023319718837738037,337.0062599182129,35000
3.9752984,-4.206592,180.34871,558.18317,3.0241828,-9.891338,0.14039075,1.0,179.03697,0.25378072,-7.6335077,0.07049986,1.0,0.115948394,-33.527267,-87.15033,2.0408444,602.4713,3.9614015,-9.885536,0.13923016,1.0,189.04462,0.39140558,-7.6534967,0.075497136,1.0,0.26287502,-31.768593,-87.50656,1.6365244,0.0023388353347778322,348.7004415988922,40000
4.673754,-4.5670877,224.30626,570.3734,3.5626395,-9.884121,0.13894713,1.0,183.70142,0.32701015,-7.637993,0.07162115,1.0,0.13246658,-32.652016,-90.81621,1.7167422,603.3312,4.079145,-9.941617,0.15044628,1.0,185.62125,0.34994447,-7.693578,0.08551745,1.0,0.16309877,-31.969421,-90.56821,2.2822008,0.0023370973110198976,360.3859329223633,45000
4.5484514,-3.1447191,161.24487,591.6587,3.8194885,-9.811134,0.124349736,1.0,195.28983,0.40239906,-7.6491194,0.07440285,1.0,0.09838673,-33.559967,-93.84938,1.6395185,609.96906,3.9563687,-9.876308,0.13738464,1.0,185.28265,0.36172584,-7.6951313,0.08590589,1.0,0.09380412,-32.545486,-93.310715,1.8244884,0.0023445520401000975,372.10869812965393,50000
