training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0232499,-7.749942,0.023249827,0.099608466,249.46394,1.0,-249.46394,1.0,3.4008722,263.37842,-200.54904,2239.466,164.54485,951.07477,406.82812,4.4679646,11.164713,12.233671,3.3741584,0.0062541603,7.143149,-79.39405,164.90201,244.29605,1.0232931,-7.7643647,0.023293093,0.10321413,235.53503,1.0,-235.53503,1.0,3.166081,160.50491,950.01624,410.08862,3.9936152,9.136599,10.474347,3.1424623,0.008259516,7.1454387,-64.927734,160.86218,225.78992,0.05416676368713379,270.8338301181793,5000
1.0231214,-7.7071033,0.02312131,0.08889884,143.30011,1.0,-143.30011,1.0,1.8446007,60.53789,-119.922485,1123.4172,273.01953,725.11,241.87494,1.265005,1.9639094,7.4889116,1.8292276,0.0029200905,31.703802,-60.678207,274.60474,335.28293,1.0232221,-7.7406836,0.023222048,0.097293735,154.60577,1.0,-154.60577,1.0,1.8714908,270.30896,634.16345,244.5127,0.31377554,2.1351855,6.752896,1.8734066,0.012732549,31.712603,-66.12666,271.8946,338.02124,0.0036949007034301757,289.30833888053894,10000
1.0245196,-8.1732025,0.02451961,0.20542365,85.892944,0.99999994,-85.892944,1.0,0.7669935,116.27268,-198.19943,1273.1338,354.14532,634.648,150.97412,0.7326492,0.27689403,4.722086,1.0725057,0.0041026054,112.613205,-25.551264,359.77597,385.32724,1.0245413,-8.180416,0.02454125,0.20722708,77.410706,1.0,-77.410706,1.0,0.74501324,356.61597,445.81552,147.75487,0.12520576,0.23946291,4.060824,1.0525049,0.006248924,112.63979,-21.341064,362.24796,383.58902,0.003694971323013306,307.78320264816284,15000
1.0243937,-8.131254,0.024393763,0.19493644,58.16085,0.99999994,-58.16085,1.0,0.5697644,198.56688,-122.167496,1219.8599,383.73322,665.26337,121.515076,1.3317884,0.04892618,3.0286906,0.811857,0.0031702276,288.7475,0.3100635,398.1706,397.86053,1.0244102,-8.136732,0.024410198,0.19630605,52.463844,1.0,-52.463844,1.0,0.5972101,381.30917,568.6273,123.420456,0.21949638,0.051164296,3.779002,0.7914629,0.007436016,288.79666,-0.33624443,395.74902,396.08527,0.00369490966796875,326.25775599479675,20000
1.0241694,-8.056478,0.024169434,0.17624235,57.005676,1.0,-57.005676,1.0,0.6489169,99.972626,-116.587616,838.4946,370.97275,820.9065,145.3451,0.99585557,0.034337077,2.2219565,0.7807039,0.0049950685,342.84302,5.369924,388.1149,382.74496,1.0243756,-8.125174,0.02437552,0.19341627,53.336727,1.0,-53.336727,1.0,0.5259206,374.88663,822.73724,137.06989,0.046964295,0.0896644,8.262577,0.78836334,0.0035681452,342.82846,-13.598084,392.02805,405.62613,0.0036940006732940674,344.7277657985687,25000
1.0243739,-8.12463,0.02437389,0.19328055,57.75397,1.0,-57.75397,1.0,0.46778804,71.853035,-70.38268,695.8281,375.8071,918.88135,147.31784,0.44054073,0.036850262,2.3934288,0.81439763,0.00017403366,319.76193,4.204786,391.7952,387.59042,1.0245343,-8.178122,0.024534363,0.20665316,57.408478,1.0,-57.408478,1.0,0.48802358,374.82123,873.2177,147.11937,0.09588606,0.2289223,14.741334,0.8111807,0.0064847274,319.75534,-57.21136,390.809,448.02036,0.0036958169937133787,363.2068555355072,30000
1.0236752,-7.8917465,0.023675242,0.13505974,57.47212,1.0,-57.47212,1.0,0.77897495,67.29173,-84.211266,595.6044,375.04797,905.7587,141.51138,1.8725021,0.041097704,2.0019066,0.8067349,0.0032699401,300.71384,2.6770437,390.08365,387.40662,1.0236962,-7.8987064,0.02369612,0.13679966,56.562614,1.0000001,-56.562614,1.0,0.7746291,378.44522,860.12695,136.06659,0.79199904,0.034850623,2.1103816,0.80774724,0.00799278,300.71252,4.5556073,393.48083,388.92523,0.0036935897827148436,381.6748104095459,35000
1.0243583,-8.119417,0.024358252,0.19197725,60.918648,1.0,-60.918648,1.0,0.74296963,69.66761,-75.317665,911.5877,369.79324,1070.3337,166.1326,0.6899716,0.061457004,2.7431812,0.8591237,0.003752797,287.66156,-3.2957397,384.1763,387.47205,1.0243976,-8.132548,0.024397645,0.19526006,59.498184,1.0,-59.498184,1.0,0.5383775,368.2115,1028.7551,165.41153,0.720134,0.056512494,4.281057,0.83699733,0.00844919,287.66595,-1.8734225,382.5948,384.4682,0.0036949130058288576,400.1493811607361,40000
1.0242267,-8.075548,0.024226647,0.18101017,62.32818,1.0,-62.32818,1.0,0.4529459,70.5948,-93.28111,674.7205,357.70728,1102.2429,189.45932,1.1768024,0.045894496,2.3600194,0.8254308,0.003996753,285.7739,1.173246,371.99597,370.82272,1.024288,-8.096015,0.024288043,0.18612665,62.102043,1.0,-62.102043,1.0,0.50965,363.73087,1067.3022,178.8564,0.42302042,0.060338672,3.1560924,0.8418952,0.0054895096,285.76,-2.9543788,378.01886,380.97324,0.003691919183731079,418.60898208618164,45000
1.0241559,-8.051971,0.024155913,0.17511578,64.599594,1.0,-64.599594,1.0,0.47993073,73.38529,-69.86682,815.0096,367.79443,1116.0781,168.43555,1.0176256,0.048077144,2.9712543,0.84455216,0.004420587,291.54135,0.56059235,382.3715,381.8109,1.0242351,-8.078381,0.024235144,0.18171817,60.751583,1.0,-60.751583,1.0,0.46317846,367.01566,1053.6614,169.11023,0.35005358,0.04801605,3.130036,0.82573164,0.008897718,291.54037,0.57840204,381.59268,381.01428,0.0036920805931091307,437.0693898200989,50000
