training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.8143587,-8.148318,0.8148318,0.19920236,8.193633,0.9995269,-8.189757,1.0,0.99903107,0.064453125,0.0058232024,-11.454029,-11.460252,-5.088316,4.485615,0.037686117,3.1954676e-06,0.008495399,-0.006884993,0.25777662,1.8129086,-8.1299925,0.81299925,0.194621,7.8010063,0.99990946,-7.8003006,1.0,0.99902344,0.043945312,0.005903066,-11.310869,-11.317041,-4.99621,11.009199,0.03295542,1.605918e-06,0.047827237796783446,239.13620042800903,5000
1.8079314,-8.090813,0.8090813,0.1848262,8.168116,0.99885017,-8.158725,1.0,0.9990349,0.09277344,0.0051943916,-12.517136,-12.52524,-4.2269397,10.397537,0.08962197,2.5591025e-05,0.008328597,-0.009363059,0.2726983,1.806581,-8.081067,0.8081067,0.18238978,8.406347,0.9984743,-8.393522,1.0,0.99901867,0.057617188,0.005457134,-12.331718,-12.339415,-4.4597845,14.051341,0.0699104,2.757708e-05,0.0020340213775634766,249.30631279945374,10000
1.8011851,-8.038537,0.8038537,0.17175715,8.296535,0.99733144,-8.274396,1.0,0.9990349,0.09765625,0.0051404005,-12.747633,-12.755966,-4.222148,51.881153,0.15811625,1.6783562e-05,0.010179731,-0.009187635,0.28097096,1.8043598,-8.069803,0.8069803,0.1795738,8.527113,0.9973795,-8.504768,1.0,0.9990177,0.08984375,0.0053608855,-12.639349,-12.647448,-4.3542256,41.46247,0.16281113,1.8422435e-05,0.002037296199798584,259.4927988052368,15000
1.796772,-7.9897246,0.79897237,0.15955397,8.7890415,0.99779963,-8.769703,1.0,0.99904346,0.12695312,0.0048849466,-13.226496,-13.23548,-4.035882,32.118935,0.15205169,3.2539978e-05,0.0113130985,-0.007747866,0.2282064,1.8019145,-8.055542,0.80555415,0.17600834,8.694759,0.99636036,-8.663115,1.0,0.9989996,0.08691406,0.0053478405,-12.980349,-12.988794,-4.3404946,70.08669,0.24467029,1.1934187e-05,0.0020353845119476317,269.66972613334656,20000
1.7957911,-8.004506,0.80045056,0.16324946,8.7686205,0.9953405,-8.727764,1.0,0.9990444,0.15917969,0.0047612265,-13.353242,-13.362483,-3.8989363,31.370031,0.25104678,2.3659839e-05,0.008890704,-0.008155638,0.23125757,1.8019354,-8.031936,0.80319357,0.17010693,9.157105,0.99874187,-9.145585,1.0,0.99901295,0.09277344,0.005276968,-13.203089,-13.211738,-4.3551917,86.61401,0.17523412,5.2743976e-06,0.002035578107833862,279.84762167930603,25000
1.7969701,-8.008541,0.8008541,0.16425827,9.0103,0.996116,-8.975305,1.0,0.99903965,0.1640625,0.0046698437,-13.510139,-13.51973,-3.7002773,36.037262,0.2293997,4.4542798e-05,0.01003259,-0.013966236,0.23444447,1.8024514,-8.03381,0.80338097,0.17057535,8.570742,0.9990704,-8.562776,1.0,0.99902153,0.11035156,0.005347223,-13.228378,-13.237006,-4.402219,15.355375,0.07816504,7.6318065e-06,0.0020374576568603516,290.03491592407227,30000
1.7950093,-7.9855566,0.7985556,0.15851197,8.757588,0.99645364,-8.726532,1.0,0.99903965,0.18554688,0.004624199,-13.7483,-13.758168,-3.6513302,51.992397,0.23841488,8.842508e-05,0.009711562,-0.011828441,0.2505894,1.8008091,-8.023535,0.8023535,0.16800669,8.958704,0.9984557,-8.94487,1.0,0.99901676,0.10058594,0.0052603297,-13.580048,-13.589164,-4.2547383,56.725357,0.16229126,8.947844e-06,0.002033233642578125,300.2010889053345,35000
1.7970022,-8.015232,0.8015232,0.16593093,9.181671,0.995479,-9.1401615,1.0,0.99903774,0.1796875,0.0046167662,-13.623795,-13.633542,-3.6521153,44.018917,0.3543272,1.8752331e-05,0.014387643,-0.012081074,0.24482617,1.8028452,-8.049297,0.8049297,0.17444713,9.188102,0.9979155,-9.16895,1.0,0.9990063,0.10058594,0.005384701,-13.5648155,-13.573811,-4.3639803,211.61766,0.44489622,1.10463325e-05,0.0020360929012298583,310.3815584182739,40000
1.7972171,-8.029673,0.8029672,0.16954094,9.030893,0.9942499,-8.978966,1.0,0.99904823,0.18164062,0.004663079,-13.83127,-13.8412285,-3.6441002,58.095547,0.43378872,4.4219898e-05,0.02342755,-0.014689399,0.2733413,1.7981501,-7.9921975,0.7992198,0.16017243,9.3496895,0.9989303,-9.339688,1.0,0.9990101,0.08105469,0.0054321894,-13.514223,-13.523146,-4.3866515,41.196285,0.14761841,3.3796388e-07,0.0020413122177124023,320.5881247520447,45000
1.794986,-7.9633493,0.79633486,0.15296023,9.311611,0.99865115,-9.299052,1.0,0.9990406,0.23144531,0.0044876104,-13.970097,-13.980297,-3.5357766,104.86254,0.28308177,4.8940477e-05,0.007910924,-0.010370262,0.22876419,1.7945113,-7.9610806,0.796108,0.1523931,9.216963,0.9984034,-9.202248,1.0,0.9990263,0.08886719,0.0053841416,-13.6101,-13.61908,-4.4239,65.27804,0.18371448,9.2631575e-07,0.0020349669933319094,330.76296401023865,50000
1.7939167,-7.9847593,0.798476,0.15831277,8.978406,0.99544066,-8.937471,1.0,0.9990463,0.23925781,0.0045181657,-13.997291,-14.007563,-3.4888287,65.10563,0.3530974,5.0548602e-05,0.011668997,-0.012869029,0.24966331,1.8002295,-8.013189,0.80131894,0.16542031,9.442127,0.99891067,-9.431843,1.0,0.99901485,0.103515625,0.005357015,-13.757902,-13.7671,-4.348286,47.71946,0.16394463,6.990924e-07,0.002037404155731201,340.9499897956848,55000
1.7944775,-7.957122,0.7957122,0.15140337,9.320783,0.99876535,-9.309276,1.0,0.9990444,0.24902344,0.004411121,-14.276649,-14.287268,-3.414312,91.88654,0.36776602,5.902369e-05,0.014265841,-0.025059886,0.26391518,1.7995896,-8.001626,0.8001626,0.16252956,9.297853,0.99942696,-9.292526,1.0,0.9990206,0.10253906,0.005283234,-13.882656,-13.891943,-4.382365,200.06831,0.31608108,9.034836e-08,0.00203419508934021,351.1209716796875,60000
1.7953157,-7.9878902,0.7987891,0.15909562,9.075196,0.9965266,-9.043675,1.0,0.9990492,0.265625,0.0043181777,-14.372841,-14.38366,-3.3041215,83.519714,0.43959254,1.4252246e-05,0.007872212,-0.009657234,0.22773258,1.7961137,-7.969637,0.79696363,0.15453209,9.440747,0.99915004,-9.432724,1.0,0.99901867,0.11230469,0.0054991646,-13.427502,-13.43627,-4.4585104,219.76212,0.3090254,2.595808e-07,0.0020357505798339844,361.299729347229,65000
1.7875462,-7.942294,0.7942294,0.14769651,9.435009,0.9933167,-9.371953,1.0,0.99906063,0.27734375,0.0041769836,-14.561672,-14.572779,-3.1996944,88.67844,0.56046534,2.8906594e-05,0.01173413,-0.008334051,0.22911124,1.802093,-8.035456,0.8035456,0.17098697,9.595187,0.99854743,-9.58125,1.0,0.9990139,0.10839844,0.0053895684,-13.897345,-13.906662,-4.3650856,267.11923,0.27915308,3.230712e-08,0.0020397294521331787,371.4983823299408,70000
1.7886231,-7.911742,0.7911742,0.14005855,9.313784,0.99744886,-9.290024,1.0,0.9990549,0.30664062,0.0041648624,-14.625977,-14.637174,-3.171188,106.713425,0.503851,3.100317e-05,0.0085602775,-0.01149823,0.23587364,1.7940612,-7.9441743,0.79441744,0.14816654,9.284203,0.9996437,-9.280895,1.0,0.9990206,0.119140625,0.0053783706,-13.6620655,-13.671128,-4.389721,161.14052,0.33162037,4.0127416e-06,0.002029836463928223,381.64756989479065,75000
1.7886355,-7.935936,0.7935936,0.14610693,9.405645,0.99504185,-9.359012,1.0,0.999053,0.27148438,0.0042030322,-14.70696,-14.71823,-3.176101,79.42268,0.51626647,5.428253e-05,0.012578536,-0.0116039505,0.25638217,1.7903137,-7.9111366,0.7911137,0.13990714,9.39024,0.9992,-9.382729,1.0,0.9990158,0.10644531,0.005385316,-13.892217,-13.901462,-4.434187,616.0825,0.40085763,1.6522979e-07,0.0020353798866271974,391.8244740962982,80000
1.7926689,-7.980173,0.7980174,0.15716626,9.520435,0.99465156,-9.469517,1.0,0.999073,0.30273438,0.004145491,-14.767535,-14.778906,-3.1349916,110.22805,0.5903895,5.3709402e-05,0.010806686,-0.011028113,0.25501776,1.7929463,-7.93473,0.793473,0.14580551,9.071376,0.99947333,-9.066599,1.0,0.9990101,0.10253906,0.0054043573,-13.929726,-13.939071,-4.3701286,245.47293,0.40945476,2.6377556e-08,0.002038136577606201,402.0151629447937,85000
1.7919425,-7.9368715,0.7936871,0.14634082,9.355768,0.9982554,-9.339447,1.0,0.99906445,0.31640625,0.004073252,-15.0798235,-15.091545,-3.0896354,190.65244,0.57346594,1.5222758e-05,0.017610563,-0.010961248,0.2502115,1.7889879,-7.923214,0.79232144,0.14292647,9.360701,0.9966664,-9.329496,1.0,0.99900913,0.11035156,0.005451493,-13.791004,-13.80016,-4.4238234,190.41277,0.489411,4.825626e-07,0.002035132360458374,412.19082951545715,90000
1.7906659,-7.9429193,0.794292,0.14785278,9.098382,0.9963739,-9.065392,1.0,0.99908733,0.32714844,0.004028703,-15.036871,-15.048655,-2.9828606,94.62575,0.5812926,6.0008435e-05,0.014096248,-0.017030409,0.24515693,1.7927359,-7.9519877,0.7951988,0.15011995,9.014891,0.99753714,-8.992689,1.0,0.9989548,0.10058594,0.005546132,-13.920643,-13.929974,-4.3760815,577.85944,1.1732202,8.411211e-07,0.0020384431838989256,422.3830499649048,95000
1.7895746,-7.938623,0.79386234,0.1467787,9.192051,0.99571234,-9.152639,1.0,0.9990835,0.3125,0.0041240524,-15.007786,-15.019396,-3.131925,111.023254,0.5706737,1.7905753e-05,0.013324517,-0.01468288,0.25851482,1.7958503,-7.965889,0.79658884,0.15359515,9.895385,0.99926144,-9.888078,1.0,0.9990206,0.09082031,0.0054324954,-13.803979,-13.813118,-4.4554625,701.8017,0.6107429,1.6964019e-05,0.002031227540969849,432.5391926765442,100000
1.7884626,-7.93618,0.7936181,0.14616802,9.321891,0.9948446,-9.273834,1.0,0.99908066,0.3359375,0.003999261,-15.185784,-15.197744,-2.9509416,81.22867,0.6365835,3.0695704e-05,0.014577689,-0.0151160415,0.2641299,1.7909648,-7.9292736,0.7929274,0.1444414,9.559781,0.9980375,-9.541021,1.0,0.99901295,0.091796875,0.0054413974,-13.835213,-13.844369,-4.468379,482.10233,0.54069364,6.082976e-08,0.03653687500953674,615.2235724925995,105000
1.7869368,-7.9063187,0.7906319,0.1387027,9.421831,0.9963048,-9.387016,1.0,0.99909115,0.3330078,0.003984811,-15.221949,-15.2339945,-2.90059,502.6166,0.92846066,7.6832e-05,0.00994144,-0.014632218,0.24880865,1.7952621,-7.963006,0.79630065,0.15287454,9.685537,0.9989614,-9.675479,1.0,0.998991,0.109375,0.0054750144,-13.850101,-13.859336,-4.4029837,7212.7256,4.5645337,5.238735e-08,0.0020389060497283938,625.4181084632874,110000
1.7876823,-7.928443,0.7928443,0.14423378,9.535967,0.994838,-9.486743,1.0,0.99910545,0.36132812,0.0038375775,-15.556101,-15.56863,-2.7391498,256.44595,1.0030653,8.714788e-05,0.015558023,-0.012282664,0.2708884,1.7942989,-7.9447374,0.79447377,0.14830734,9.416255,0.9998251,-9.41461,1.0,0.99901676,0.09765625,0.005386007,-13.870457,-13.879851,-4.260441,6.9985223,0.0832566,9.993439e-07,0.002034524250030518,635.5907361507416,115000
1.7895384,-7.933627,0.79336274,0.14552975,9.617782,0.99617565,-9.581001,1.0,0.9991064,0.36816406,0.0038497518,-15.663956,-15.67657,-2.7600298,190.12135,0.8853209,8.342572e-05,0.020562857,-0.018786682,0.26404652,1.792573,-7.9551954,0.7955196,0.1509219,9.533098,0.9970533,-9.505009,1.0,0.9989605,0.09667969,0.005503364,-13.848519,-13.857772,-4.382411,235.90135,0.6263997,2.5047045e-06,0.002035061025619507,645.7660465240479,120000
1.7882702,-7.9163313,0.7916331,0.14120576,9.364265,0.9966371,-9.332775,1.0,0.99909115,0.34570312,0.0040002153,-15.469101,-15.481336,-2.9525971,78.89292,0.6154185,6.1041035e-05,0.018380865,-0.030457985,0.28765112,1.7940305,-7.9535556,0.79535556,0.1505119,9.302881,0.998675,-9.290556,1.0,0.9990101,0.11035156,0.0053881183,-13.843428,-13.852688,-4.3705554,56.99228,0.1740572,1.7746442e-09,0.0020371614933013915,655.951858997345,125000
1.7910154,-7.941169,0.7941169,0.14741524,9.650182,0.99689853,-9.620253,1.0,0.99911594,0.3564453,0.003937021,-15.630455,-15.642914,-2.885741,119.62135,1.0800064,0.00012366746,0.009660468,-0.009689118,0.24723452,1.7888684,-7.907406,0.7907406,0.13897452,9.15605,0.9981279,-9.138909,1.0,0.9990139,0.11328125,0.005342395,-13.693332,-13.702453,-4.362602,460.00922,0.37276185,7.610536e-07,0.0020348085403442385,666.1259076595306,130000
1.7895595,-7.939539,0.7939539,0.14700773,9.485049,0.9956056,-9.443369,1.0,0.9991102,0.3798828,0.0038978988,-15.4756775,-15.4881,-2.7675745,91.0543,0.9049132,7.46246e-05,0.012238443,-0.013794043,0.26011923,1.7934188,-7.952669,0.79526687,0.15029028,9.941092,0.9981519,-9.92272,1.0,0.999012,0.09863281,0.0054047722,-13.982677,-13.992023,-4.4233375,204.3311,0.30850184,5.7945414e-07,0.002034792470932007,676.2998750209808,135000
1.7877084,-7.912533,0.79125327,0.14025617,9.2443695,0.99645513,-9.2116,1.0,0.99911594,0.3564453,0.0039245784,-15.598702,-15.611229,-2.7852821,145.2816,1.1775615,4.952186e-05,0.021101765,-0.01969423,0.27512395,1.7929311,-7.9378557,0.7937856,0.14658684,9.670643,0.99914557,-9.662381,1.0,0.99900246,0.10449219,0.005377419,-13.889381,-13.898727,-4.32827,945.21625,1.1020782,3.6280545e-07,0.002037626504898071,686.4880132675171,140000
1.7826304,-7.900767,0.7900767,0.13731472,9.586298,0.99255383,-9.514917,1.0,0.99911594,0.36132812,0.0039059718,-15.698745,-15.711332,-2.82134,93.10888,0.96798146,9.194525e-05,0.012176779,-0.016133118,0.2417965,1.7919846,-7.9264083,0.7926408,0.14372507,9.844255,0.9993438,-9.837796,1.0,0.99901295,0.10058594,0.005324675,-14.026855,-14.036372,-4.2905073,66.01672,0.25248322,8.6524864e-07,0.0020358694553375242,696.6673669815063,145000
1.785315,-7.91473,0.79147303,0.14080548,9.291334,0.99384207,-9.234119,1.0,0.99911404,0.3876953,0.0038206587,-16.011038,-16.024046,-2.7011924,84.68126,0.9516368,7.246583e-05,0.019843534,-0.009914037,0.26222366,1.794936,-7.9584856,0.7958486,0.1517444,9.499235,0.99908733,-9.490566,1.0,0.99901104,0.109375,0.0053810813,-13.832434,-13.841743,-4.3079433,174.96669,0.3028661,4.8385456e-08,0.002039356803894043,706.8641574382782,150000
1.7905402,-7.9230566,0.79230565,0.14288709,9.793135,0.9982345,-9.7758465,1.0,0.9991255,0.38085938,0.0038457096,-15.833002,-15.845808,-2.7329516,100.455414,0.84437025,5.8950725e-05,0.012245014,-0.0148538565,0.2590524,1.7905335,-7.9160366,0.7916037,0.14113212,9.496383,0.99892986,-9.486221,1.0,0.99901676,0.09765625,0.0054173036,-14.014452,-14.023823,-4.428309,143.79471,0.22038905,1.8377723e-09,0.0020369650840759276,717.0489888191223,155000
1.7833728,-7.880061,0.7880061,0.1321382,9.444981,0.99536663,-9.401219,1.0,0.9991379,0.37597656,0.0037965667,-16.033575,-16.046612,-2.6978598,169.01714,1.1362536,0.00012568384,0.016692933,-0.014887499,0.24793197,1.7918475,-7.9416494,0.79416496,0.14753535,9.66473,0.9976826,-9.642334,1.0,0.99902153,0.111328125,0.0053613298,-13.912411,-13.921764,-4.343183,364.35565,0.5046369,4.3361626e-07,0.002035811710357666,727.2280521392822,160000
1.7917324,-7.9404254,0.7940426,0.14722933,9.516624,0.99768984,-9.49464,1.0,0.99911404,0.38476562,0.0037929304,-16.032179,-16.045189,-2.7225437,88.52031,0.75948083,9.047973e-05,0.013917587,-0.016476948,0.25440735,1.790135,-7.9104776,0.7910478,0.13974243,9.559552,0.9990872,-9.550828,1.0,0.9990196,0.09765625,0.0053800503,-13.773523,-13.782659,-4.428607,122.22166,0.18581012,1.3944117e-06,0.0020388030529022217,737.4220733642578,165000
1.7939532,-7.971982,0.7971982,0.15511839,9.83696,0.99675506,-9.80504,1.0,0.99910545,0.375,0.0038435734,-16.293604,-16.306782,-2.8127084,122.88071,0.93918145,0.00015373444,0.012173056,-0.016706195,0.26184273,1.7884779,-7.9005117,0.7900512,0.1372509,9.391781,0.9984266,-9.377005,1.0,0.999012,0.09375,0.0053178123,-14.196163,-14.205821,-4.316175,298.92065,0.52959555,9.403737e-09,0.0020339906215667723,747.5920324325562,170000
