training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.3395128,-7.798376,2.3395128,0.11171694,18.092854,0.9999999,-18.092854,1.0,1.304685,0.35104418,-14.184714,-22.844702,2.3841546,-3.231548,47.221252,0.9609161,-13.602823,-22.074572,0.058232427,3.3386347,-7.795518,2.3386555,0.1110024,17.63217,0.99997926,-17.631805,1.0,1.5286466,0.0,-13.833014,-22.760286,1.0657763,-13.214617,-22.03352,0.07729751,0.05043996591567993,252.19984602928162,5000
3.3313427,-7.7711563,2.331347,0.10491199,26.54594,0.99999565,-26.545826,1.0,2.7577221,0.0,-19.650307,-38.718487,4.188046,-3.7684188,93.206085,1.3684707,-19.088577,-38.13958,0.13716465,3.331664,-7.772382,2.3317146,0.10521844,26.93206,0.99994934,-26.930696,1.0,2.167954,0.0,-19.697676,-38.52671,0.88201153,-19.172352,-37.914616,0.11682165,0.001952097511291504,261.96033906936646,10000
3.3194733,-7.7316008,2.3194802,0.09502304,30.62043,0.9999932,-30.620224,1.0,3.20922,0.0,-22.570349,-50.53153,11.166651,-12.185496,219.15157,0.56274915,-22.177303,-50.06125,0.16190192,3.323784,-7.7460327,2.32381,0.098631084,31.14541,0.99997395,-31.144602,1.0,3.061091,0.41721392,-22.34866,-50.85625,0.8536254,-21.944641,-50.323227,0.15397528,0.0019508198738098146,271.71445178985596,15000
3.3038802,-7.6796055,2.3038816,0.08202432,32.64197,0.99999845,-32.641922,1.0,2.6721258,0.0,-24.452267,-58.957493,5.3645597,-6.1962295,123.51421,0.585333,-24.058603,-58.321278,0.16346306,3.3265734,-7.755249,2.3265748,0.10093515,32.62063,0.9999986,-32.620583,1.0,2.834793,0.0,-23.673838,-59.245388,0.71706986,-23.250658,-58.821983,0.1986115,0.0019594944477081297,281.5119287967682,20000
3.308071,-7.693577,2.308073,0.08551716,32.720383,0.9999978,-32.72031,1.0,2.1755745,0.0,-23.665005,-63.55326,3.7970388,-4.411879,63.05371,0.66575503,-23.187561,-63.185642,0.14427367,3.3140526,-7.713546,2.314064,0.09050944,34.32753,0.9999887,-34.32714,1.0,2.339357,0.0,-23.57505,-63.798492,0.8635619,-23.14425,-63.275173,0.16463119,0.0019617116928100586,291.32049322128296,25000
3.3126018,-7.7086725,2.3126018,0.08929106,33.65756,1.0,-33.65756,1.0,1.9887931,0.0,-23.813086,-67.39504,5.148278,-5.9758854,95.0338,0.7983412,-23.441332,-67.01722,0.14630184,3.3209355,-7.736487,2.3209462,0.09624463,33.073303,0.9999892,-33.072945,1.0,1.9155961,0.0,-23.732038,-67.48367,1.2000047,-23.353941,-67.31781,0.12673381,0.0019454583644866943,301.0477912425995,30000
3.2993197,-7.6644297,2.2993288,0.07823034,33.393517,0.99999106,-33.39322,1.0,1.833892,0.0,-24.668655,-69.11339,4.98073,-4.3124228,88.19945,0.61277914,-24.28426,-68.86267,0.14485064,3.3079596,-7.6931977,2.3079596,0.08542246,34.148975,1.0,-34.148975,1.0,2.072309,0.0,-23.647919,-69.17764,0.6808299,-23.287773,-68.61128,0.14579725,0.0019602922439575197,310.84925746917725,35000
3.301725,-7.67243,2.3017292,0.08023058,34.32458,0.99999565,-34.324432,1.0,1.8206499,0.05748999,-23.9099,-69.9549,2.8179553,-3.5613992,68.48914,0.66366494,-23.555403,-69.44202,0.1365949,3.3146627,-7.7155495,2.3146648,0.09101033,34.345932,0.9999978,-34.345856,1.0,2.615518,0.09500408,-25.204319,-69.6602,0.5692446,-24.766123,-69.44209,0.15812042,0.0019407185554504395,320.552855014801,40000
3.3073578,-7.691192,2.3073578,0.08492101,34.44731,0.99999994,-34.44731,1.0,2.6483688,0.0,-24.685665,-70.409874,9.560853,-9.6416645,121.62636,0.59139407,-24.33104,-70.04706,0.17866458,3.3084958,-7.695017,2.308505,0.08587715,34.80179,0.99999064,-34.801464,1.0,1.9201591,0.0,-24.385584,-72.32901,0.6252217,-24.04496,-72.06971,0.15622272,0.0019667421340942384,330.38657093048096,45000
3.295538,-7.6517935,2.295538,0.07507135,35.06376,1.0,-35.06376,1.0,1.5108945,0.0,-24.971325,-72.05023,2.690681,-2.8173165,49.23933,0.63166416,-24.561996,-71.85377,0.10962436,3.3016696,-7.6722317,2.3016696,0.0801809,34.39469,1.0,-34.39469,1.0,1.7216518,0.0,-24.452541,-71.42627,0.97181165,-24.093445,-71.10833,0.12045266,0.0019693041801452636,340.23309659957886,50000
