training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
200.77612,0.12282819,-7.9404593,0.14723781,1.0,2.0539696,-2.1461923,85.70199,0.5514927,-13.92343,-25.33846,0.2759437,217.06323,0.12808733,-7.9244523,0.14323607,1.0,0.7049525,-13.599699,-25.352337,0.27952522,0.04748726539611817,237.43634271621704,5000
325.48407,0.17642397,-7.8572545,0.1264366,1.0,2.4827292,-1.9807955,84.66666,0.98645914,-17.492716,-43.90695,0.36194545,307.87903,0.18438803,-7.8447638,0.12331401,1.0,1.1014962,-17.675678,-44.382515,0.36207658,0.0016890907287597657,245.88180208206177,10000
343.20355,0.18134421,-7.8045845,0.11326912,1.0,2.983954,-3.2792463,93.17459,0.7077562,-19.055191,-57.26528,0.295348,313.89435,0.08275264,-7.820589,0.11727032,1.0,0.60364085,-18.865189,-57.459854,0.30745977,0.0016768857002258301,254.26623582839966,15000
320.8791,0.12975813,-7.7516527,0.10003623,1.0,2.2781434,-2.1457746,76.83358,0.60022557,-20.421984,-64.472,0.35748565,323.24097,0.104205236,-7.8228397,0.11783278,1.0,0.5656867,-20.051262,-64.54103,0.37220052,0.0016922895908355713,262.72768902778625,20000
318.6518,0.14340843,-7.786496,0.10874707,1.0,4.4638853,-2.8958147,98.43189,0.47039178,-19.689442,-71.16391,0.49787185,334.5041,0.1460295,-7.7911234,0.10990392,1.0,0.52065873,-19.660057,-68.399124,0.46584713,0.0016938390731811523,271.1968901157379,25000
339.59613,0.15215136,-7.801857,0.11258724,1.0,4.6877875,-6.6038766,120.54522,0.44313607,-20.14959,-68.23717,0.4062444,353.2553,0.19506177,-7.8080635,0.114138916,1.0,0.5593731,-20.049644,-70.762665,0.3096543,0.001688826370239258,279.64102721214294,30000
336.11017,0.15188712,-7.752178,0.10016753,1.0,2.9905863,-2.2063372,85.30493,0.40972024,-20.805986,-70.30755,0.29024404,343.15546,0.16788727,-7.7741413,0.10565829,1.0,0.4131475,-19.874008,-71.77263,0.37481508,0.0016906351089477538,288.09420800209045,35000
339.2726,0.16241643,-7.752425,0.10022934,1.0,2.303542,-3.3234391,79.62634,1.1160114,-20.019375,-71.12795,0.34716022,330.27875,0.1417636,-7.792653,0.110286325,1.0,0.56087536,-21.23966,-70.09343,0.38240975,0.0016817749500274658,296.50308752059937,40000
359.31088,0.22160175,-7.7502728,0.099691056,1.0,4.7891693,-6.3886175,128.67316,0.47375768,-20.870708,-69.95969,0.4203344,323.4969,0.15804467,-7.7658067,0.10357467,1.0,0.5719552,-20.72088,-73.28824,0.3227106,0.0017371444702148438,305.1888153553009,45000
350.08435,0.20248371,-7.736395,0.09622164,1.0,3.0792484,-2.2500734,85.770645,0.60401237,-21.148365,-70.587326,0.37482506,337.41873,0.15942103,-7.759742,0.10205847,1.0,0.47343564,-20.513638,-72.01747,0.29627335,0.0016772411346435547,313.57502698898315,50000
341.26224,0.18534032,-7.7272134,0.0939264,1.0,5.0491495,-8.654844,99.36278,0.3467685,-21.21974,-70.91742,0.30286768,345.69302,0.15669066,-7.7904606,0.10973802,1.0,0.500757,-20.400537,-73.73363,0.30552015,0.0016791519641876221,321.9707930088043,55000
336.3045,0.13599318,-7.7407093,0.09730029,1.0,3.3296995,-4.2516522,77.07184,0.5605025,-20.099604,-72.00282,0.2720676,348.95715,0.13110042,-7.7889647,0.10936409,1.0,0.55713785,-20.860878,-75.66252,0.33400866,0.0016799071311950683,330.370334148407,60000
332.89868,0.17769401,-7.739627,0.09702961,1.0,2.6625168,-3.027218,84.2776,0.8345858,-20.182236,-70.94972,0.41191602,342.002,0.12240748,-7.7742176,0.10567732,1.0,0.44704124,-21.338799,-70.175705,0.48967803,0.0016790013313293457,338.7653458118439,65000
335.86203,0.119171366,-7.7309914,0.09487084,1.0,7.355918,-2.65237,83.14954,0.5878606,-21.994745,-72.43668,0.32791263,340.35895,0.15639172,-7.7929974,0.11037241,1.0,0.6803857,-20.784777,-73.161865,0.3819938,0.0016949347972869872,347.2400255203247,70000
320.29813,0.17301235,-7.725909,0.09360031,1.0,7.7958484,-8.164622,109.367905,0.64736325,-21.546637,-73.4124,0.4197566,336.41483,0.13365062,-7.759816,0.10207699,1.0,0.43959132,-21.18695,-72.7655,0.37598127,0.0016789041996002198,355.6345520019531,75000
335.38354,0.12173439,-7.72538,0.09346796,1.0,2.7784986,-3.3356397,68.92041,0.43542594,-21.855003,-74.16862,0.27257365,334.39572,0.1796605,-7.729977,0.09461722,1.0,0.48864087,-20.487362,-75.808334,0.2804157,0.0016816712856292724,364.04291343688965,80000
324.99316,0.12322843,-7.7456613,0.098538294,1.0,3.8248014,-3.1957169,93.04676,0.5953359,-20.560417,-77.82619,0.37851763,357.6955,0.11141449,-7.730627,0.09477982,1.0,0.6367326,-20.964996,-71.26914,0.34232098,0.001684456777572632,372.4652020931244,85000
329.58835,0.16949275,-7.72013,0.09215543,1.0,5.3691216,-3.4595664,83.52157,0.47885382,-22.40627,-74.71068,0.37314683,345.3454,0.19083443,-7.7313786,0.0949676,1.0,0.5591764,-21.788944,-71.43765,0.36911702,0.0016734094619750976,380.8322558403015,90000
