training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
18.206726,-22.308334,377.70264,387.22858,2.918954,-10.473981,0.25691912,1.0,160.51418,0.18522817,-7.8221226,0.11765361,1.0,0.1922692,-15.87233,-27.682297,0.95667446,406.55667,3.0088596,-10.403164,0.24275565,1.0,176.73541,0.14196756,-7.816886,0.11634448,1.0,0.24421486,-15.605528,-27.701859,0.941028,0.05483420209884644,274.1710317134857,5000
9.046625,-10.682209,224.15204,568.90643,3.8939807,-10.045377,0.1711983,1.0,169.14188,0.21068352,-7.7635427,0.10300863,1.0,0.12185195,-19.88109,-44.040627,0.97809064,529.791,3.5511005,-10.117535,0.18563,1.0,182.35843,0.11107288,-7.774331,0.105705634,1.0,0.11312843,-20.698032,-44.02655,1.2457376,0.0023774861335754396,286.0584673881531,10000
8.307524,-12.0174675,324.10785,586.1533,3.9168983,-10.154169,0.1929568,1.0,196.96066,0.1259059,-7.7310076,0.09487496,1.0,0.037526526,-22.339931,-56.1586,1.4243938,575.36584,3.8971395,-10.172936,0.19671036,1.0,197.3014,0.095991306,-7.7659936,0.10362129,1.0,0.03656693,-22.776012,-56.161438,1.5922008,0.0023472643852233887,297.79479479789734,15000
13.408006,-9.786123,252.24084,601.8904,4.388845,-10.061035,0.17433006,1.0,178.31213,0.2069507,-7.7116313,0.090030774,1.0,0.16009825,-24.765728,-64.87111,1.2080139,632.79456,4.550523,-10.048712,0.17186537,1.0,195.30624,0.26263684,-7.7777596,0.10656289,1.0,0.17383236,-24.06392,-64.95607,1.514964,0.0023670026302337645,309.62981271743774,20000
10.182623,-10.510694,220.09232,616.4315,4.379432,-10.046749,0.17147283,1.0,192.44354,0.25740504,-7.6993966,0.08697213,1.0,0.050714977,-25.489887,-70.66322,1.2875235,615.1348,4.4662385,-9.941738,0.1504706,1.0,189.10037,0.29432902,-7.7285113,0.09425075,1.0,0.037303593,-23.927488,-70.47217,1.2837197,0.002369919729232788,321.47941637039185,25000
8.064209,-5.5880513,186.90997,593.7616,4.0223026,-10.061407,0.17440443,1.0,184.544,0.2007755,-7.725663,0.09353876,1.0,0.12397783,-24.823742,-75.06365,1.3648077,611.8898,4.499136,-10.026323,0.16738759,1.0,186.00485,0.10681014,-7.7410116,0.097375914,1.0,0.09068827,-25.350742,-74.61218,1.0794734,0.002359251022338867,333.27567648887634,30000
8.347433,-15.011677,231.00044,605.61084,4.2931004,-9.981711,0.15846539,1.0,199.22604,0.40754694,-7.6788974,0.08184731,1.0,0.042509615,-26.815418,-78.045944,1.1756024,607.39716,4.508553,-10.089844,0.18009193,1.0,189.77338,0.23579152,-7.7185106,0.0917506,1.0,0.048071727,-25.942198,-78.05139,1.4255062,0.0023816812515258788,345.1840879917145,35000
12.006093,-12.440439,253.4715,599.1546,4.0536613,-10.1177435,0.18567164,1.0,187.53627,0.1681351,-7.671615,0.08002677,1.0,0.12633248,-27.281836,-80.13656,1.4260414,608.7036,4.6952257,-10.135238,0.1891706,1.0,204.24777,0.24098462,-7.735426,0.09597957,1.0,0.10241767,-27.157593,-80.15723,2.0017896,0.0023675086975097656,357.02163648605347,40000
11.327331,-12.496331,282.8727,607.2323,4.600611,-10.03978,0.17007875,1.0,199.96779,0.34245813,-7.6925483,0.08526008,1.0,0.06367086,-28.04157,-83.1646,1.584517,619.0096,4.6223636,-9.929508,0.14802441,1.0,207.63159,0.4459707,-7.694345,0.08570924,1.0,0.06844367,-27.62658,-80.32152,1.6066817,0.0023956055641174315,368.9996700286865,45000
22.594599,-24.659506,365.88358,620.8872,4.322489,-10.079086,0.17794028,1.0,194.35463,0.29849517,-7.6512575,0.07493737,1.0,0.148404,-28.192945,-85.06485,1.4317768,616.38745,4.4632053,-10.029548,0.16803259,1.0,206.60513,0.4712045,-7.705096,0.08839693,1.0,0.08229898,-27.732967,-85.70859,2.0105972,0.0023720980167388915,380.8601655960083,50000
14.441252,-13.532793,279.9434,632.0739,4.7225637,-10.1123905,0.184601,1.0,182.49713,0.21708873,-7.657649,0.0765353,1.0,0.066116326,-28.119753,-86.84655,1.4990927,615.7076,4.442299,-10.167824,0.1956878,1.0,189.63495,0.2627616,-7.742731,0.09780572,1.0,0.04897456,-27.31371,-89.496895,1.7607319,0.002367664575576782,392.69849467277527,55000
