training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0234125,-7.804145,0.023412434,0.11315911,260.60614,1.0,-260.60614,1.0,3.1319842,348.60373,-188.26886,1993.825,172.66977,880.96246,395.5088,1.2372903,11.638628,18.446327,3.2787848,0.016470341,7.15304,-82.89392,173.02742,255.92134,1.0234159,-7.8053074,0.023415923,0.1134498,250.83362,1.0,-250.83362,1.0,2.876183,174.11124,892.19946,394.71793,0.65990764,10.009806,15.66506,3.0965402,0.018049184,7.1553154,-71.26555,174.46901,245.73456,0.054123126125335694,270.6156415939331,5000
1.0244621,-8.154024,0.02446207,0.20062885,141.54628,1.0,-141.54628,1.0,1.4115207,212.45143,-163.83386,1261.1744,272.63947,614.3194,241.13635,0.6101226,2.025197,7.676952,1.7064092,0.007378621,32.292038,-63.78314,274.25406,338.0372,1.0244827,-8.160898,0.024482697,0.20234758,147.38681,1.0,-147.38681,1.0,1.5732524,273.9647,615.15204,240.00058,1.0385822,1.9851207,7.096627,1.7164153,0.0070560155,32.301197,-62.506714,275.57974,338.08646,0.0036980751991271973,289.1060230731964,10000
1.0250419,-8.347326,0.025041979,0.24895452,78.5466,1.0,-78.5466,1.0,0.72437567,99.91121,-163.49593,1018.7691,370.05212,386.43634,133.3417,0.24117866,0.29698467,4.9982424,1.0155537,0.0021074505,114.28286,-28.226114,375.76627,403.99237,1.025082,-8.360661,0.025081981,0.25228795,83.31956,1.0,-83.31956,1.0,0.7150553,369.4516,356.80417,134.01796,0.9681575,0.26270723,3.3861043,1.0103456,0.0033292589,114.30809,-24.314157,375.16702,399.48117,0.0036954596519470214,307.5833263397217,15000
1.0244455,-8.148522,0.024445567,0.1992536,61.888126,0.99999994,-61.888126,1.0,0.51837265,85.067795,-130.64774,732.15063,404.62723,273.9066,97.43499,0.43078357,0.05587063,2.4287462,0.78239757,0.0018579788,290.26047,-1.7040116,419.14026,420.84427,1.0246239,-8.207949,0.024623845,0.21411008,59.638733,1.0,-59.638733,1.0,0.55389994,403.20605,265.2666,98.85202,0.30835527,0.059655637,2.9460864,0.78483176,0.0025046966,290.2966,-2.8029983,417.7209,420.5239,0.003696383476257324,326.06525182724,20000
1.0241718,-8.05727,0.02417181,0.1764406,59.441246,1.0,-59.441246,1.0,0.51058185,207.18556,-256.9462,1221.6434,403.57043,266.93195,98.52192,0.34952292,0.04841156,2.6103144,0.76816905,0.0022028952,324.02072,0.51468796,419.77145,419.25677,1.0242039,-8.067971,0.024203915,0.17911576,63.94029,1.0,-63.94029,1.0,0.5067986,407.57538,282.5046,94.42028,0.37816513,0.05841454,2.485931,0.7915481,0.004823936,324.009,-2.7263868,423.77585,426.50223,0.003694825792312622,344.53938698768616,25000
1.0240263,-8.008746,0.024026237,0.16430943,62.601868,1.0,-62.601868,1.0,0.4753471,198.5696,-210.8807,971.49854,405.5885,283.15958,96.46954,0.89999026,0.05361205,2.9386604,0.7761122,0.006769005,324.43848,-1.1718876,421.81042,422.9823,1.0240752,-8.025045,0.024075136,0.16838413,57.90566,1.0,-57.90566,1.0,0.51527053,405.78125,284.78146,96.24196,0.23365954,0.053911675,2.593687,0.8096342,0.001526019,324.4662,-1.2692059,422.00458,423.27377,0.003695462465286255,363.0167043209076,30000
1.0237942,-7.9314013,0.023794204,0.14497337,58.00387,1.0,-58.00387,1.0,0.48411086,243.73546,-137.67265,918.7331,404.49548,241.6348,97.52231,1.0336705,0.04895857,2.6530426,0.7921082,0.0029651588,313.05576,0.32602596,420.14825,419.82224,1.0239515,-7.983862,0.023951584,0.15808837,61.028244,0.99999994,-61.028244,1.0,0.57086784,406.8918,256.59625,95.09916,0.5893184,0.06096793,3.1634023,0.8164745,0.004541399,313.05978,-3.4336174,422.5448,425.97842,0.0036978468894958497,381.50594329833984,35000
1.023763,-7.920966,0.023762899,0.14236447,62.55851,1.0,-62.55851,1.0,0.4789232,56.62477,-47.436535,435.4948,407.8617,287.63574,94.15201,0.5152223,0.049494147,2.296339,0.8080448,0.0036441046,326.09058,0.16495404,424.16623,424.00128,1.0238804,-7.9601164,0.023880351,0.15215208,62.90058,1.0,-62.90058,1.0,0.45856136,402.54938,273.20114,99.53187,0.37104148,0.0454889,3.2132456,0.7898141,0.006764587,326.0646,1.4709098,418.85263,417.3817,0.0036968449115753173,399.99017429351807,40000
1.0237095,-7.9031706,0.023709511,0.13791557,64.439064,1.0,-64.439064,1.0,0.48454076,208.21619,-188.77211,900.3775,404.03625,303.96423,98.06355,0.2610777,0.06728764,3.1235516,0.8241033,0.009354446,327.35,-5.6591086,420.40375,426.06287,1.0237464,-7.915455,0.023746364,0.14098662,64.68188,1.0,-64.68188,1.0,0.5117537,401.64862,276.66727,100.54117,0.18853271,0.053645372,2.5513887,0.81221867,0.0044421894,327.4204,-1.1935691,418.01962,419.2132,0.003696229648590088,418.47132778167725,45000
1.0234747,-7.824883,0.023474649,0.11834372,65.13451,1.0,-65.13451,1.0,0.4568664,148.21082,-111.52422,756.4418,404.23178,269.5779,97.86412,0.34136704,0.043178037,2.3587284,0.79290164,0.024315532,327.93384,2.2371528,420.62848,418.39133,1.0235846,-7.861543,0.02358463,0.1275087,62.557545,1.0,-62.557545,1.0,0.48758852,404.1187,271.97153,97.978516,0.71350724,0.053725168,2.2884169,0.8179582,0.0022950163,327.91806,-1.2215496,420.51462,421.73618,0.0036962993144989014,436.9528307914734,50000
