training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.386172,-7.9815617,2.3944688,0.15751347,6.405092,0.9917033,-6.351951,1.0,0.99908066,0.43359375,0.004515098,-11.279446,-11.287064,-3.487265,14.242637,0.34682786,9.4369055e-09,0.023112949,-0.017983807,0.77238935,3.3870718,-7.9874897,2.396247,0.15899536,6.2680116,0.99082494,-6.210503,1.0,0.9988699,0.26171875,0.005196918,-11.032366,-11.039735,-3.4943333,62.45201,0.4795048,2.3355586e-08,0.05114784641265869,255.7392499446869,5000
3.3011608,-7.8507957,2.355239,0.12482189,5.604638,0.945922,-5.3015513,1.0,0.99919987,0.54003906,0.0034425177,-12.253109,-12.2629385,-2.1972744,39.550545,1.1838789,5.0344954e-07,0.03743837,-0.028476896,0.807388,3.3210807,-7.8925447,2.3677638,0.13525924,6.076247,0.953317,-5.79259,1.0,0.99847317,0.3046875,0.005490023,-12.045919,-12.055008,-2.7470875,604.03534,2.1099198,4.5777327e-08,0.0020437994480133055,265.9582531452179,10000
3.2788794,-7.8257556,2.3477268,0.11856185,5.024457,0.9311525,-4.6785364,1.0,0.9992752,0.60546875,0.002834828,-12.964889,-12.976101,-1.4948456,77.99708,1.9235876,1.1726988e-07,0.016789075,-0.018057583,0.6399293,3.3330615,-7.8666506,2.3599954,0.12878567,6.577621,0.97306615,-6.400461,1.0,0.9985132,0.3046875,0.005317147,-12.523199,-12.532748,-2.7555764,236.66998,1.6873963,3.53897e-08,0.0020414874076843262,276.16569662094116,15000
3.239089,-7.789466,2.3368397,0.109489344,4.5779743,0.90224934,-4.130475,1.0,0.99931145,0.6582031,0.002517879,-13.610825,-13.623132,-1.0214202,173.85045,2.5928767,8.841445e-09,0.034753513,-0.030197755,0.77663505,3.3146596,-7.867757,2.3603272,0.12906227,7.0533476,0.9543324,-6.731239,1.0,0.99841404,0.32910156,0.005716609,-13.344184,-13.35467,-2.6173067,1163.9105,3.8077688,1.4132555e-11,0.0020430694580078125,286.38104939460754,20000
3.2392464,-7.7882113,2.3364635,0.1091758,4.672815,0.90278304,-4.2185388,1.0,0.9993229,0.6748047,0.0022926407,-14.0126095,-14.025444,-0.88306653,84.97293,2.7306428,2.8016922e-08,0.05943375,-0.071507946,1.1755719,3.3182328,-7.841279,2.3523836,0.12244275,7.4623594,0.9658492,-7.207515,1.0,0.9985018,0.30859375,0.0057336316,-13.87281,-13.883274,-3.1673694,7254.6685,6.990302,3.631455e-10,0.002041180086135864,296.58695578575134,25000
3.2000868,-7.748988,2.3246965,0.09936994,4.4835835,0.8753903,-3.9248862,1.0,0.9993839,0.7392578,0.0020519064,-14.46167,-14.475354,-0.46305233,183.17136,3.3814287,3.1119256e-09,0.030115591,-0.017050464,0.62050074,3.3129447,-7.8276653,2.3482995,0.11903929,7.6048226,0.9646452,-7.3359566,1.0,0.99849224,0.31640625,0.005943546,-13.984031,-13.994665,-3.10612,1459.6007,4.9525867,1.3968911e-12,0.0020449141025543215,306.811532497406,30000
3.1829236,-7.7538214,2.3261466,0.10057827,4.1760283,0.8567769,-3.5779252,1.0,0.9994011,0.74902344,0.0019819571,-14.835932,-14.850043,-0.39910573,180.97044,3.6053002,2.861248e-08,0.05949039,-0.04130271,0.8859497,3.3274078,-7.8189263,2.3456779,0.11685455,8.614904,0.98172987,-8.45751,1.0,0.99868584,0.3232422,0.0059326203,-14.501533,-14.512037,-3.7543502,560.0146,3.573389,4.743127e-10,0.002046076202392578,317.0419189929962,35000
3.2001584,-7.739156,2.3217468,0.09691195,4.6435776,0.8784115,-4.078973,1.0,0.9994259,0.7714844,0.0018480043,-15.06009,-15.074646,-0.17032093,483.19897,4.9515743,1.508833e-08,0.023284124,-0.028612126,0.6444494,3.3188899,-7.821085,2.3463254,0.11739418,8.598906,0.9725645,-8.362991,1.0,0.9986124,0.30273438,0.0064850478,-14.86109,-14.872079,-3.6195536,39136.395,29.072739,4.8050158e-11,0.0020438020706176757,327.26093459129333,40000
3.1904657,-7.75755,2.3272653,0.10151042,4.3916864,0.8632004,-3.7909064,1.0,0.9994106,0.76171875,0.0017495631,-15.335437,-15.350322,-0.10856535,151.05182,3.8890178,5.3625996e-08,0.019300662,-0.027200319,0.5752592,3.324465,-7.826897,2.3480692,0.118847296,8.804209,0.97639585,-8.596394,1.0,0.99858284,0.30859375,0.0061744647,-15.140407,-15.151599,-3.690237,827.4917,4.6995068,2.326769e-11,0.0020448081970214846,337.484982252121,45000
3.1430204,-7.7398825,2.321965,0.09709358,4.02762,0.8210555,-3.3069003,1.0,0.999382,0.7871094,0.0017021724,-15.475569,-15.490775,0.080875725,264.26816,4.5088577,6.368657e-08,0.048284844,-0.050405867,0.8360642,3.3250904,-7.8312035,2.349361,0.11992379,9.161692,0.9757294,-8.939333,1.0,0.9986677,0.30371094,0.0062958943,-15.165114,-15.175945,-4.085411,805.37964,3.5047703,9.628421e-11,0.0020466084003448485,347.71802949905396,50000
