training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.7958226,-7.958227,0.79582274,0.15167972,19.249607,0.9999999,-19.249607,1.0,0.72251177,0.4108585,-14.960676,-25.119497,0.9871646,-1.3857316,34.060932,1.0672305,-14.337243,-24.32328,0.042851567,1.7970538,-7.970537,0.7970538,0.15475732,18.915073,0.99999994,-18.915073,1.0,0.8460618,0.0,-14.643067,-25.096725,1.4887348,-14.046829,-24.348923,0.045374367,0.05349239559173584,267.4619960784912,5000
1.7839599,-7.8395996,0.7839599,0.12202282,28.79,0.99999994,-28.79,1.0,1.0373082,0.0,-23.273432,-40.573994,0.9871764,-1.346209,27.377943,0.6712631,-22.77495,-39.975822,0.059382524,1.7891349,-7.8913493,0.7891349,0.13496026,28.627419,0.99999994,-28.627419,1.0,1.2954695,0.0,-22.528671,-40.66298,0.76999354,-22.02831,-40.04137,0.06292422,0.0020347973346710206,277.6359875202179,10000
1.7825875,-7.8258753,0.7825875,0.118591845,34.417515,1.0,-34.417515,1.0,1.6729324,0.0,-26.740068,-52.828865,3.1843078,-2.953466,93.45652,0.6424561,-26.32974,-52.365604,0.08569652,1.785417,-7.854169,0.78541696,0.12566528,34.346992,1.0,-34.346992,1.0,1.4337505,0.0,-26.31683,-52.81749,0.56954736,-25.945549,-52.297863,0.07292403,0.002052731990814209,287.89965295791626,15000
1.7791163,-7.7912016,0.7791201,0.109923236,35.925316,0.9999962,-35.92518,1.0,1.5730135,0.0,-29.926735,-61.89836,3.7503364,-3.894291,86.27898,0.7465821,-29.566597,-61.53624,0.09973733,1.7861236,-7.8612366,0.78612363,0.12743214,37.149223,1.0,-37.149223,1.0,1.4831811,0.0,-29.810522,-61.938892,0.6815023,-29.437895,-61.58728,0.08110459,0.0020490790843963624,298.1450536251068,20000
1.7775,-7.775001,0.77750003,0.105873115,38.666134,1.0,-38.666134,1.0,1.6980993,0.0,-30.592451,-68.84334,3.0627785,-3.2923236,100.72287,0.93001974,-30.203857,-68.60557,0.098039806,1.7829175,-7.8291755,0.78291756,0.11941679,39.077614,1.0,-39.077614,1.0,1.5789754,0.0,-30.256924,-68.51926,0.67473555,-29.888952,-68.212906,0.09701055,0.0020750518798828125,308.52031898498535,25000
1.7734764,-7.734764,0.77347636,0.095813856,39.38418,1.0,-39.38418,1.0,1.4946749,0.0,-30.949442,-73.70588,2.7836223,-2.3298528,67.94841,0.8038452,-30.61126,-73.48714,0.08723931,1.7820828,-7.8213763,0.78213763,0.11746703,39.582977,0.99994516,-39.580807,1.0,1.3544046,0.0,-31.192024,-73.5044,0.81067026,-30.787754,-73.11727,0.09382265,0.002198960256576538,319.5151255130768,30000
1.7737586,-7.737587,0.77375865,0.096519694,37.961365,1.0,-37.961365,1.0,1.6083386,0.0,-31.119251,-77.0246,1.4050969,-1.7051175,50.584908,0.8170695,-30.811775,-76.791954,0.09933336,1.7821338,-7.8213463,0.78213465,0.11745949,41.317284,0.99999917,-41.31725,1.0,1.8429365,0.0,-32.71557,-76.63291,0.9256056,-32.409203,-76.60878,0.083574526,0.002185464143753052,330.4424514770508,35000
1.7727218,-7.7272277,0.7727227,0.09392988,40.680786,0.9999991,-40.680748,1.0,1.5092326,0.0,-33.508324,-79.526,2.2590647,-3.3452234,73.29405,0.73436743,-33.167297,-79.28564,0.0862481,1.7828722,-7.828923,0.78289235,0.11935377,40.992554,0.9999799,-40.99173,1.0,1.2988496,0.0,-32.393482,-79.12893,0.8638032,-32.061283,-78.84018,0.08990984,0.0024152502059936526,342.51870799064636,40000
1.7748594,-7.7485943,0.7748594,0.09927156,40.725197,1.0,-40.725197,1.0,1.2921249,0.0,-32.563843,-80.93718,1.2856481,-1.5936717,46.752907,0.7266598,-32.215336,-80.70618,0.08491687,1.7813193,-7.813263,0.7813264,0.11543878,41.14185,0.99999285,-41.141556,1.0,1.2637162,0.0,-33.480484,-81.2678,0.6141822,-33.16668,-80.975204,0.088483654,0.0022433459281921385,353.7354428768158,45000
1.7731581,-7.7316017,0.77316016,0.0950234,39.560516,0.99999785,-39.560432,1.0,1.2995636,0.0,-32.364033,-81.30787,1.4749589,-1.4971502,45.40472,0.8284591,-31.99606,-81.106224,0.10109168,1.7832191,-7.8321915,0.7832191,0.12017076,41.413338,1.0,-41.413338,1.0,1.7778856,0.0,-32.70726,-81.16214,0.6048287,-32.35944,-81.03463,0.09511417,0.0021396536350250244,364.43371653556824,50000
