training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
132.27167,0.06832427,-8.110149,0.18966025,1.0,1.1472906,-1.676724,55.856495,0.6422686,-14.997484,-25.363678,0.098164424,144.93793,0.0688149,-8.102146,0.18765955,1.0,0.5490224,-14.531755,-25.252153,0.13742399,0.05009238924980164,250.46196150779724,5000
228.58447,0.12426984,-7.9528265,0.15032962,1.0,2.4836946,-3.0220757,94.94163,0.54999095,-22.428286,-43.78254,0.20124409,236.22806,0.12973928,-7.9896727,0.15954104,1.0,0.7521644,-21.55751,-43.58821,0.19723515,0.0018122076511383057,259.5230071544647,10000
251.82106,0.1144407,-7.8883085,0.13420007,1.0,1.974476,-2.4714289,86.52245,0.40399435,-24.752258,-58.42084,0.22981963,269.49722,0.15025342,-7.928785,0.14431915,1.0,0.46277753,-24.442234,-58.71981,0.25831008,0.0018138453483581543,268.59223985671997,15000
280.44415,0.12542962,-7.835781,0.12106836,1.0,4.939476,-4.108469,103.671455,0.7173865,-26.978888,-69.23845,0.25280222,283.553,0.16294762,-7.9118757,0.14009199,1.0,0.6977626,-26.843666,-69.42446,0.25379518,0.0018126663684844971,277.65557765960693,20000
302.21808,0.16296837,-7.8314557,0.11998681,1.0,13.135351,-12.123231,169.15376,0.6802115,-26.995243,-76.28746,0.25133243,274.18134,0.13543421,-7.878731,0.1318056,1.0,0.6644078,-26.480312,-74.095245,0.3347656,0.0018088852882385254,286.7000102996826,25000
279.50378,0.13666461,-7.791394,0.10997159,1.0,3.4631693,-4.292989,104.86276,0.5990503,-27.546806,-78.54872,0.29195732,286.62805,0.1386438,-7.8501806,0.12466815,1.0,0.7056989,-27.514853,-80.35622,0.24481778,0.0018022264003753662,295.7111475467682,30000
277.0733,0.14392728,-7.7851963,0.10842191,1.0,4.0015106,-3.928259,103.06809,0.4462749,-27.419636,-84.226974,0.27510816,276.9682,0.14931965,-7.851156,0.12491211,1.0,0.5312848,-28.754148,-79.9352,0.21340546,0.0018090384006500245,304.75634574890137,35000
300.34424,0.1326929,-7.7914696,0.10999037,1.0,3.4500642,-2.9815402,99.688095,0.5338054,-29.266376,-83.953735,0.25089765,292.15875,0.16446903,-7.850654,0.12478654,1.0,0.6988895,-28.513735,-83.31946,0.2693349,0.001812813377380371,313.8204276561737,40000
307.18353,0.18676914,-7.788103,0.10914877,1.0,4.190694,-4.072809,98.12676,0.63533396,-28.708462,-86.97423,0.25413585,293.707,0.15100455,-7.84923,0.12443051,1.0,0.9100353,-29.494926,-82.08963,0.250575,0.0018103665828704833,322.8722665309906,45000
289.08478,0.13758914,-7.7889776,0.10936732,1.0,3.9355354,-6.7752514,112.5702,0.43248606,-28.410892,-84.07512,0.29354215,279.0565,0.096085176,-7.8653955,0.12847194,1.0,0.563813,-28.711441,-85.55003,0.2783755,0.0018142548561096191,331.9435467720032,50000
286.50372,0.17280328,-7.7474804,0.09899311,1.0,3.3483987,-3.6118813,93.65335,0.70533335,-30.222168,-87.98378,0.22052766,287.37653,0.13526598,-7.857491,0.12649575,1.0,1.0575483,-29.03724,-83.35161,0.18921936,0.0018234673976898193,341.06088972091675,55000
266.94745,0.13790943,-7.7563705,0.101215556,1.0,8.148369,-6.067874,102.94405,0.4785001,-29.620525,-86.06508,0.19040155,294.06042,0.1427914,-7.8491144,0.124401614,1.0,0.49400812,-29.858482,-85.0842,0.23952444,0.0018128907680511474,350.12534952163696,60000
318.3684,0.20089261,-7.743529,0.09800513,1.0,9.008506,-10.037936,128.85193,0.34285477,-29.676083,-89.07994,0.2116038,279.66388,0.15618291,-7.8248043,0.11832398,1.0,0.3383056,-30.017612,-87.98654,0.19212267,0.0018430821895599366,359.34076619148254,65000
299.48047,0.16397902,-7.754384,0.10071899,1.0,5.9021044,-7.019612,115.897766,0.44344276,-29.141275,-87.78279,0.17675042,290.04498,0.14457025,-7.832384,0.12021897,1.0,0.5522991,-30.50796,-90.05263,0.22620776,0.001815197515487671,368.4167592525482,70000
298.87338,0.18594012,-7.7326064,0.09527463,1.0,4.9764585,-4.8022075,97.25745,0.31574574,-29.012436,-87.27013,0.2225447,288.11795,0.14807914,-7.8342047,0.120674156,1.0,0.55489135,-29.087534,-85.53939,0.21174659,0.00181129150390625,377.47322273254395,75000
282.92133,0.13551134,-7.7523375,0.10020745,1.0,2.9764583,-4.270751,93.42965,0.36866927,-29.596523,-89.97725,0.30485702,275.4462,0.10409429,-7.847223,0.12392869,1.0,0.40585482,-29.431646,-86.83837,0.24508128,0.0018045684814453125,386.4960706233978,80000
284.49756,0.1506831,-7.7331743,0.0954166,1.0,5.191143,-6.6193967,94.00106,0.41920653,-30.722301,-92.5116,0.28701758,261.82068,0.12067976,-7.8347893,0.12082031,1.0,0.51139706,-30.176579,-84.48634,0.23751296,0.0018042195320129395,395.51717352867126,85000
278.30347,0.15815294,-7.718484,0.09174397,1.0,6.311975,-5.728291,96.02455,0.64214873,-29.787472,-93.761,0.23210049,290.58124,0.15194261,-7.8366337,0.121281356,1.0,0.46054342,-29.040861,-82.43419,0.28856653,0.0017964956283569335,404.499657869339,90000
