training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
6.3613863,-6.5926857,150.32047,370.27768,1.8776151,-10.515989,0.26532084,1.0,136.75548,0.2992819,-7.982192,0.15767096,1.0,0.10482021,-14.9551525,-25.674873,0.3745987,359.5133,1.9609115,-10.4521265,0.2525483,1.0,128.5902,0.24798702,-8.004446,0.16323456,1.0,0.021471484,-15.241221,-25.747929,0.43497008,0.05669439325332642,283.4719886779785,5000
6.2424464,-11.220879,223.809,520.54553,2.8590884,-10.1478615,0.1916952,1.0,140.24872,0.30620867,-7.898823,0.1368286,1.0,0.14869368,-21.183897,-42.627422,0.6389931,501.7409,2.63806,-10.234323,0.20898743,1.0,155.65448,0.35209778,-7.8983727,0.13671614,1.0,0.050540805,-21.67899,-42.6018,0.6694895,0.0024716566562652587,295.83027958869934,10000
12.2714205,-16.208649,225.75308,542.5458,3.2591786,-10.057729,0.17366865,1.0,166.61812,0.4153844,-7.8292866,0.119444616,1.0,0.2813526,-25.960945,-55.730877,0.7324976,565.89935,3.2917194,-10.138541,0.18983121,1.0,169.22981,0.38771585,-7.885705,0.13354918,1.0,0.25604975,-26.014969,-55.79097,0.7311954,0.0024711162567138674,308.185866355896,15000
7.6968517,-6.7113905,196.29039,574.81177,3.4880269,-10.032688,0.16866064,1.0,216.88872,0.53401244,-7.8265333,0.11875628,1.0,0.21749437,-31.160854,-65.9421,0.8513647,565.72626,3.468156,-10.078478,0.17781842,1.0,205.97406,0.47061545,-7.8417883,0.122570075,1.0,0.1353555,-30.1129,-66.067535,0.909981,0.0024690868854522706,320.53130555152893,20000
6.3346686,-9.1957,171.80014,522.88556,2.718451,-9.829432,0.12800911,1.0,100.189125,0.282282,-7.845544,0.123508886,1.0,0.3582677,-20.961205,-72.90531,0.71209323,494.90826,2.3943105,-9.882811,0.13868514,1.0,102.22778,0.24015608,-7.853236,0.12543193,1.0,0.17959782,-21.460205,-72.70186,0.79548264,0.002461274814605713,332.8376853466034,25000
11.190539,-10.875964,267.41226,603.8353,3.5554693,-9.9386015,0.14984326,1.0,211.2824,0.51485646,-7.796382,0.11121844,1.0,0.18178746,-28.618076,-78.21006,0.715333,624.4599,3.6183553,-9.942667,0.15065646,1.0,195.38724,0.47258547,-7.8548603,0.12583803,1.0,0.14916494,-29.641388,-77.47124,0.74818456,0.00247469367980957,345.2111599445343,30000
10.717188,-8.574658,276.99673,606.4981,4.054328,-9.996334,0.16138987,1.0,243.50378,0.54201794,-7.8049827,0.113368616,1.0,0.2556191,-34.30659,-81.14296,1.2083569,603.29376,3.871036,-10.066187,0.17536029,1.0,237.4842,0.5642624,-7.8400154,0.1221268,1.0,0.19408448,-33.97756,-81.75985,0.94989467,0.002457127571105957,357.4968032836914,35000
8.131856,-5.645009,224.61499,625.2496,4.455223,-9.893229,0.14076869,1.0,189.09332,0.44013786,-7.758198,0.101672456,1.0,0.07248521,-35.861126,-86.05042,0.8041159,622.0868,4.1364136,-10.019949,0.16611272,1.0,186.44627,0.50027126,-7.8191195,0.1169028,1.0,0.24391755,-34.182213,-85.557175,0.9400393,0.0024888210773468017,369.9409143924713,40000
13.763748,-11.722122,244.24725,624.7997,4.076883,-9.921513,0.14642552,1.0,160.82219,0.41787273,-7.7616186,0.10252773,1.0,0.101295285,-36.451588,-89.02229,0.8105182,624.2146,3.963673,-9.946619,0.1514469,1.0,169.36916,0.4345246,-7.83281,0.120325476,1.0,0.14281829,-36.29072,-86.896194,0.91557217,0.0024813599586486815,382.3477215766907,45000
11.843218,-10.553282,224.82614,632.03107,4.392567,-9.840252,0.13017334,1.0,164.42957,0.3799549,-7.73726,0.09643786,1.0,0.25191945,-36.441246,-91.75676,1.0067357,637.89703,4.12055,-9.911797,0.1444821,1.0,165.59982,0.4733747,-7.8238096,0.118075356,1.0,0.25897443,-35.915703,-90.31321,1.0249822,0.0024671889781951906,394.6836724281311,50000
