training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0238484,-7.9494786,0.023848437,0.14949264,291.14774,1.0,-291.14774,1.0,2.769155,464.84177,-292.65674,2560.679,107.75698,1116.253,529.6024,15.793247,7.712238,12.404874,2.7682643,0.00956147,7.139536,-54.704823,108.11397,162.81879,1.0239137,-7.9712415,0.023913726,0.15493333,296.77603,1.0,-296.77603,1.0,3.0834,115.30351,1083.5393,521.3593,13.487377,10.256787,14.677892,3.0556102,0.010014516,7.141795,-72.89478,115.66061,188.55539,0.05598981428146362,279.94909167289734,5000
1.0235022,-7.8340807,0.023502242,0.120643124,184.83972,1.0,-184.83972,1.0,1.8523492,375.09357,-370.26602,2531.1382,184.01318,911.402,362.30325,2.810989,2.4155529,6.935887,1.8092607,0.0030121899,33.93684,-80.27939,185.71002,265.9894,1.0236323,-7.8774114,0.023632236,0.13147584,190.4653,1.0,-190.4653,1.0,1.8589994,181.93274,899.4787,367.96265,1.1160417,2.5920253,8.857921,1.8569069,0.00536849,33.947235,-86.29473,183.6301,269.92484,0.0037343570232391357,298.6208827495575,10000
1.0238185,-7.9395046,0.023818513,0.14699906,107.47206,1.0,-107.47206,1.0,1.0061467,255.47794,-308.2887,2090.271,304.18234,570.1884,204.05771,4.575385,0.27690732,3.620261,1.0028154,0.0049839583,134.81706,-30.590979,310.9232,341.51416,1.0239786,-7.9928484,0.023978544,0.16033497,109.721466,1.0,-109.721466,1.0,1.0704343,298.42633,536.8863,210.36716,4.398459,0.3426285,3.3787975,1.0928915,0.0057609044,134.85011,-39.460987,305.16882,344.62982,0.003732229995727539,317.28203868865967,15000
1.0238036,-7.934536,0.023803608,0.145757,71.2294,1.0,-71.2294,1.0,0.7054552,102.563446,-130.18236,1226.6603,355.20486,456.81744,148.7335,2.8210273,0.06281461,3.38137,0.7529536,0.0015980167,389.23596,-4.987906,374.66666,379.65457,1.0240164,-8.0054455,0.024016336,0.16348422,76.37294,1.0,-76.37294,1.0,0.7025429,361.06348,443.37607,142.57208,2.402657,0.06685769,2.5248427,0.78421706,0.004251139,389.29926,-6.562685,380.52844,387.09113,0.003736364984512329,335.96386885643005,20000
1.0238862,-7.9620557,0.023886167,0.15263686,70.95853,1.0,-70.95853,1.0,0.6725395,166.28726,-207.2651,1504.902,359.5639,439.68936,144.11143,7.340175,0.044234246,2.53333,0.751583,0.0039696093,482.01385,2.7791736,383.6646,380.88544,1.0240314,-8.010457,0.024031373,0.16473733,74.119675,1.0,-74.119675,1.0,0.69556737,361.8396,396.0526,141.80399,0.105944455,0.05267241,2.4005904,0.7555982,0.002498283,482.02026,-1.2881547,385.9406,387.22876,0.00373577880859375,354.6427700519562,25000
1.0238404,-7.9467916,0.023840375,0.1488209,75.535965,1.0,-75.535965,1.0,0.6853157,128.60143,-142.72084,1189.5077,351.8688,523.5721,152.40482,1.3577204,0.05667659,2.7973292,0.754686,0.0031219048,486.08856,-3.245413,376.17322,379.41864,1.023947,-7.982337,0.023947012,0.15770711,75.685745,1.0,-75.685745,1.0,0.7310803,356.35205,435.94897,147.57404,6.4440765,0.06889429,2.5571811,0.8087207,0.0016525026,486.06772,-9.183904,380.65546,389.83936,0.003733998918533325,373.31276988983154,30000
1.0237755,-7.9251566,0.02377547,0.14341214,71.14043,1.0,-71.14043,1.0,0.6961039,127.9272,-114.922585,1052.6837,354.23163,502.14072,150.11365,5.5323815,0.061685346,3.1879573,0.7530823,0.0040618787,491.86206,-5.747578,378.8247,384.5723,1.0239764,-7.9921665,0.023976501,0.16016468,77.99693,1.0,-77.99693,1.0,0.69172484,356.9618,609.8793,147.00943,0.51086026,0.07059239,3.219327,0.7994329,0.001400305,491.86655,-10.128707,381.55515,391.68384,0.003733752727508545,391.9815402030945,35000
1.0238681,-7.9560146,0.023868047,0.1511267,75.6319,1.0,-75.6319,1.0,0.65942,148.98811,-121.018936,1052.2075,355.13556,602.519,149.44406,0.761988,0.04334894,2.531283,0.740041,0.0063162274,494.6938,3.2902393,379.87027,376.58002,1.0240479,-8.015969,0.024047907,0.1661152,76.506,1.0,-76.506,1.0,0.7120017,358.01733,627.4101,146.2569,1.4192444,0.065776244,4.0022473,0.76824445,0.0022747247,494.67258,-7.804075,382.75098,390.55505,0.0037320194721221925,410.64164304733276,40000
1.0238293,-7.9430947,0.023829285,0.14789662,75.6962,1.0,-75.6962,1.0,0.6479801,107.24206,-151.9106,883.91583,348.27646,766.9854,157.16919,4.909623,0.045175448,2.3720386,0.75082904,0.0015360629,497.2304,2.3989143,373.138,370.73907,1.0240302,-8.010059,0.024030179,0.1646378,77.82852,1.0,-77.82852,1.0,0.7049308,346.0339,677.36145,159.03595,10.364253,0.089923196,5.482322,0.8028381,0.002893328,497.18936,-19.849388,370.89337,390.74277,0.0037359633445739745,429.3214647769928,45000
1.023952,-7.9840026,0.023952007,0.15812358,70.77373,1.0,-70.77373,1.0,0.6705019,133.39401,-183.3133,1110.395,351.4132,767.58514,154.39766,8.18405,0.04219752,2.4947991,0.7327042,0.005731824,500.52603,3.9053438,376.4395,372.53418,1.0241171,-8.03902,0.02411706,0.17187779,75.46049,1.0,-75.46049,1.0,0.7252393,357.91406,700.68274,146.49348,3.138467,0.05776213,3.1425087,0.78599256,0.0021706072,500.4776,-3.8847723,382.93796,386.82272,0.0037310797691345217,447.9768691062927,50000
