training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.3802617,-7.9451275,2.3835382,0.14840487,15.137535,0.9967234,-15.087935,1.0,0.9991398,0.5878906,0.002883521,-26.029247,-26.052816,-1.9187433,29.519209,0.6232154,9.0766304e-07,0.014110395,-0.035954,0.7529828,3.3828588,-7.967699,2.3903098,0.15404773,14.390602,0.9925489,-14.283377,1.0,0.9988127,0.40625,0.0034892922,-25.341236,-25.364511,-1.5302572,23.97493,0.8624067,1.5010708e-07,0.04914685831069946,245.73430848121643,5000
3.337147,-7.8537083,2.3561125,0.12554991,17.241404,0.9810345,-16.914413,1.0,0.99932194,0.70703125,0.0020017559,-30.870113,-30.899658,-0.6457551,76.59815,2.0537202,1.9042098e-05,0.018859245,-0.028292809,0.7295306,3.3569596,-7.931634,2.3794904,0.14503144,17.34304,0.97746927,-16.952291,1.0,0.998683,0.4423828,0.0034354771,-29.235409,-29.263292,-0.70922124,149.67542,2.984033,6.241288e-07,0.002054218292236328,256.00540471076965,10000
3.3105068,-7.8422003,2.3526602,0.12267305,19.160633,0.9578466,-18.35295,1.0,0.99953747,0.80566406,0.0014239175,-31.674301,-31.705736,0.48323458,333.1978,7.834218,2.0624064e-05,0.02287075,-0.021467516,0.68068093,3.3281362,-7.9022675,2.3706803,0.13768977,18.260012,0.95745593,-17.483158,1.0,0.9985037,0.4560547,0.0037890654,-32.11944,-32.15093,0.094415486,3066.6887,13.957178,1.965979e-07,0.002059673547744751,266.3037779331207,15000
3.2716193,-7.8063946,2.3419185,0.113721654,16.269794,0.929701,-15.126045,1.0,0.9995804,0.83691406,0.0012009871,-31.22207,-31.253527,0.955523,1358.0275,11.14361,0.00016738576,0.02258546,-0.026497696,0.6883945,3.3114855,-7.8786674,2.3636003,0.1317898,18.879766,0.9478852,-17.895853,1.0,0.9985676,0.46777344,0.0040878337,-30.64521,-30.675377,0.215664,1343.6755,16.261883,1.7385654e-08,0.002057452154159546,276.5910437107086,20000
3.2719648,-7.787454,2.3362362,0.10898651,18.267868,0.93572855,-17.093767,1.0,0.9996233,0.86328125,0.0010666975,-31.289143,-31.320843,1.1430979,340.12015,10.8864975,1.5993666e-05,0.016043318,-0.033181295,0.5791533,3.2793794,-7.825344,2.3476033,0.11845891,17.231602,0.93177605,-16.055996,1.0,0.9984417,0.45996094,0.004659754,-30.348976,-30.379028,0.39385176,894.5288,18.412151,1.5144671e-08,0.002061804437637329,286.9000709056854,25000
3.268302,-7.7506247,2.3251877,0.09977919,17.700966,0.9431142,-16.694035,1.0,0.9996195,0.87109375,0.0010327394,-30.790016,-30.82112,1.0301884,158.98146,8.3313055,7.224688e-05,0.017371336,-0.022529067,0.534896,3.2929347,-7.8475776,2.3542733,0.12401725,17.123941,0.9386613,-16.073582,1.0,0.99851894,0.46679688,0.004369379,-30.673004,-30.703182,0.19874048,1249.1921,18.021301,1.0196067e-11,0.00205594539642334,297.1798026561737,30000
3.2502794,-7.7690854,2.3307257,0.1043943,17.290174,0.91955376,-15.899247,1.0,0.9996729,0.8671875,0.000946313,-30.196728,-30.227747,1.5355302,339.3898,13.044492,0.00029679725,0.020997943,-0.021163598,0.58439344,3.2772274,-7.814492,2.3443477,0.11574595,17.758165,0.93287957,-16.56623,1.0,0.99855614,0.47460938,0.0044016326,-29.9041,-29.933483,0.15563019,2441.6406,18.322567,1.0821896e-09,0.002057389974594116,307.46675729751587,35000
3.2572136,-7.755639,2.3266919,0.10103276,17.120018,0.9305218,-15.930552,1.0,0.9996872,0.8984375,0.0008892453,-29.871593,-29.902115,1.3511869,1143.0885,12.5513735,0.00035772595,0.02874938,-0.02919253,0.61705893,3.2924457,-7.8174186,2.3452256,0.11647759,17.665073,0.9472202,-16.732716,1.0,0.99854183,0.4638672,0.0041398383,-29.786861,-29.815811,-0.17277536,888.805,12.585069,2.8754708e-09,0.002060829496383667,317.7709107398987,40000
3.2485366,-7.7269454,2.3180838,0.09385933,17.525036,0.9304528,-16.306221,1.0,0.9996691,0.8808594,0.00092739647,-29.92191,-29.952597,1.47402,315.49826,11.484354,0.0005254419,0.052268922,-0.04684569,0.70984477,3.2674806,-7.7720275,2.3316083,0.10512983,17.029324,0.93587226,-15.937273,1.0,0.9985094,0.4638672,0.0047211754,-29.61753,-29.64641,-0.07220146,1798.0469,18.028818,1.5789364e-10,0.0020565011024475098,328.05342078208923,45000
3.2443147,-7.719125,2.3157375,0.091904074,16.770386,0.9285773,-15.572601,1.0,0.9996824,0.8935547,0.00088730745,-30.197569,-30.228416,1.3591374,184.04362,9.34791,0.0009705211,0.06572359,-0.07530599,0.71449035,3.2838225,-7.794707,2.3384123,0.110799715,17.772034,0.94541013,-16.801863,1.0,0.99863243,0.47558594,0.0040037087,-29.858797,-29.88785,-0.13803323,1442.0396,12.231634,3.0900662e-12,0.002057343149185181,338.3401415348053,50000
3.245835,-7.736403,2.320921,0.096223734,17.430588,0.9249142,-16.1218,1.0,0.99969864,0.91015625,0.00080255605,-29.91407,-29.94479,1.5141301,331.75668,11.214495,0.0008944834,0.019831264,-0.057399277,0.6439613,3.2758856,-7.7814894,2.334447,0.10749526,18.265697,0.94143856,-17.196033,1.0,0.99854374,0.48339844,0.0043337587,-29.699715,-29.728672,-0.07619027,1586.8541,14.557312,6.3302905e-12,0.0020594838142395018,348.6375663280487,55000
3.2415028,-7.7271843,2.3181553,0.093918994,17.305935,0.92334753,-15.979395,1.0,0.9997225,0.9160156,0.0007728889,-29.741003,-29.7716,1.560658,854.8084,12.286041,0.0026000892,0.038203396,-0.0630681,0.66831076,3.2816489,-7.776613,2.332984,0.10627617,18.036821,0.9486649,-17.1109,1.0,0.99850273,0.4638672,0.004403596,-29.795113,-29.824226,-0.011188488,1126.2834,14.982918,1.6681038e-09,0.0020564950466156005,358.92004656791687,60000
3.2468863,-7.71402,2.3142061,0.090627976,18.306496,0.93268,-17.074104,1.0,0.9997196,0.9082031,0.00076967984,-29.584507,-29.615013,1.6234438,566.349,10.994888,0.0039239107,0.03487497,-0.05786261,0.6797924,3.2727842,-7.7754946,2.3326485,0.10599671,16.940243,0.94013566,-15.926128,1.0,0.9985628,0.47460938,0.0042053666,-29.510765,-29.539698,0.08662096,1599.7697,14.795583,6.747771e-11,0.002056696081161499,369.20353174209595,65000
3.2443657,-7.721788,2.3165364,0.09256994,17.047613,0.9278294,-15.817278,1.0,0.99971294,0.9013672,0.00075729645,-29.77182,-29.802376,1.4852781,405.58215,10.213596,0.00062802923,0.0780136,-0.12769128,0.9613285,3.274138,-7.78434,2.335302,0.108207956,17.011307,0.9388358,-15.970825,1.0,0.9985056,0.45898438,0.004480827,-29.488289,-29.51684,-0.2820597,1907.0026,13.550894,1.3624367e-11,0.0020620337963104247,379.5137062072754,70000
3.2309282,-7.690998,2.3072991,0.084872365,16.643196,0.9236291,-15.372142,1.0,0.99975395,0.91796875,0.0006947315,-29.793427,-29.82403,1.5131775,403.79987,10.791825,0.004322835,0.03800344,-0.065187804,0.7046765,3.2799466,-7.7942715,2.3382816,0.11069086,17.207916,0.941665,-16.204094,1.0,0.99859905,0.4716797,0.0043348502,-29.362926,-29.39132,-0.3143708,2479.333,15.183725,5.120779e-11,0.002055846929550171,389.7929456233978,75000
