training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.861158,-7.861158,0.12741247,1.0,0.061730105,-0.053968206,2.2424018,7.8954773,-7.8954773,0.13599236,1.0,0.043592878484725955,217.9644091129303,5000
7.768457,-7.768457,0.10423724,1.0,0.06573722,-0.06987505,2.2862947,7.8431973,-7.8431973,0.1229223,1.0,0.0011489524841308593,223.70917677879333,10000
7.7510166,-7.7510166,0.099877104,1.0,0.06321752,-0.052671045,1.8877295,7.817862,-7.817862,0.116588436,1.0,0.001146729564666748,229.44282937049866,15000
7.7171116,-7.7171116,0.091400914,1.0,0.22041968,-0.15592256,3.0846145,7.7834997,-7.7834997,0.107997924,1.0,0.001143541669845581,235.160542011261,20000
7.7127485,-7.7127485,0.09031016,1.0,0.08522114,-0.13005117,2.0285547,7.755056,-7.755056,0.100886926,1.0,0.0011519373416900634,240.92023372650146,25000
7.688321,-7.688321,0.08420326,1.0,0.20691934,-0.09996849,2.1973479,7.754589,-7.754589,0.10077031,1.0,0.0011529471397399903,246.68497395515442,30000
7.6902485,-7.6902485,0.08468506,1.0,0.096262485,-0.0856079,2.0391927,7.731667,-7.731667,0.09503968,1.0,0.0011565051555633545,252.4675042629242,35000
7.6825447,-7.6825447,0.08275914,1.0,0.16868693,-0.11945392,2.416224,7.7482224,-7.7482224,0.099178486,1.0,0.0011500074863433837,258.2175467014313,40000
7.659692,-7.659692,0.07704593,1.0,0.11025752,-0.2752986,2.8025756,7.699276,-7.699276,0.08694203,1.0,0.0011373653888702392,263.9043781757355,45000
7.6650715,-7.6650715,0.07839089,1.0,0.27939558,-0.22537674,2.9485533,7.7279825,-7.7279825,0.094118625,1.0,0.0011475599765777588,269.64218282699585,50000
7.6701,-7.6701,0.0796479,1.0,0.13108648,-0.16227126,2.5988195,7.7064204,-7.7064204,0.08872808,1.0,0.0011472633838653565,275.37850403785706,55000
7.654733,-7.654733,0.0758063,1.0,0.14885837,-0.2777971,2.7526557,7.708547,-7.708547,0.089259714,1.0,0.0011637358665466308,281.1971879005432,60000
