training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.792957,-7.929571,0.79295707,0.14451572,18.221916,0.9999999,-18.221916,1.0,1.0337086,0.0,-13.720755,-23.74775,2.771823,-1.8733522,51.865326,1.1095387,-13.116346,-22.95252,0.08803457,1.7958355,-7.95854,0.79585403,0.15175803,17.748981,0.99998146,-17.748653,1.0,1.2551017,0.0,-13.42226,-23.789549,0.829647,-12.786222,-23.102839,0.10520293,0.0532210548877716,266.105286359787,5000
1.7846042,-7.8461266,0.78461266,0.12365465,26.978258,0.99999154,-26.978031,1.0,2.201636,0.0,-20.288792,-39.309826,7.307599,-7.669159,158.0418,1.0683668,-19.849333,-38.68345,0.10307886,1.7918342,-7.918629,0.79186296,0.14178023,27.852888,0.9999713,-27.852089,1.0,1.8158789,0.0,-19.96397,-39.403366,0.6680219,-19.46554,-38.68859,0.101534694,0.002249265956878662,277.35162115097046,10000
1.7831974,-7.831974,0.78319746,0.12011661,33.80996,1.0,-33.80996,1.0,1.7673957,0.0,-22.912281,-51.384808,7.600458,-4.3743987,133.41687,0.7802484,-22.507893,-50.857067,0.11679277,1.789679,-7.8968697,0.789687,0.13634038,33.204758,0.999992,-33.20449,1.0,1.8210044,0.0,-23.417316,-51.196644,1.2451359,-22.989567,-50.69361,0.108879924,0.002168525314331055,288.19425225257874,15000
1.7799258,-7.799305,0.7799305,0.111949205,35.864788,0.9999954,-35.864624,1.0,2.0028012,0.0,-26.19718,-60.648476,7.233951,-5.1491675,116.82753,0.79699,-25.81665,-60.324997,0.10184809,1.7877457,-7.877607,0.78776073,0.1315248,38.272324,0.999985,-38.271748,1.0,1.9444284,0.0,-26.537058,-60.23286,0.9445245,-26.098705,-59.887623,0.101253726,0.0020778682231903075,298.5835978984833,20000
1.7783577,-7.7837543,0.77837545,0.10806155,38.910957,0.99998236,-38.91027,1.0,1.9226556,0.0,-26.33304,-67.06178,7.6111374,-5.5343857,119.06853,1.0364448,-25.952911,-66.706375,0.110091366,1.7830126,-7.830126,0.78301257,0.11965443,38.276016,1.0,-38.276016,1.0,2.0457234,0.0,-26.552814,-66.97815,0.6029667,-26.180206,-66.602455,0.11867855,0.002025849199295044,308.7128486633301,25000
1.7756209,-7.75621,0.77562094,0.101175435,41.146854,1.0,-41.146854,1.0,1.8975925,0.0,-27.67265,-72.56021,5.9645567,-5.2317715,124.977776,1.0598034,-27.277905,-72.23883,0.13576768,1.783845,-7.83845,0.783845,0.12173544,39.49612,1.0,-39.49612,1.0,1.9091133,0.0,-27.885002,-71.38391,0.7430783,-27.521019,-71.01142,0.13408038,0.0020706297397613525,319.0660021305084,30000
1.7767563,-7.7678003,0.7767801,0.10407316,41.61544,0.9999762,-41.61445,1.0,2.1198447,0.1606797,-28.627775,-75.50149,5.3156447,-6.5445633,129.52261,0.803122,-28.283302,-75.28097,0.12200749,1.7818227,-7.8182273,0.78182274,0.11667974,41.953033,1.0,-41.953033,1.0,2.0033867,0.0,-28.948242,-76.302376,0.72293615,-28.546429,-76.09112,0.134316,0.0022427563190460203,330.27978897094727,35000
1.7755957,-7.7560005,0.7756001,0.10112318,42.66807,0.99999565,-42.667885,1.0,2.005563,0.57223487,-30.546467,-79.569695,4.8700356,-4.4813433,105.850426,0.9041751,-30.212448,-79.37557,0.114288196,1.7815343,-7.8153434,0.7815343,0.11595884,43.214523,1.0,-43.214523,1.0,1.6399771,0.0,-29.414614,-79.034,0.7031626,-29.038378,-78.8055,0.12154497,0.002138503646850586,340.97231221199036,40000
1.7726314,-7.7263145,0.7726314,0.09370154,44.616074,1.0,-44.616074,1.0,1.5846714,0.0,-29.55143,-80.48697,3.5399828,-4.957153,68.35177,0.8319525,-29.19753,-80.263336,0.11130076,1.7779669,-7.7797117,0.7779712,0.107051,43.473434,0.99999565,-43.473244,1.0,1.4793668,0.0,-31.39177,-81.767784,0.8984004,-31.069687,-81.4951,0.10962522,0.0021244810104370116,351.594722032547,45000
1.7729151,-7.7291574,0.7729157,0.09441228,44.099808,0.99999934,-44.099777,1.0,1.9138138,0.0,-30.222752,-83.673,8.285577,-7.4731874,125.25351,0.72399855,-29.875708,-83.56818,0.09781693,1.7796594,-7.7965937,0.7796594,0.11127145,44.950592,1.0,-44.950592,1.0,2.2759106,0.0,-30.65656,-83.343185,0.8460885,-30.363739,-83.22813,0.10921326,0.0021948806285858155,362.569130897522,50000
1.7740748,-7.7407484,0.7740748,0.09731009,45.52135,0.99999994,-45.52135,1.0,1.5671029,0.0,-32.149925,-85.61123,3.6413448,-2.6533878,68.96971,0.47960654,-31.830769,-85.49034,0.09429028,1.7784321,-7.7843285,0.77843285,0.10820513,45.177494,0.9999992,-45.17746,1.0,1.6646078,0.0,-30.74721,-84.315575,0.46275252,-30.496923,-84.133026,0.118866734,0.002371926736831665,374.4287693500519,55000
1.7718736,-7.7187357,0.7718736,0.09180687,45.93715,1.0,-45.93715,1.0,1.3630341,0.0,-31.837927,-86.2002,2.5101087,-2.4296556,74.46721,0.68575907,-31.478752,-85.938034,0.102504805,1.7770133,-7.7701335,0.7770133,0.10465635,45.977425,1.0,-45.977425,1.0,2.1181614,0.0,-31.370975,-86.42958,0.73268694,-31.02645,-86.32069,0.11239757,0.0021815130233764648,385.3363392353058,60000
1.7715751,-7.7157507,0.7715751,0.09106077,47.808144,1.0,-47.808144,1.0,1.65351,0.0,-31.134396,-87.56696,2.809916,-2.376568,80.80242,1.1844823,-30.778706,-87.4542,0.10623452,1.7782925,-7.782943,0.77829427,0.107858695,44.31138,0.9999983,-44.311302,1.0,1.5252866,0.0,-31.987179,-87.5983,0.9236707,-31.634058,-87.423836,0.096428856,0.0021813753604888915,396.2432208061218,65000
1.7723005,-7.7230053,0.7723005,0.09287432,46.267006,1.0,-46.267006,1.0,1.387385,0.0,-31.757277,-88.167274,4.1625657,-3.9141245,81.693,0.695761,-31.48668,-88.07823,0.09642162,1.7788181,-7.788186,0.77881867,0.10916959,44.517654,0.99999946,-44.51763,1.0,1.762026,0.0,-32.958424,-88.2828,0.9469258,-32.611214,-88.17503,0.12191193,0.002383424377441406,408.16034722328186,70000
1.7688925,-7.6889243,0.76889247,0.084354125,45.996216,1.0,-45.996216,1.0,2.0128517,0.0,-31.228073,-88.86696,5.163698,-6.503016,109.34258,1.0234361,-30.849667,-88.74836,0.1265791,1.7792703,-7.7927027,0.7792703,0.110298656,44.85952,1.0,-44.85952,1.0,2.0127888,0.0,-31.19085,-89.874535,0.71350706,-30.881662,-89.80587,0.1227915,0.002306744384765625,419.69407391548157,75000
1.7710795,-7.710855,0.7710855,0.0898367,46.028664,0.999994,-46.028385,1.0,2.0288246,0.0,-31.426846,-88.80423,2.2865763,-2.2958324,63.068634,0.5071368,-31.100262,-88.74333,0.13870573,1.7785404,-7.7855196,0.77855194,0.10850294,47.42062,0.9999884,-47.42007,1.0,1.539903,0.0,-31.668015,-90.33212,0.57082057,-31.325077,-90.1216,0.10548835,0.0021428342819213866,430.4082498550415,80000
1.769923,-7.6992292,0.7699229,0.08693026,46.156357,1.0,-46.156357,1.0,1.3995404,0.0,-32.81349,-90.63627,4.7937207,-4.0157795,72.750244,0.89831245,-32.49652,-90.58658,0.09298712,1.7798347,-7.798399,0.7798399,0.11172277,45.181446,0.9999949,-45.181213,1.0,1.6989694,0.0,-32.82682,-89.64197,0.6632613,-32.502205,-89.532036,0.11311558,0.0021469597339630127,441.14305329322815,85000
1.7701231,-7.7012644,0.7701264,0.087439,46.51642,0.9999967,-46.516266,1.0,1.4546231,0.0,-31.571552,-90.18611,4.232084,-3.3864372,70.764366,0.6791419,-31.2785,-90.05769,0.09197939,1.7770281,-7.7702847,0.7770285,0.10469414,45.638405,0.9999995,-45.638382,1.0,1.8877555,0.0,-32.73345,-89.58302,0.5981422,-32.374443,-89.55451,0.097612135,0.002118338966369629,451.7347536087036,90000
1.7699614,-7.6996784,0.7699678,0.087042555,46.264954,0.99999356,-46.264656,1.0,1.6390891,0.0,-32.126637,-89.99834,3.6838071,-2.0694346,57.42097,0.6738919,-31.805328,-89.8224,0.09183156,1.7744036,-7.744035,0.7744035,0.098131746,45.643444,1.0,-45.643444,1.0,2.074802,0.0,-30.801542,-90.2774,0.8936553,-30.431364,-90.20163,0.12178171,0.0022183090686798096,462.82630348205566,95000
1.7690927,-7.6909266,0.7690927,0.08485468,46.519253,1.0,-46.519253,1.0,1.7119007,0.0,-32.797535,-89.96402,6.9598656,-5.7350416,105.87822,0.627018,-32.42991,-89.82248,0.11044407,1.7789142,-7.789141,0.77891415,0.10940829,46.654808,1.0,-46.654808,1.0,1.7390764,0.0,-32.06605,-91.501526,0.6565062,-31.74945,-91.43335,0.12133965,0.0020459500312805176,473.0560586452484,100000
1.7697308,-7.6973076,0.7697308,0.08644997,45.953667,1.0,-45.953667,1.0,1.2822769,0.0,-32.238945,-90.79078,3.231676,-4.271708,54.035828,0.878237,-31.901865,-90.686035,0.08158123,1.7769378,-7.7693787,0.77693784,0.1044676,46.46076,1.0,-46.46076,1.0,1.54819,0.0,-33.713272,-91.36878,0.79134095,-33.35398,-91.32977,0.10717495,0.04790794005393982,712.5957636833191,105000
1.7705977,-7.7059946,0.7705995,0.08862163,46.22876,0.99999815,-46.228676,1.0,1.5475864,0.0,-33.228027,-91.15167,3.1994581,-3.472791,70.97434,0.40806812,-32.934673,-90.95682,0.085959524,1.7777586,-7.7775855,0.7777586,0.10651939,45.108437,1.0,-45.108437,1.0,1.5397183,0.0,-31.944109,-91.13471,0.44292367,-31.665966,-91.00646,0.08423069,0.0025511979103088377,725.3517591953278,110000
1.7685988,-7.686018,0.7686018,0.083627395,45.37603,0.999997,-45.375896,1.0,1.9137101,0.0,-32.494667,-91.527855,3.8186426,-4.1055794,67.67209,1.2423383,-32.13308,-91.35733,0.111638054,1.7766621,-7.7666216,0.7766622,0.10377836,47.257095,1.0,-47.257095,1.0,1.7313457,0.0,-34.45556,-91.20511,1.1948073,-34.12394,-91.14425,0.120578244,0.0021654131412506103,736.1788296699524,115000
1.768981,-7.6898212,0.7689822,0.08457829,46.379414,0.99999887,-46.37936,1.0,1.4601104,0.0,-34.170315,-91.672455,3.6019616,-2.5354238,57.76407,0.6052815,-33.83275,-91.62763,0.1050414,1.7795691,-7.795761,0.77957606,0.11106327,46.55886,0.999993,-46.558537,1.0,1.9606022,0.0,-31.886353,-91.55084,0.5773195,-31.550074,-91.50958,0.12965089,0.0023215736389160155,747.7867031097412,120000
1.7675629,-7.6756983,0.7675698,0.08104747,47.801083,0.999993,-47.800747,1.0,1.1940037,0.0,-34.19463,-91.57386,1.7245482,-1.8426733,42.18528,0.36845294,-33.93714,-91.58787,0.077934235,1.7763197,-7.763219,0.7763219,0.102927655,47.859947,0.9999978,-47.85984,1.0,1.4093375,0.0,-31.192217,-92.48484,0.39590222,-30.883099,-92.31468,0.1009011,0.002580143117904663,760.6874234676361,125000
1.7691064,-7.6911063,0.7691107,0.08489956,48.099564,0.99999577,-48.099358,1.0,2.2276754,0.0,-32.686302,-91.202965,3.9589183,-4.7501516,102.898026,0.4181202,-32.37232,-91.01071,0.091732904,1.7782623,-7.7826223,0.77826226,0.10777856,47.7608,1.0,-47.7608,1.0,2.0822506,0.0,-32.668816,-91.70251,0.57167244,-32.398796,-91.57747,0.12160793,0.0020941797733306884,771.1583273410797,130000
1.7667937,-7.6679807,0.766798,0.079118066,46.571213,0.99999577,-46.571014,1.0,1.3665357,0.0,-31.860165,-92.58553,1.3563604,-2.5124269,47.197685,0.7465942,-31.543163,-92.51032,0.10208717,1.7767614,-7.7677355,0.7767736,0.10405682,46.900345,0.99998784,-46.899773,1.0,1.4793916,0.0,-30.970003,-91.7417,0.84699696,-30.658651,-91.66777,0.10540663,0.002079700231552124,781.5568332672119,135000
1.7672858,-7.672858,0.7672858,0.08033754,48.35048,1.0,-48.35048,1.0,1.2151585,0.0,-33.24111,-91.90726,2.5856075,-2.5990837,44.10329,0.52460885,-32.983177,-91.87521,0.07929166,1.7783257,-7.7832565,0.7783257,0.10793708,47.85293,1.0,-47.85293,1.0,1.4864557,0.0,-32.474297,-91.81797,0.5516414,-32.2165,-91.75402,0.10391179,0.002595947504043579,794.53657579422,140000
1.7685127,-7.6852336,0.76852334,0.08343133,47.921448,0.99998945,-47.92094,1.0,1.0195348,0.0,-33.224358,-92.269516,1.5313053,-1.5605166,39.347847,0.5954497,-32.938694,-92.06128,0.08279161,1.7781433,-7.781433,0.7781433,0.10748113,47.2546,1.0,-47.2546,1.0,1.4515512,0.0,-32.375603,-92.34218,0.7128845,-32.097275,-92.30443,0.108292244,0.002752901077270508,808.3010861873627,145000
1.767714,-7.677193,0.7677193,0.08142127,47.64431,0.99999475,-47.644062,1.0,1.3560178,0.0,-32.33429,-91.81853,4.499756,-3.483838,73.480576,1.0273919,-32.011982,-91.74147,0.1092551,1.7768031,-7.7681637,0.77681637,0.10416387,45.98154,0.99998677,-45.980934,1.0,1.9515401,0.0,-32.98817,-92.42639,0.59515953,-32.677933,-92.3446,0.11807049,0.0020703629493713377,818.6529068946838,150000
1.7686384,-7.6864414,0.76864415,0.083733365,47.826946,0.9999943,-47.82667,1.0,1.0992606,0.0,-32.035282,-92.257225,2.457258,-2.3265443,60.383095,0.642922,-31.747478,-92.16389,0.085708454,1.7763884,-7.7638845,0.7763884,0.10309404,46.448616,0.99999994,-46.448616,1.0,1.5619705,0.0,-33.73744,-92.53508,0.6210755,-33.424793,-92.39517,0.10344085,0.002160260725021362,829.4542157649994,155000
