training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
175.19897,0.11456976,-8.103916,0.18810216,1.0,1.8754482,-2.2943153,79.94052,0.6680015,-13.452957,-25.119259,0.15696749,174.41844,0.07218294,-8.115101,0.19089827,1.0,0.61431986,-12.817686,-25.157742,0.17568143,0.04837407474517822,241.87039184570312,5000
218.44446,0.10234546,-7.9628773,0.15284222,1.0,1.8815014,-2.0334868,74.5482,0.34136695,-19.67178,-43.466846,0.2729518,221.62543,0.12256419,-8.049454,0.17448634,1.0,0.6090436,-19.151175,-43.49135,0.24419755,0.0017840125560760498,250.79046034812927,10000
280.67935,0.15009277,-7.932068,0.14513998,1.0,2.9494822,-2.6166232,97.89665,0.6189698,-21.646032,-58.11155,0.3010435,290.5865,0.15536353,-7.982072,0.1576409,1.0,0.6435715,-22.071358,-57.977184,0.25001982,0.0017786807537078857,259.6838698387146,15000
307.85883,0.15824653,-7.8598933,0.1270963,1.0,2.2942817,-5.3745236,109.064835,0.49975586,-24.192074,-67.8193,0.31593758,289.84653,0.10623659,-7.9407816,0.1473184,1.0,0.8675215,-24.621208,-67.96404,0.348404,0.0017848293304443359,268.608021736145,20000
298.09546,0.12710844,-7.853484,0.12549406,1.0,5.631838,-6.6938944,124.75912,0.43769422,-23.929565,-75.66474,0.2768787,301.07468,0.13992424,-7.9067106,0.13880068,1.0,0.53811765,-24.059526,-74.6647,0.30672675,0.001795589017868042,277.5859725475311,25000
279.9917,0.11593036,-7.833152,0.1204109,1.0,12.962267,-13.0321865,137.05127,0.4927991,-24.914043,-79.25997,0.2618696,303.57117,0.15615031,-7.892983,0.13536876,1.0,0.5049427,-25.334286,-78.546196,0.28884956,0.001792018508911133,286.54607033729553,30000
307.4375,0.20189837,-7.8401394,0.122157946,1.0,4.524651,-3.8168957,110.80586,0.4086852,-25.75797,-81.93959,0.2883632,309.14807,0.19693103,-7.8587875,0.12681991,1.0,0.44377336,-26.086018,-82.792404,0.3071286,0.0017725762844085693,295.4089574813843,35000
317.97607,0.201531,-7.8175783,0.116517514,1.0,13.273876,-15.156748,162.97105,0.760555,-27.169666,-83.34502,0.2777251,312.12262,0.18842667,-7.8716955,0.1300468,1.0,0.9057537,-26.247425,-84.09778,0.2625209,0.0017837916851043702,304.327921628952,40000
295.41394,0.14763613,-7.794282,0.1106935,1.0,14.362228,-8.327969,124.62558,0.565105,-26.255537,-85.06311,0.27274543,304.18494,0.14694414,-7.8176866,0.116544664,1.0,0.49889198,-27.793453,-84.334885,0.26652667,0.0017723568916320801,313.1897122859955,45000
315.5338,0.1711199,-7.7809362,0.107356936,1.0,16.575111,-15.090401,138.4584,0.38046533,-26.633724,-86.35043,0.2768055,309.7984,0.14940876,-7.8417416,0.12255831,1.0,0.42399794,-26.881367,-84.83447,0.37050638,0.001768434715270996,322.0318911075592,50000
288.87805,0.089346156,-7.8081007,0.11414811,1.0,10.412019,-9.300335,128.29895,0.346789,-28.231195,-87.99559,0.25625435,286.46872,0.15172623,-7.83314,0.12040798,1.0,0.45315957,-26.648502,-85.347,0.31613314,0.0017772836685180664,330.9183156490326,55000
295.68747,0.16637504,-7.785878,0.10859256,1.0,13.595564,-4.946083,121.10077,0.38933128,-27.628387,-87.509026,0.2758477,297.62335,0.16225076,-7.8218374,0.11758236,1.0,0.2734056,-27.164845,-84.26544,0.3235649,0.0017769810676574707,339.8032262325287,60000
271.96167,0.10105169,-7.783655,0.10803674,1.0,14.455354,-10.844555,116.71984,0.5750487,-26.983803,-87.36803,0.27779698,323.2879,0.20577702,-7.816638,0.11628242,1.0,0.9299935,-28.138721,-86.92012,0.22913894,0.001785607624053955,348.7312707901001,65000
309.15875,0.18382926,-7.772599,0.10527275,1.0,7.056187,-13.835349,104.91088,0.6444981,-27.284704,-88.6183,0.23817715,290.6089,0.15720257,-7.8301125,0.11965118,1.0,0.71287847,-28.81149,-88.36263,0.31353372,0.0017715636730194092,357.5890944004059,70000
