training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
36.11103,-37.310417,476.78897,371.6032,2.9040456,-10.477761,0.25767514,1.0,185.78204,0.21194865,-8.011506,0.1649996,1.0,0.20611125,-14.675142,-25.671154,0.68213207,347.93665,2.6862361,-10.576103,0.27734372,1.0,166.90955,0.098994195,-8.014942,0.16585843,1.0,0.1790022,-14.936236,-25.82903,0.7584645,0.0543353364944458,271.6766996383667,5000
47.933693,-49.536163,521.0378,454.66003,3.0905752,-10.339491,0.23002134,1.0,166.75021,0.13735497,-7.8946543,0.13578641,1.0,0.27415922,-20.556936,-42.765076,0.6924891,468.91974,3.3580482,-10.312592,0.22464132,1.0,183.97812,0.26969516,-7.911065,0.13988918,1.0,0.39225522,-20.631231,-42.72738,0.88112247,0.002463399124145508,283.9937002658844,10000
23.193716,-17.825954,322.46405,504.04837,3.72549,-10.137915,0.18970597,1.0,186.5206,0.20014039,-7.859497,0.12699737,1.0,0.10700362,-24.696634,-55.796555,0.9218099,506.31348,3.720683,-10.08451,0.17902482,1.0,175.18393,0.22888917,-7.868949,0.12936024,1.0,0.2036186,-24.782936,-55.800014,1.0359944,0.002432306146621704,296.15523648262024,15000
29.117664,-22.864262,376.52405,523.5016,3.7900724,-9.998398,0.16180257,1.0,177.03171,0.18286467,-7.8012996,0.11244792,1.0,0.12930034,-27.83556,-65.9724,0.96627325,521.8418,3.807508,-10.04763,0.17164892,1.0,173.39697,0.265573,-7.8775992,0.13152272,1.0,0.13674076,-27.878147,-65.99836,0.85898113,0.0024275550365448,308.29301714897156,20000
9.146489,-6.784445,231.41913,522.37695,3.7322297,-9.936108,0.14934449,1.0,179.32893,0.3496791,-7.8212924,0.117446095,1.0,0.013283072,-28.345755,-73.45033,0.9803511,540.10156,3.7546248,-10.034433,0.16900958,1.0,184.98401,0.26296616,-7.870365,0.12971422,1.0,-0.05661869,-28.362272,-73.56531,1.1469322,0.002429130268096924,320.43867349624634,25000
19.923588,-14.206357,305.63116,526.1043,3.720159,-9.917334,0.14558972,1.0,177.87738,0.30093652,-7.7911425,0.10990861,1.0,0.0069331005,-28.981142,-79.2099,1.1328409,547.7985,3.8220074,-9.891731,0.14046915,1.0,171.90085,0.21495576,-7.8555202,0.12600304,1.0,0.0036123767,-29.639912,-79.15152,0.9456494,0.002429725980758667,332.58730959892273,30000
45.605396,-64.88969,515.1031,557.42114,4.041374,-10.031352,0.16839336,1.0,170.35498,0.20408563,-7.790736,0.10980697,1.0,0.15335763,-31.020853,-83.01497,0.88849723,533.5969,3.5749416,-10.040523,0.17022751,1.0,184.9628,0.2843508,-7.8611603,0.127413,1.0,0.17980486,-30.6762,-83.03371,0.91169614,0.0024230232715606688,344.7024304866791,35000
13.709248,-16.87852,288.01767,547.25146,3.9503012,-9.936641,0.14945114,1.0,189.18387,0.28753293,-7.767975,0.10411666,1.0,0.11604685,-32.198143,-86.50075,1.3819981,534.70935,3.8209467,-9.987904,0.15970364,1.0,198.56046,0.3794908,-7.82081,0.11732547,1.0,0.1443578,-30.846968,-86.39841,1.0272195,0.0024346407890319826,356.8756399154663,40000
13.977962,-21.976088,311.12753,540.06805,3.749204,-9.888361,0.13979523,1.0,189.61401,0.39502072,-7.7664566,0.103737056,1.0,0.12326855,-32.830254,-88.79678,0.84718573,549.7058,3.9957523,-9.895576,0.14123803,1.0,191.98456,0.3252138,-7.807599,0.11402278,1.0,0.08597189,-32.83471,-88.549164,1.1759887,0.0024289343357086182,369.0203185081482,45000
22.692112,-30.728657,337.21616,559.1817,4.146048,-9.8436775,0.13085866,1.0,180.28406,0.2845761,-7.777986,0.10661952,1.0,0.12480662,-34.744858,-90.321,1.0256703,522.02734,3.9241164,-9.951372,0.15239744,1.0,168.54822,0.15587881,-7.8233876,0.1179699,1.0,0.12037338,-32.632874,-90.12307,1.1166223,0.0024376949787139894,381.2087981700897,50000
