training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0237805,-7.9268217,0.023780465,0.1438283,385.5051,1.0,-385.5051,1.0,2.593977,203.45193,-213.36546,1808.2615,67.86356,1355.3512,674.2385,5.9443517,6.516531,13.5965395,2.5588422,0.0126433745,7.064612,-45.68353,68.2168,113.90033,1.0238484,-7.94948,0.02384844,0.14949292,378.33856,1.0,-378.33856,1.0,2.6518638,69.054535,1319.7,671.4591,5.742906,6.6760836,11.485677,2.625586,0.019391898,7.0668235,-46.825363,69.407875,116.23324,0.05449009532928467,272.450492143631,5000
1.0235103,-7.8367934,0.023510382,0.12132129,281.3997,1.0,-281.3997,1.0,1.6007515,421.6416,-488.0429,3038.0254,124.50437,1226.9756,507.53058,18.308842,1.6736319,9.718217,1.5775775,0.015613755,34.122112,-55.401752,126.21048,181.61223,1.0237496,-7.916545,0.023749636,0.14125925,280.44135,1.0,-280.44135,1.0,1.6391063,127.95451,1261.56,492.81445,16.468622,1.6512023,9.594498,1.6034899,0.01176166,34.132557,-54.65313,129.66113,184.31427,0.003721730184555054,291.059148311615,10000
1.023562,-7.8539753,0.023561927,0.12561673,199.2676,1.0,-199.2676,1.0,1.0021917,307.36508,-218.44623,2176.4082,201.0887,964.21814,348.9787,8.148112,0.33231956,4.769536,1.0043913,0.010083417,147.04489,-41.513645,208.44095,249.95459,1.023726,-7.908643,0.023725927,0.13928366,179.44267,1.0,-179.44267,1.0,0.9851651,211.8734,937.9881,331.21643,3.4920444,0.4825816,9.916508,0.9967558,0.0035864545,147.08368,-63.62569,219.22758,282.85327,0.003720620393753052,309.66225600242615,15000
1.0234693,-7.8231096,0.023469329,0.11790031,125.55663,1.0,-125.55663,1.0,0.76119417,213.34071,-274.15723,2292.3752,274.36658,785.95807,243.59297,6.2109313,0.070807084,2.999185,0.75392866,0.0066951597,486.7763,-10.128395,298.7054,308.8338,1.023748,-7.916028,0.023748085,0.14112991,136.75171,1.0,-136.75171,1.0,0.7633506,281.2708,764.08765,234.61115,2.0884314,0.1485514,8.65635,0.7509142,0.009215897,486.85803,-47.980545,305.6137,353.59427,0.0037206925392150878,328.2657253742218,20000
1.0234312,-7.810379,0.023431137,0.11471771,126.65576,1.0,-126.65576,1.0,0.68022156,338.23566,-318.26773,2490.955,284.6206,779.45154,231.08926,1.363075,0.03828772,3.055186,0.6777717,0.007302955,724.1169,8.481059,320.82645,312.3454,1.0235486,-7.8495364,0.02354861,0.12450708,120.66589,1.0,-120.66589,1.0,0.7426474,293.48294,696.15247,218.52487,5.033977,0.11162232,5.02754,0.75271237,0.0038003249,724.12244,-44.622105,329.68906,374.31116,0.003718951320648193,346.86048698425293,25000
1.0233674,-7.789116,0.023367345,0.109401874,123.85724,1.0,-123.85724,1.0,0.64818287,209.78874,-202.80038,1791.0286,284.8676,826.61115,230.988,3.2003205,0.044616587,2.3791497,0.68817544,0.001383345,731.7144,3.939121,321.45334,317.51422,1.0236138,-7.8712254,0.023613676,0.12992927,117.14437,1.0000001,-117.14437,1.0,0.6832659,294.81775,812.81836,218.79477,3.0764098,0.15358582,9.784896,0.7151106,0.005046339,731.6712,-75.790764,331.4013,407.19208,0.003720102310180664,365.4610049724579,30000
1.023431,-7.8103294,0.023430988,0.114705324,133.77469,1.0,-133.77469,1.0,0.6499913,317.91614,-492.7217,3139.7847,274.3686,802.25256,246.54042,7.2785735,0.05044865,4.209623,0.6810745,0.0016445414,724.3313,-0.3249697,310.58514,310.91013,1.0235488,-7.8496065,0.02354882,0.12452451,122.28208,1.0,-122.28208,1.0,0.73130107,284.1375,840.718,233.92117,0.12024876,0.57976323,18.987717,0.7778568,0.00461193,724.32855,-383.72263,320.3539,704.07654,0.0037184148788452147,384.0530879497528,35000
1.0234293,-7.8097706,0.023429312,0.114565626,122.41631,1.0,-122.41631,1.0,0.6709464,428.24585,-454.36633,2862.928,283.9361,769.234,232.2332,7.363703,0.047748253,3.1474855,0.7281056,0.0077733733,737.71606,1.6611507,320.8219,319.16074,1.023623,-7.8743324,0.023622997,0.13070595,126.711136,1.0,-126.711136,1.0,0.67733455,293.36688,752.2901,221.28296,1.2485813,0.04496427,3.2138195,0.70897746,0.0049587493,737.6665,3.7146907,330.2502,326.53552,0.0037180986881256103,402.643586397171,40000
1.0233499,-7.7832904,0.023349872,0.10794553,137.09367,1.0,-137.09367,1.0,0.6567478,352.53665,-495.1064,3404.1775,283.9877,969.59155,235.3089,5.959914,0.047478933,3.520565,0.7093935,0.00384578,736.9131,1.8578079,320.83337,318.97556,1.023485,-7.8283224,0.023484966,0.11920349,126.02078,1.0,-126.02078,1.0,0.72690463,281.0786,800.5191,235.78363,13.883195,0.114438206,8.500121,0.72140473,0.004269599,736.88464,-47.48353,317.92285,365.40637,0.003720100450515747,421.24409341812134,45000
1.0233002,-7.766714,0.023300145,0.103801504,137.50209,1.0,-137.50209,1.0,0.6741856,754.6463,-737.2979,4775.709,262.69012,933.381,269.19415,4.556499,0.056126602,3.9208832,0.7215909,0.006302591,721.58624,-4.4208713,298.76944,303.1903,1.0235066,-7.8355303,0.02350659,0.12100543,147.72073,1.0,-147.72073,1.0,0.6825689,268.97195,946.9349,259.34418,1.1669425,0.21757665,9.267713,0.74136555,0.004394537,721.6361,-120.92937,305.05377,425.98312,0.0037183493614196777,439.83584690093994,50000
