training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.925238,-4.6422305,13.926691,0.01901511,5.1831236,0.9985471,-5.175594,1.0,0.99903774,0.3310547,0.0043977387,-15.778984,-15.790952,-3.5358167,5.683232,0.13375366,7.1914687e-06,0.08563379,-0.10752049,1.0002733,14.919144,-4.639845,13.919535,0.01806095,4.8990974,0.99960923,-4.897184,1.0,0.9990177,0.23925781,0.0048254235,-15.448647,-15.460233,-3.595654,25.52792,0.13975312,5.033012e-07,0.025217944860458374,126.08974194526672,5000
14.912424,-4.6401315,13.920395,0.018175628,4.693918,0.99202955,-4.6565065,1.0,0.9990778,0.3955078,0.004017353,-14.672043,-14.683538,-2.9130125,12.99335,0.3471802,1.8394347e-05,0.089922674,-0.13090554,0.7953649,14.911506,-4.6388044,13.916414,0.017644882,5.151157,0.9950913,-5.1258726,1.0,0.99894524,0.28515625,0.004590843,-14.615088,-14.62617,-3.2779655,43.346844,0.30506557,2.198933e-06,0.0020246212005615234,136.2128553390503,10000
14.899184,-4.6390896,13.917268,0.01775873,4.9488406,0.9819164,-4.859349,1.0,0.99913406,0.41503906,0.0038278713,-14.382527,-14.3939495,-2.69726,31.14586,0.59559023,6.893754e-07,0.10944475,-0.09622851,0.8388189,14.912003,-4.6392794,13.917837,0.017834624,5.4974766,0.9941655,-5.465402,1.0,0.9989176,0.296875,0.0047861515,-14.328871,-14.339611,-3.3412538,22.488194,0.43470174,2.5121777e-08,0.0020257495403289793,146.34160780906677,15000
14.91266,-4.644804,13.934414,0.020044742,4.8247027,0.9782461,-4.7197475,1.0,0.99914455,0.48046875,0.003404304,-14.964655,-14.977107,-2.226685,30.255161,0.84855485,1.5963477e-07,0.08333345,-0.14089587,1.0123912,14.884929,-4.6348124,13.904437,0.016047869,5.9577956,0.9804917,-5.84157,1.0,0.99885464,0.29003906,0.0051009627,-14.928625,-14.939796,-3.5010674,43.164444,0.7452414,3.630531e-08,0.002023040962219238,156.4568178653717,20000
14.879808,-4.6388407,13.916522,0.017659267,4.7494965,0.9632869,-4.5751286,1.0,0.99921036,0.58203125,0.0028941706,-15.967484,-15.981521,-1.6085048,69.998085,1.3392534,1.6357267e-06,0.07931466,-0.11057811,0.838998,14.911848,-4.6432314,13.929693,0.019415444,6.6893883,0.98215437,-6.570013,1.0,0.9988928,0.2919922,0.0054277955,-15.907387,-15.919087,-3.9364748,120.233986,0.97797406,2.5644734e-08,0.002025810432434082,166.58587646484375,25000
14.864974,-4.634366,13.903097,0.015869338,4.7058325,0.9618768,-4.526432,1.0,0.9992466,0.63671875,0.0025226474,-16.622639,-16.63774,-1.174351,313.02127,1.9609127,1.2801291e-05,0.06875722,-0.06760213,0.7372786,14.882516,-4.6348786,13.904636,0.016074432,7.7699146,0.9778793,-7.5980396,1.0,0.9987831,0.28320312,0.006058862,-16.548578,-16.560556,-4.296294,70.95798,1.4951508,2.1435633e-09,0.0020276464462280273,176.72411465644836,30000
14.84674,-4.6346693,13.904008,0.015990747,4.6126127,0.94273156,-4.3484564,1.0,0.9992409,0.6582031,0.0024639065,-17.118465,-17.13409,-1.1345837,412.27588,1.9486202,9.972998e-07,0.11205885,-0.11100309,0.908994,14.9026785,-4.640798,13.922394,0.018442178,8.221978,0.98028445,-8.059878,1.0,0.99877167,0.26171875,0.0064323256,-17.034916,-17.046967,-4.70498,774.5227,1.9377964,1.4514222e-10,0.0020256815433502195,186.85252714157104,35000
14.820378,-4.6304264,13.89128,0.01429365,4.7830143,0.92909837,-4.4438915,1.0,0.99931717,0.6982422,0.002290897,-17.677586,-17.693981,-0.9053262,161.67174,2.3499026,1.7049094e-06,0.07686374,-0.12503678,0.8089142,14.885861,-4.637418,13.912252,0.017090011,8.426603,0.97360885,-8.204217,1.0,0.99873066,0.24707031,0.0067936964,-17.679043,-17.691494,-4.943494,931.87286,3.6465735,2.5608976e-10,0.0020243097782135008,196.97408246994019,40000
14.852794,-4.63731,13.91193,0.017046867,4.7303762,0.9408634,-4.450639,1.0,0.9993305,0.6953125,0.0021902483,-18.111689,-18.128674,-0.73543626,160.9827,2.4933114,1.5269253e-11,0.18730693,-0.08065323,0.9349104,14.896302,-4.638793,13.916379,0.017640112,8.86376,0.9799234,-8.685807,1.0,0.998785,0.25878906,0.007045647,-17.93037,-17.942795,-5.2229595,522.9058,3.725133,5.192422e-10,0.002020894145965576,207.0785584449768,45000
14.832604,-4.634066,13.902199,0.015749354,4.502602,0.93040603,-4.189249,1.0,0.9992924,0.71484375,0.002110826,-18.446224,-18.46356,-0.71248686,102.33503,2.3762667,3.9553907e-09,0.06589701,-0.071689434,0.7366363,14.893891,-4.6388535,13.91656,0.017664377,9.177774,0.9773311,-8.969726,1.0,0.9987345,0.24804688,0.0074438965,-18.617893,-18.63065,-5.5676165,581.9905,2.9596775,2.1008983e-11,0.002025678110122681,217.20695543289185,50000
