training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
4.6399364,-4.6399364,0.01809744,1.0,0.019853298,-0.03966999,0.35120448,4.6373205,-4.6373205,0.0170513,1.0,0.020986497926712037,104.93250274658203,5000
4.6365933,-4.6365933,0.016760338,1.0,0.021023305,-0.03779903,0.23467466,4.6356325,-4.6356325,0.016375853,1.0,0.0010736743450164795,110.30087995529175,10000
4.635675,-4.635675,0.016392961,1.0,0.02779437,-0.018679883,0.2323588,4.6355066,-4.6355066,0.016325548,1.0,0.0010678969383239745,115.64036965370178,15000
4.6420555,-4.6420555,0.018945236,1.0,0.020636076,-0.028650548,0.27722156,4.6320972,-4.6320972,0.014961752,1.0,0.0010725791454315185,121.00329089164734,20000
4.636503,-4.636503,0.016724398,1.0,0.021431096,-0.029996427,0.23853026,4.640208,-4.640208,0.018205894,1.0,0.0010731834888458253,126.36921334266663,25000
4.632578,-4.632578,0.015154037,1.0,0.02835872,-0.022841536,0.22186464,4.632332,-4.632332,0.015055832,1.0,0.0010728501319885253,131.733469247818,30000
4.6331186,-4.6331186,0.015370297,1.0,0.017910793,-0.042193428,0.2760498,4.639531,-4.639531,0.017935388,1.0,0.001079081916809082,137.12888360023499,35000
4.6287766,-4.6287766,0.013633584,1.0,0.018023033,-0.038218148,0.22502422,4.6360316,-4.6360316,0.016535645,1.0,0.0010761606693267822,142.50969171524048,40000
4.6353903,-4.6353903,0.016278967,1.0,0.048011974,-0.021553319,0.2508201,4.6359453,-4.6359453,0.01650089,1.0,0.0010857650756835938,147.93854212760925,45000
4.6320066,-4.6320066,0.014925483,1.0,0.02169498,-0.028016629,0.22884765,4.636578,-4.636578,0.016754268,1.0,0.001085617971420288,153.36663675308228,50000
4.631549,-4.631549,0.014742573,1.0,0.023410428,-0.020492693,0.23716758,4.6355944,-4.6355944,0.01636058,1.0,0.0010998851299285888,158.86606788635254,55000
4.6298265,-4.6298265,0.014053511,1.0,0.014370281,-0.025477095,0.21223582,4.639756,-4.639756,0.018025504,1.0,0.0010873603820800782,164.3028745651245,60000
4.632142,-4.632142,0.014979869,1.0,0.0077128205,-0.048145197,0.21622357,4.6334915,-4.6334915,0.0155196665,1.0,0.0010726346969604492,169.66605305671692,65000
4.6330614,-4.6330614,0.015347595,1.0,0.022995044,-0.017896712,0.25692055,4.6328144,-4.6328144,0.015248738,1.0,0.0010679915428161622,175.0060157775879,70000
4.6303396,-4.6303396,0.014258799,1.0,0.028150989,-0.025645724,0.25807127,4.6339874,-4.6339874,0.015717996,1.0,0.001078052282333374,180.39628338813782,75000
4.6292615,-4.6292615,0.013827637,1.0,0.025907526,-0.037058376,0.2795457,4.6381865,-4.6381865,0.01739764,1.0,0.001066841459274292,185.73049569129944,80000
4.630177,-4.630177,0.014193663,1.0,0.030680194,-0.016051726,0.20352206,4.63612,-4.63612,0.016570736,1.0,0.0010801530361175538,191.13126587867737,85000
4.6296587,-4.6296587,0.013986525,1.0,0.029286744,-0.022177607,0.23932698,4.640899,-4.640899,0.0184827,1.0,0.0010912824630737305,196.5876829624176,90000
4.6270976,-4.6270976,0.012962118,1.0,0.030529378,-0.018778693,0.21056639,4.6391525,-4.6391525,0.017783968,1.0,0.0010671602725982666,201.9234893321991,95000
4.629103,-4.629103,0.013764183,1.0,0.039057747,-0.004315789,0.22967473,4.6442327,-4.6442327,0.019816173,1.0,0.001076956605911255,207.30827736854553,100000
4.631856,-4.631856,0.014865416,1.0,0.018029813,-0.016126962,0.22779652,4.6387615,-4.6387615,0.017627774,1.0,0.021705068016052247,315.8336224555969,105000
4.6271963,-4.6271963,0.013001467,1.0,0.015628112,-0.024702117,0.21011314,4.6374645,-4.6374645,0.017108714,1.0,0.0011018973350524902,321.34311389923096,110000
4.62718,-4.62718,0.012994828,1.0,0.04657223,-0.019706797,0.24577525,4.642125,-4.642125,0.018972984,1.0,0.0010821654319763184,326.7539460659027,115000
4.6283517,-4.6283517,0.013463532,1.0,0.017354732,-0.0125810215,0.19669476,4.645996,-4.645996,0.020521214,1.0,0.0011189273357391357,332.3486089706421,120000
4.626995,-4.626995,0.01292094,1.0,0.01786472,-0.05004654,0.23022038,4.642707,-4.642707,0.019205911,1.0,0.0011054893016815186,337.876060962677,125000
4.6263494,-4.6263494,0.012662815,1.0,0.037664466,-0.021825228,0.21174721,4.6514125,-4.6514125,0.022687845,1.0,0.0011223851203918456,343.4879915714264,130000
4.6284637,-4.6284637,0.013508568,1.0,0.018930854,-0.021039728,0.22762015,4.6396174,-4.6396174,0.017970076,1.0,0.0011183347702026368,349.07967138290405,135000
4.624822,-4.624822,0.012051891,1.0,0.022148523,-0.023389913,0.20345178,4.635795,-4.635795,0.016441125,1.0,0.0011071287631988526,354.6153202056885,140000
4.6267133,-4.6267133,0.012808392,1.0,0.028057717,-0.015929623,0.20417285,4.6460037,-4.6460037,0.020524407,1.0,0.001079833936691284,360.01449489593506,145000
4.6266623,-4.6266623,0.012787766,1.0,0.021537809,-0.027685476,0.23143204,4.6453996,-4.6453996,0.020282779,1.0,0.0011118527889251708,365.5737636089325,150000
4.6232195,-4.6232195,0.011410891,1.0,0.0199921,-0.017922744,0.18834801,4.6413555,-4.6413555,0.018665237,1.0,0.0010917999267578125,371.0327687263489,155000
4.627759,-4.627759,0.013226434,1.0,0.008348898,-0.033839315,0.21611539,4.6458063,-4.6458063,0.020445568,1.0,0.0010924976348876954,376.49526166915894,160000
4.6242065,-4.6242065,0.01180566,1.0,0.017209984,-0.029522974,0.21013936,4.651846,-4.651846,0.022861414,1.0,0.001093824005126953,381.9643864631653,165000
4.6233974,-4.6233974,0.011481899,1.0,0.02885024,-0.008687977,0.18447189,4.656637,-4.656637,0.024777865,1.0,0.0011080060482025146,387.5044221878052,170000
4.6247587,-4.6247587,0.012026406,1.0,0.029167997,-0.029450987,0.22340228,4.6487064,-4.6487064,0.021605453,1.0,0.0011340686798095704,393.17477083206177,175000
4.624778,-4.624778,0.012034235,1.0,0.014916087,-0.013096779,0.23918502,4.660734,-4.660734,0.026416663,1.0,0.0011065234184265136,398.70741605758667,180000
4.6245675,-4.6245675,0.011949964,1.0,0.018883254,-0.013428007,0.19120525,4.638752,-4.638752,0.017623682,1.0,0.0010862510204315186,404.1386766433716,185000
