training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.644944,-4.644944,4.644944,0.020100689,19.27805,0.9999999,-19.27805,1.0,0.49099505,0.0,-14.877448,-24.291985,0.33656484,-0.8225086,20.985779,0.93754494,-14.215841,-23.51537,0.08559531,5.6427236,-4.6427236,4.6427236,0.019212384,18.74457,0.99999994,-18.74457,1.0,0.4143952,0.0,-15.27907,-24.240326,0.98196435,-14.635454,-23.431074,0.051534906,0.025248619747161864,126.24311304092407,5000
5.648784,-4.648784,4.648784,0.02163669,25.012688,0.99999994,-25.012688,1.0,0.9697614,0.0,-20.468376,-38.85429,0.5313659,-1.2391537,35.219273,0.6843269,-19.910347,-38.361286,0.12825176,5.6458716,-4.645872,4.645872,0.020471722,25.525244,0.9999995,-25.525234,1.0,1.0554194,0.0,-20.55761,-39.05337,1.0493698,-20.025381,-38.438732,0.14343756,0.001859265422821045,135.53944540023804,10000
5.64886,-4.64886,4.64886,0.021666825,27.20514,0.99999994,-27.20514,1.0,1.0297157,0.0,-22.465542,-48.22199,1.2751673,-1.86319,37.24826,0.9240578,-21.96038,-47.78474,0.12816046,5.649186,-4.649186,4.649186,0.02179742,27.691488,0.99999994,-27.691488,1.0,0.8773606,0.0,-22.57684,-48.917953,0.8804277,-22.102499,-48.495235,0.13778001,0.0018920937061309815,144.99991869926453,15000
5.654912,-4.654916,4.654916,0.024089476,28.726662,0.9999963,-28.726555,1.0,0.8813076,0.0,-24.715305,-55.270798,0.54750454,-0.53722185,30.434923,1.1573826,-24.202827,-54.83386,0.29723608,5.647784,-4.647784,4.647784,0.021236792,28.041365,0.99999994,-28.041365,1.0,1.1741023,0.0,-24.227615,-55.82742,1.3246292,-23.737087,-55.361286,0.20039433,0.0018668036460876465,154.33394193649292,20000
5.648521,-4.648527,4.648527,0.021533886,28.686283,0.9999936,-28.6861,1.0,1.0615008,0.0,-25.409899,-59.294994,1.2307994,-1.0265868,35.43739,0.72510237,-24.937332,-58.81037,0.15585077,5.6527123,-4.652717,4.652717,0.023209957,28.466509,0.9999951,-28.46637,1.0,0.71408045,0.0,-25.017475,-60.306076,0.7303585,-24.622051,-60.163086,0.17800415,0.0018833210945129394,163.75055360794067,25000
5.6458144,-4.6458144,4.6458144,0.02044881,29.817623,1.0,-29.817623,1.0,1.0220221,0.0,-25.755062,-61.931038,2.421463,-2.416977,48.573452,0.6690713,-25.343914,-61.57559,0.14764355,5.6454782,-4.6454782,4.6454782,0.020314176,30.44596,0.99999994,-30.44596,1.0,1.0564401,0.0,-25.802122,-62.814632,0.8806288,-25.33686,-62.486893,0.18745983,0.001877413845062256,173.1376292705536,30000
5.6458597,-4.6458597,4.6458597,0.020466799,29.346302,0.99999994,-29.346302,1.0,0.80324084,0.0,-26.65835,-64.618355,1.3438143,-1.3469169,36.747078,0.6239513,-26.27113,-64.289536,0.11985107,5.651918,-4.651918,4.651918,0.022890082,30.093428,1.0,-30.093428,1.0,0.996047,0.0,-26.351772,-64.46448,1.1973385,-25.963425,-64.15176,0.17277975,0.0019132745742797851,182.70400857925415,35000
5.641989,-4.6419897,4.6419897,0.018918967,30.205257,0.99999946,-30.205242,1.0,0.6932873,0.0,-27.121971,-67.76513,0.58658344,-0.6150759,29.547787,0.843628,-26.748604,-67.457466,0.119806975,5.6481714,-4.6481714,4.6481714,0.021391734,30.264233,1.0,-30.264233,1.0,1.1225216,0.0,-26.778152,-67.13286,0.6852745,-26.291052,-66.82401,0.18117341,0.001866865873336792,192.0383424758911,40000
5.6511016,-4.6511035,4.6511035,0.022564372,29.99861,0.9999979,-29.99855,1.0,0.88406044,0.0,-28.242144,-70.598015,1.0709113,-1.2988709,41.819393,0.5069659,-27.817024,-70.28959,0.1555344,5.6506996,-4.6506996,4.6506996,0.022402784,30.766989,1.0,-30.766989,1.0,1.4120042,0.0,-27.930092,-69.3747,0.64070016,-27.448803,-69.00737,0.20661423,0.0018814908027648925,201.44580173492432,45000
5.6454268,-4.6454268,4.6454268,0.020293886,30.148388,0.9999999,-30.148388,1.0,0.7062249,0.0,-27.924625,-72.73466,0.46782932,-0.5961113,25.492405,0.5572208,-27.46985,-72.31425,0.21358559,5.6485896,-4.648592,4.648592,0.0215596,30.269543,0.99999756,-30.26947,1.0,0.77681875,0.0,-28.178791,-72.72642,0.81845343,-27.78643,-72.330956,0.16400678,0.0019156763076782226,211.0241894721985,50000
