training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
102.4411,0.09442418,-4.6575336,0.025136346,1.0,0.5564023,-1.0722545,12.488998,0.772015,-15.749655,-25.346214,0.1669878,112.47191,0.0768245,-4.6570024,0.024923997,1.0,0.60149205,-16.257309,-25.619175,0.08305827,0.024405719089508057,122.02861595153809,5000
186.26993,0.07078083,-4.658867,0.025669742,1.0,0.73115396,-3.302739,18.24623,0.7524662,-22.888962,-43.847652,0.3332885,189.99615,0.14926127,-4.6551924,0.02419999,1.0,0.87045926,-22.923386,-44.195152,0.22021371,0.0016640084743499756,130.3486659526825,10000
218.64667,0.1689288,-4.6528416,0.023259386,1.0,1.4554818,-2.0178864,23.310905,0.70746166,-25.77634,-58.607887,0.39165023,228.17622,0.13596764,-4.6528134,0.02324827,1.0,0.73483837,-25.907896,-57.95292,0.35302773,0.0016731887340545653,138.714617729187,15000
241.65427,0.16387187,-4.6526804,0.023195101,1.0,0.97838235,-2.210801,24.636717,0.8995789,-28.133911,-70.28889,0.58813417,240.22826,0.10777156,-4.6440034,0.019724345,1.0,0.627967,-27.25034,-67.6673,0.5527986,0.0016805158615112305,147.1172022819519,20000
232.3607,0.13924783,-4.64777,0.02123104,1.0,1.8633633,-1.6853428,21.12905,0.6687747,-29.254585,-74.79901,0.27829242,237.49413,0.18348393,-4.654294,0.023840463,1.0,0.6242653,-28.583878,-75.04921,0.29177213,0.0016810104370117188,155.5222601890564,25000
233.23784,0.15992194,-4.649268,0.021830184,1.0,1.1313682,-1.659903,24.18534,0.52864146,-29.539536,-78.78104,0.37523183,238.98055,0.15573622,-4.6436563,0.01958552,1.0,0.5090993,-29.731407,-78.91087,0.52362716,0.0016808827877044677,163.92668080329895,30000
237.41826,0.13809848,-4.6472797,0.02103482,1.0,1.4765807,-3.1182132,37.623966,0.6891283,-30.672173,-82.712494,0.47487906,235.54465,0.1707195,-4.6509733,0.02251246,1.0,0.58619916,-30.495277,-81.317474,0.39533284,0.001682182741165161,172.33759951591492,35000
247.5451,0.18670383,-4.6417546,0.01882485,1.0,1.861711,-1.8787813,25.684267,0.76274765,-30.66605,-84.47315,0.40431505,234.2341,0.09114755,-4.6441193,0.019770844,1.0,0.4293559,-30.875854,-86.63797,0.41041124,0.0016772646427154541,180.7239284515381,40000
239.53229,0.11326932,-4.6432776,0.019433966,1.0,1.9164591,-1.4004098,22.560291,0.61380386,-32.33796,-87.16275,0.31920126,238.67148,0.072632425,-4.6517363,0.02281759,1.0,0.45085207,-31.97847,-87.34007,0.6062437,0.001681414270401001,189.1310064792633,45000
235.60138,0.116224825,-4.6478624,0.021267975,1.0,1.078218,-1.1060668,18.00455,0.42116395,-31.536634,-89.7099,0.4634393,235.9161,0.120905176,-4.648014,0.021328518,1.0,0.87904745,-31.840092,-88.75489,0.41331813,0.0016667670726776124,197.46484756469727,50000
229.75372,0.20709032,-4.6494684,0.02191036,1.0,2.1067712,-1.9138358,28.828997,0.7134743,-33.009804,-90.16182,0.3299061,229.83177,0.16474202,-4.653202,0.023403825,1.0,0.9758033,-31.332867,-91.15918,0.44279593,0.001678009557723999,205.8549027442932,55000
228.9097,0.061013363,-4.6453657,0.020269295,1.0,1.4895772,-1.155107,28.64365,0.45677722,-30.942974,-91.19856,0.5541545,234.64223,0.085528135,-4.6587515,0.025623456,1.0,0.49117512,-32.216576,-91.71004,0.33785772,0.0016764414310455323,214.2371153831482,60000
236.31453,0.20180312,-4.6444836,0.019916376,1.0,0.48094544,-2.0289087,18.891993,0.44092324,-31.470497,-91.10127,0.3894792,234.89679,0.1398115,-4.6481442,0.021380683,1.0,0.55135626,-32.4087,-90.50299,0.6087666,0.0016815428256988525,222.644837141037,65000
240.73724,0.11854522,-4.6485796,0.021554668,1.0,1.5012,-0.8714849,20.943523,0.43019345,-33.442184,-92.33801,0.4655598,236.93872,0.06661566,-4.6493683,0.021870354,1.0,0.59876585,-33.043953,-91.174805,0.38087302,0.0016740834712982177,231.01526188850403,70000
247.9311,0.13199994,-4.6496897,0.021998985,1.0,1.1820741,-1.3300725,29.051817,0.51652074,-33.477104,-91.331604,0.54610837,252.5414,0.14260435,-4.6431065,0.019365642,1.0,0.35665962,-32.547565,-92.574,0.4647315,0.0016850346565246582,239.4404423236847,75000
232.57687,0.11840721,-4.6451607,0.020187303,1.0,1.2012916,-1.6971117,25.890505,0.46231055,-32.652786,-92.0751,0.49407026,233.8074,0.14646676,-4.648033,0.021336375,1.0,0.45208645,-32.024498,-92.210236,0.381825,0.0016795428276062012,247.83816194534302,80000
250.3831,0.19019085,-4.646431,0.020695267,1.0,0.7180943,-1.6435547,23.865541,0.6950601,-31.85119,-92.65761,0.38459662,237.39835,0.08741874,-4.653414,0.023488397,1.0,0.4706116,-32.27461,-91.75255,0.6159831,0.0016780489444732666,256.22841334342957,85000
234.6905,0.14461817,-4.6436357,0.019577397,1.0,1.394265,-1.4819119,17.070694,0.5320494,-34.062256,-93.9377,0.3739844,244.00879,0.08518359,-4.6516886,0.022798521,1.0,0.4110777,-33.400284,-93.529755,0.6117716,0.0016867169857025146,264.6620032787323,90000
251.35764,0.1304011,-4.63892,0.017690955,1.0,1.7519948,-1.8636568,50.678974,0.9103093,-32.681236,-92.73746,0.67763543,250.89108,0.120069735,-4.646664,0.0207886,1.0,0.8479237,-32.523186,-93.29103,0.63440144,0.0016723683834075928,273.0238506793976,95000
236.44666,0.06680895,-4.6499023,0.02208387,1.0,2.6675167,-0.43167526,22.53706,0.49141803,-34.012566,-93.38119,0.4008029,235.74112,0.12665445,-4.6470833,0.020956343,1.0,0.51177794,-33.022175,-93.959984,0.36508858,0.0016831773281097413,281.43974471092224,100000
241.67136,0.08806044,-4.6504107,0.022287056,1.0,1.1922756,-1.8290595,24.961243,0.4494812,-32.092045,-93.72737,0.3360616,235.89432,0.1373243,-4.646777,0.020833725,1.0,0.8867521,-33.556526,-92.93354,0.26629826,0.01614908986091614,362.185200214386,105000
236.42868,0.13094182,-4.6409974,0.018521924,1.0,1.7974101,-1.2918739,18.139843,0.9117106,-32.44393,-94.14695,0.27004626,250.95831,0.22292632,-4.6449795,0.020114643,1.0,0.46239945,-34.209103,-93.99635,0.40625292,0.0016879050254821777,370.62473320961,110000
244.49486,0.14400986,-4.6437445,0.019620683,1.0,1.7078722,-2.804001,18.560589,0.57567525,-32.523445,-94.623566,0.33342075,236.23181,0.08734867,-4.642694,0.019200433,1.0,0.38198248,-34.47409,-93.75156,0.68321157,0.0016767463207244873,379.0084707736969,115000
232.43942,0.07462201,-4.645541,0.020339478,1.0,0.5516592,-0.8968766,15.980478,0.47030485,-34.00071,-94.98245,0.40852755,242.56255,0.04543422,-4.6541142,0.023768598,1.0,0.46337497,-32.70664,-94.801926,0.5870117,0.0016805920124053956,387.411438703537,120000
246.56998,0.13537082,-4.64886,0.021666883,1.0,0.9661719,-0.9549643,24.23303,0.32467082,-34.37874,-93.922485,0.4419353,245.62918,0.17796847,-4.6476507,0.021183325,1.0,0.45213634,-33.232803,-94.5076,0.232572,0.0016813392639160156,395.81814074516296,125000
252.69647,0.20833199,-4.6432586,0.019426377,1.0,3.5912807,-4.3008003,86.70311,0.36972195,-32.56536,-94.3253,0.81908464,238.79414,0.1101076,-4.654347,0.023861842,1.0,0.418841,-32.80689,-95.54541,0.54295003,0.0016732905387878418,404.1845998764038,130000
253.46951,0.19404247,-4.6422076,0.01900597,1.0,0.8160053,-1.2410637,21.112383,0.31303027,-31.94059,-94.87758,0.31302297,239.20511,0.12931532,-4.653921,0.02369137,1.0,0.40099353,-32.66098,-94.235115,0.39221483,0.0016779282093048096,412.5742483139038,135000
238.02261,0.17280984,-4.6410093,0.018526716,1.0,0.5629951,-1.495472,18.445639,0.29365754,-34.341644,-93.93915,0.35257095,242.37268,0.12643698,-4.644371,0.019871462,1.0,0.34735328,-32.684525,-94.76936,0.4301122,0.0016927852630615233,421.038179397583,140000
242.4808,0.15107031,-4.6424365,0.019097513,1.0,0.8906536,-1.0887207,26.468822,0.34946653,-32.6734,-95.60623,0.44104385,229.12689,0.075157404,-4.648525,0.021533147,1.0,0.38795468,-32.27167,-94.60515,0.6448681,0.001665324115753174,429.3648052215576,145000
243.367,0.21493107,-4.6439795,0.019714799,1.0,1.9776115,-1.1637418,22.707867,0.53788364,-33.53842,-95.2383,0.35105482,233.73038,0.10582651,-4.658609,0.025566617,1.0,0.6777233,-33.853268,-93.909294,0.46680996,0.0016764256954193116,437.74694085121155,150000
243.18762,0.17415845,-4.6391997,0.017802808,1.0,1.2853439,-0.7217159,24.651268,0.59918374,-34.232063,-94.861984,0.4461887,245.71832,0.24777667,-4.6388397,0.01765883,1.0,0.43003923,-32.69268,-93.55639,0.24481672,0.0016817017078399658,446.1554548740387,155000
241.40393,0.13790727,-4.6454077,0.020286007,1.0,0.995614,-1.8429755,20.7366,0.37995115,-34.611378,-94.79968,0.45151728,251.66425,0.15830192,-4.645598,0.020362217,1.0,0.56531787,-32.773514,-95.21736,0.29811096,0.0016816916942596436,454.56391978263855,160000
242.0915,0.16383988,-4.643421,0.019491302,1.0,1.4979011,-1.4631126,18.369638,0.41793984,-32.657223,-94.73811,0.40408534,242.04932,0.12489538,-4.650047,0.022141654,1.0,0.3691231,-33.91232,-95.29347,0.57788163,0.0016795010089874268,462.9614315032959,165000
240.4242,0.15982662,-4.6401315,0.01817543,1.0,0.6557611,-1.2172648,18.130136,0.4748778,-34.21589,-93.70771,0.3735687,237.71584,0.10435867,-4.654159,0.02378665,1.0,0.49077308,-33.51677,-94.815636,0.3875441,0.0016861394405364991,471.39213490486145,170000
249.55652,0.20590973,-4.6387887,0.017638385,1.0,1.1074796,-1.6538718,26.79126,0.5000965,-30.883461,-94.96983,0.47642672,243.064,0.09334093,-4.6461926,0.020599961,1.0,0.500402,-33.155193,-95.40837,0.3429882,0.0016783247947692872,479.7837653160095,175000
248.9709,0.17222306,-4.6451263,0.020173585,1.0,1.2332752,-0.92814195,20.421019,0.4719852,-35.35285,-95.94722,0.31330535,248.62946,0.07727161,-4.6543226,0.023852002,1.0,0.5219182,-35.403854,-95.54738,0.36742932,0.0016767137527465821,488.16733980178833,180000
227.3583,0.027110463,-4.6422806,0.019035315,1.0,1.6008545,-1.3281761,22.225103,0.7601361,-34.055737,-94.99159,0.37597507,246.53676,0.16479099,-4.6463614,0.020667607,1.0,0.62797636,-33.876938,-95.557816,0.36906427,0.0016889788627624512,496.6122398376465,185000
244.12439,0.1599358,-4.6363573,0.016665913,1.0,1.1840363,-0.98803467,15.136031,0.37635332,-31.859589,-93.93384,0.23594818,246.56985,0.2240123,-4.645183,0.020196183,1.0,0.53472084,-34.805557,-95.34967,0.33053333,0.001667171859741211,504.94810605049133,190000
240.3342,0.13591811,-4.645168,0.020190006,1.0,0.9489894,-1.8333032,18.648685,0.43924648,-33.381145,-94.46711,0.5010817,244.31282,0.14504918,-4.657078,0.02495404,1.0,0.4713515,-34.941196,-94.53164,0.55678916,0.0016716637134552002,513.3064308166504,195000
245.0741,0.19323105,-4.642044,0.018940628,1.0,1.203142,-0.9613717,21.582104,0.46037292,-33.73807,-94.370865,0.4438634,244.63318,0.09628208,-4.6432934,0.019440247,1.0,0.48096412,-34.22056,-95.49699,0.4158749,0.0016773609161376954,521.6932415962219,200000
252.47626,0.1476396,-4.640565,0.018349025,1.0,0.7933983,-1.0291965,20.764849,0.6791444,-32.65491,-94.7278,0.42347294,242.96686,0.14399141,-4.6427755,0.019233378,1.0,0.5752574,-34.054848,-93.6824,0.53114,0.017732808542251587,610.3572924137115,205000
238.87134,0.22542675,-4.6412244,0.018612603,1.0,1.4360827,-1.2774761,33.132034,0.4446862,-34.316544,-94.43086,0.5015645,237.17627,0.120569244,-4.6544924,0.02391996,1.0,0.31795946,-33.553642,-95.07872,0.4173808,0.001667621088027954,618.6954052448273,210000
247.6406,0.17474264,-4.6361985,0.016602451,1.0,1.0502789,-2.613763,20.771643,0.7644905,-32.678165,-94.457825,0.3779074,247.02022,0.1372639,-4.6531906,0.023399184,1.0,0.46685648,-34.128418,-94.68425,0.26841187,0.0016843230724334717,627.1170256137848,215000
249.29712,0.18500449,-4.633652,0.015583816,1.0,1.4962507,-0.91800725,19.287237,0.45806634,-32.566532,-93.690315,0.4883047,243.76306,0.19368288,-4.6460323,0.02053594,1.0,0.620076,-32.00401,-95.30043,0.42351457,0.0016736027240753174,635.4850461483002,220000
233.1945,0.14858797,-4.6360555,0.016545108,1.0,0.86851996,-2.3323853,33.053417,0.37991416,-33.671722,-96.33777,0.4627099,246.82254,0.13448584,-4.6501775,0.022193847,1.0,0.3897078,-33.100903,-93.31227,0.34435734,0.0016910332202911378,643.9402186870575,225000
235.69104,0.1209073,-4.646281,0.020635175,1.0,1.0414813,-0.6894076,17.586807,0.33108646,-34.5337,-94.69978,0.37589848,253.39465,0.20152839,-4.6485167,0.02152951,1.0,0.25469497,-33.03986,-95.30867,0.5825167,0.0016897945880889893,652.3891971111298,230000
253.06523,0.21313031,-4.6385303,0.017535035,1.0,0.84849703,-0.8628458,20.765032,0.35418797,-33.54747,-93.77365,0.5782842,253.62296,0.15875751,-4.651314,0.022648588,1.0,0.30319783,-36.041336,-94.50212,0.39293885,0.001698740291595459,660.8829054832458,235000
233.22675,0.17687628,-4.6386633,0.017588396,1.0,0.446193,-2.100631,23.297543,0.56449026,-35.37358,-93.6597,0.3268257,237.2079,0.10857937,-4.6536455,0.023581093,1.0,0.42023098,-33.124157,-94.245224,0.25715655,0.0016788415908813477,669.2771196365356,240000
250.90128,0.17072244,-4.640153,0.018184092,1.0,0.6775402,-0.9950056,20.134583,0.7845821,-34.56021,-95.93196,0.4930648,244.63998,0.15197363,-4.657804,0.025244502,1.0,0.45176685,-34.05635,-93.14199,0.57224727,0.0016659639835357666,677.6069450378418,245000
255.3393,0.21262184,-4.636348,0.016662193,1.0,0.86534476,-1.3351884,33.909325,0.46989965,-33.630424,-94.305405,0.85722494,250.70728,0.19380306,-4.651184,0.022596551,1.0,0.31969124,-34.93685,-94.721436,0.45137888,0.00167428035736084,685.9783539772034,250000
242.95538,0.15937811,-4.6381063,0.017365603,1.0,0.6182267,-1.25148,16.790577,0.5987641,-34.214405,-93.54711,0.3037772,246.33875,0.19799346,-4.6451416,0.020179478,1.0,0.6391444,-34.27295,-92.69511,0.38535476,0.001681298065185547,694.3848502635956,255000
247.80658,0.122997195,-4.6380644,0.017348664,1.0,1.7835609,-1.0935138,15.458683,0.72305995,-33.657486,-92.600494,0.37125033,229.78284,0.043956514,-4.64069,0.018398836,1.0,0.44366688,-34.136543,-92.18268,0.5185105,0.0016730782508850098,702.7502479553223,260000
240.4032,0.13095924,-4.636139,0.016578546,1.0,1.1575973,-1.0543817,28.222977,0.56393117,-33.85813,-93.62547,0.59713376,251.79224,0.13188858,-4.6590595,0.025746752,1.0,0.38654244,-32.96962,-93.64023,0.5080216,0.0016815662860870362,711.158087015152,265000
238.7373,0.18830463,-4.6396194,0.017970761,1.0,0.99150914,-1.9268203,19.13041,0.77736276,-33.641582,-93.45215,0.29021972,242.31589,0.16888723,-4.652663,0.02318813,1.0,0.48381126,-33.657158,-93.946945,0.6282121,0.0016759517192840576,719.5378520488739,270000
234.68967,0.09612861,-4.642229,0.01901474,1.0,1.2812095,-1.0752945,17.209797,1.0185804,-33.46787,-93.60358,0.30207324,249.82915,0.15726823,-4.643523,0.019532194,1.0,0.36212382,-34.47235,-94.980095,0.48440975,0.0016779140949249268,727.9274299144745,275000
242.54617,0.07619424,-4.637373,0.017072085,1.0,0.91591316,-1.1693765,18.644333,0.6990695,-33.560825,-93.27513,0.50457203,231.55534,0.11261016,-4.6499305,0.02209518,1.0,0.5430617,-33.94326,-94.44226,0.37205836,0.0016799148082733155,736.3270099163055,280000
247.11511,0.1829803,-4.637941,0.017299233,1.0,2.1430578,-0.84254205,20.61486,0.26802275,-34.852215,-93.624725,0.33094144,239.54007,0.13089389,-4.652067,0.02294973,1.0,0.45308745,-35.26124,-94.035416,0.73024774,0.0016864874362945556,744.7594532966614,285000
243.46046,0.16419455,-4.632987,0.015317827,1.0,1.2202624,-1.0960824,20.257488,0.54232436,-34.657524,-92.94838,0.44520918,240.48447,0.1932015,-4.654254,0.023824427,1.0,0.5908272,-34.713997,-94.245056,0.3659392,0.0016773274898529054,753.146096944809,290000
259.23346,0.30574274,-4.632765,0.015228922,1.0,1.545099,-0.41124392,18.519207,0.46848184,-35.361164,-93.876495,0.28754163,246.50113,0.17165543,-4.6477737,0.021232482,1.0,0.3326914,-36.15638,-93.484116,0.50655395,0.0016762661933898927,761.5274341106415,295000
245.49466,0.19243293,-4.6397195,0.018010646,1.0,0.7505166,-1.5401756,20.971416,0.61978555,-32.472214,-93.62508,0.2924698,253.18784,0.1645749,-4.650425,0.022292962,1.0,0.32394972,-34.94287,-92.62569,0.38795072,0.0017225799083709717,770.1403388977051,300000
243.94893,0.11559517,-4.6314797,0.014714851,1.0,1.862922,-0.94924915,15.865768,0.46016666,-33.681007,-93.81829,0.30090922,254.3556,0.12574257,-4.6465163,0.020729493,1.0,0.29243162,-34.8543,-93.611404,0.4956238,0.018940112447738647,864.8409087657928,305000
248.8729,0.08169923,-4.6341476,0.015781935,1.0,5.061274,-4.623805,52.195194,0.7861199,-34.185566,-95.024414,0.5184464,230.31683,0.13834941,-4.6528788,0.023274655,1.0,0.62917197,-31.849586,-94.41318,0.41286546,0.0016723772048950196,873.2028019428253,310000
248.91928,0.21121266,-4.634613,0.015968213,1.0,1.6723969,-0.8268139,16.14063,0.4466088,-36.386745,-94.435425,0.25879115,238.094,0.16705444,-4.650292,0.022239832,1.0,0.4058489,-33.31094,-95.68149,0.47785822,0.0016541508674621582,881.4735643863678,315000
246.00453,0.12537934,-4.6307516,0.0144237345,1.0,0.7973925,-2.1960213,21.09977,0.43213505,-33.872295,-93.16157,0.54991615,239.90596,0.12595522,-4.6515894,0.022758784,1.0,0.45113888,-33.03682,-93.98677,0.40224332,0.0016951585292816161,889.9493625164032,320000
245.19629,0.17013341,-4.635864,0.016468571,1.0,1.0618709,-1.3615798,23.648388,0.3753876,-34.838135,-93.91325,0.4950841,244.37976,0.13188581,-4.6397934,0.018040353,1.0,0.7415276,-33.657913,-94.14435,0.38850072,0.0016731009006500245,898.3148725032806,325000
234.08322,0.095983446,-4.636263,0.016628265,1.0,1.2601987,-0.7527425,21.169071,0.49536318,-33.418365,-93.85653,0.5423769,242.23605,0.06518953,-4.6477537,0.021224355,1.0,0.49288237,-33.626682,-93.13488,0.35473165,0.0016800934314727784,906.7153475284576,330000
251.58139,0.19835408,-4.634793,0.016040144,1.0,0.8875176,-1.3223829,19.527454,0.606216,-34.231346,-94.00975,0.32390583,244.28287,0.13068303,-4.6533403,0.02345911,1.0,0.57784575,-36.10662,-92.079315,0.43202713,0.00167503604888916,915.0905339717865,335000
246.10992,0.13510111,-4.6332755,0.01543316,1.0,0.6333525,-1.1008596,17.923382,0.4042843,-35.259594,-94.08198,0.3731115,251.47328,0.19430727,-4.6405797,0.018354831,1.0,0.80070114,-32.953796,-92.06204,0.26211452,0.0016756197452545167,923.4686379432678,340000
247.38155,0.14242092,-4.634051,0.015743384,1.0,1.1148522,-1.9532938,21.94516,0.24616386,-33.99961,-95.22099,0.49833182,249.78952,0.16262154,-4.6439285,0.019694362,1.0,0.5870129,-33.72,-92.75793,0.35079753,0.0016879448890686035,931.9083697795868,345000
237.57158,0.09216346,-4.636339,0.016658438,1.0,0.8519765,-0.5668831,19.142609,0.5306683,-33.270004,-93.54232,0.42450553,237.47852,0.11959176,-4.649982,0.022115663,1.0,0.5613018,-33.553757,-93.71376,0.5359199,0.0016656878471374512,940.2368144989014,350000
