training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.925935,-1.7798152,56.881092,319.34174,1.0931543,-9.99621,0.16136505,1.0,103.59458,0.72800815,-4.6546774,0.023993963,1.0,0.2602982,-16.262142,-25.91047,0.43030345,308.10785,0.7690731,-10.028101,0.16774304,1.0,108.89601,0.7473601,-4.6558304,0.024455205,1.0,0.23919204,-16.78714,-25.812677,0.6316845,0.02702495160102844,135.12477707862854,5000
7.030128,-12.608735,242.2774,525.6164,1.368751,-9.936843,0.14949158,1.0,111.26264,0.8171358,-4.651326,0.022653297,1.0,0.22977757,-25.298187,-43.412243,1.3100555,508.6797,1.3408043,-9.893781,0.14087914,1.0,119.22695,0.83945227,-4.6434784,0.019514397,1.0,0.12790975,-25.448895,-43.2928,0.9009638,0.0023325138568878172,146.78735280036926,10000
2.3486686,-4.0854783,144.95265,627.82776,2.0040164,-9.740459,0.11021491,1.0,119.71361,0.90623635,-4.6438274,0.01965393,1.0,0.21676937,-31.265865,-56.758736,1.098878,595.9259,1.3500648,-9.841141,0.13035117,1.0,119.62122,0.82945055,-4.6426888,0.019198393,1.0,0.2844629,-30.460304,-56.76188,1.0810816,0.0023265095233917237,158.41990494728088,15000
4.1395693,-7.3465495,152.54543,648.9143,1.9775541,-9.775381,0.117199115,1.0,118.722336,0.8527653,-4.646372,0.020671692,1.0,0.13434385,-34.05233,-67.342606,1.7529576,659.4335,1.4992514,-9.806583,0.123439565,1.0,114.192,0.8067163,-4.654322,0.023851795,1.0,0.1967178,-34.13952,-67.43906,1.8231148,0.0023223442554473877,170.03163194656372,20000
6.8809986,-6.9735594,268.16986,655.94763,1.9547787,-9.6991,0.10194284,1.0,114.91019,0.91102827,-4.6446056,0.019965097,1.0,0.3225632,-36.21199,-75.35216,1.2329216,656.52295,1.542036,-9.724695,0.107061915,1.0,124.7748,0.980963,-4.637045,0.016940715,1.0,0.25189182,-36.12166,-75.34648,1.8397725,0.0023240878582000734,181.65207743644714,25000
9.829678,-6.3864837,405.15207,683.6579,2.1445217,-9.747772,0.11167731,1.0,122.407936,0.96113944,-4.6358004,0.016443266,1.0,0.31768626,-38.681545,-81.64636,4.126104,669.6159,1.9559124,-9.792744,0.12067165,1.0,120.85039,0.9947143,-4.638485,0.01751702,1.0,0.37575865,-36.91995,-81.66061,2.1723669,0.0023264386653900145,193.28427600860596,30000
4.7214117,-2.1779587,107.94181,671.50903,1.7584841,-9.63269,0.08866107,1.0,106.77881,0.82864416,-4.635651,0.01638346,1.0,0.1829427,-38.165176,-86.68502,1.5685823,698.10004,2.2437563,-9.622132,0.086549394,1.0,112.33142,0.849563,-4.640789,0.018438442,1.0,0.14448628,-37.338074,-86.56929,2.095252,0.0023210022926330566,204.88929390907288,35000
3.5395393,-4.5050607,141.19368,649.1407,1.4218664,-9.66271,0.094664924,1.0,109.22438,0.738008,-4.6447387,0.020018453,1.0,0.13576333,-39.13758,-90.23572,1.5644011,685.97644,1.6635166,-9.695122,0.10114725,1.0,115.614944,0.8734377,-4.6388454,0.01766113,1.0,0.11917028,-38.976307,-90.298546,1.9505228,0.002326331090927124,216.52095484733582,40000
8.556525,-6.251095,184.94592,656.52856,1.5492233,-9.680412,0.098205246,1.0,103.840164,0.84843683,-4.635379,0.016274547,1.0,0.2368218,-40.656242,-93.17357,1.7662094,666.72644,1.6293743,-9.701221,0.10236734,1.0,106.64529,0.8088752,-4.631942,0.014899664,1.0,0.3643954,-40.239853,-93.13725,1.4853363,0.002321375608444214,228.1278395652771,45000
3.5860715,-3.403678,141.94147,662.9777,1.7355918,-9.608383,0.08379964,1.0,115.500626,0.9176575,-4.639415,0.017888976,1.0,0.13816448,-39.745857,-95.43788,1.7738831,663.338,1.9039595,-9.629979,0.088118844,1.0,115.90369,0.8610198,-4.6444545,0.019904708,1.0,0.22860734,-41.237404,-95.389175,1.6791848,0.002324237060546875,239.7490315437317,50000
