training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
2.3919835,-4.639945,1.3919835,0.01810093,117.52716,0.99999994,-117.52716,1.0,2.3729153,11.232974,-37.546524,352.18024,86.97652,1064.1108,649.5829,6.108883,5.533889,18.615923,2.356989,0.014189046,6.846697,-37.546524,87.31885,124.86537,2.3912034,-4.6373444,1.3912034,0.017060744,110.84095,0.99999994,-110.84095,1.0,2.4812036,89.57267,1061.8436,637.6019,10.119599,8.327445,27.883884,2.4365017,0.018050421,6.848515,-56.688206,89.9151,146.6033,0.031054233694076536,155.27118301391602,5000
2.3909683,-4.6365604,1.3909683,0.016747301,74.436325,1.0,-74.436325,1.0,1.5229745,30.635807,-46.07108,799.3626,116.64678,1109.1355,558.98505,3.4424407,1.7998824,14.822194,1.5073402,0.0,26.3281,-46.07108,117.963196,164.03427,2.3907053,-4.6356845,1.3907053,0.016396657,80.16233,1.0,-80.16233,1.0,1.5756629,123.58432,1113.983,551.2118,1.6718575,3.688465,40.054363,1.5578177,0.024507843,26.336262,-95.82357,124.90113,220.7247,0.003743152141571045,173.98694944381714,10000
2.3907113,-4.6357045,1.3907113,0.01640473,51.973297,1.0,-51.973297,1.0,1.0568774,32.613182,-34.025543,813.1067,207.34032,1019.4115,355.73883,4.441869,0.380014,6.3069105,1.0488298,0.029029306,90.574486,-29.890848,211.86903,241.75989,2.3906517,-4.6355057,1.3906517,0.016325127,50.108265,1.0,-50.108265,1.0,1.0858767,198.25021,998.39764,372.18927,0.24489254,0.52414846,8.1539755,1.0925683,0.008392322,90.59648,-42.95618,202.78004,245.73622,0.003742509365081787,192.69950366020203,15000
2.3926396,-4.642132,1.3926395,0.018975522,37.23088,1.0,-37.23088,1.0,0.8051592,35.799007,-43.671577,955.3224,257.3148,808.8413,272.0669,1.7299407,0.1990501,8.511578,0.8306865,0.0006804117,261.74017,-39.012398,270.4018,309.41418,2.3897166,-4.632388,1.3897165,0.015078214,34.458595,1.0,-34.458595,1.0,0.81419957,252.70848,816.94666,279.03845,0.44169855,0.2770125,11.722473,0.8177501,0.0,261.78024,-59.427387,265.7975,325.22488,0.003740674066543579,211.40288066864014,20000
2.391014,-4.636713,1.3910141,0.01680829,26.10401,0.99999994,-26.10401,1.0,0.6507423,22.419622,-28.174477,763.8843,302.89615,692.3208,210.60846,1.2946377,0.054711834,4.0364213,0.6889079,0.0030527343,550.99756,-2.5962083,330.446,333.04224,2.392083,-4.640277,1.392083,0.018233666,27.12133,0.9999999,-27.12133,1.0,0.708506,307.57495,682.92676,204.8634,2.421393,0.13241665,7.9606905,0.6980361,0.0019004691,551.0551,-45.41612,335.12772,380.54382,0.003741951274871826,230.11264991760254,25000
2.3905494,-4.6351647,1.3905494,0.016188884,28.179768,1.0,-28.179768,1.0,0.5371262,50.81238,-34.991936,1322.7976,303.3791,656.5277,208.79068,1.0182822,0.053325675,3.3543947,0.6747572,0.00035470605,757.49097,-2.5191686,341.25363,343.7728,2.3903928,-4.634643,1.390393,0.015980208,27.244478,0.9999999,-27.244478,1.0,0.6278579,303.8366,668.91327,209.18906,1.3879639,0.09367339,4.610281,0.6952448,0.0,757.48944,-33.082134,341.7111,374.7932,0.003741600751876831,248.8206593990326,30000
2.3920994,-4.6403313,1.3920994,0.018255366,25.233948,0.9999999,-25.233948,1.0,0.46083587,48.7443,-54.880535,1415.218,323.60175,567.6018,185.46335,0.22894636,0.044124372,3.784605,0.6463846,0.0025437633,814.2847,4.7844343,364.31598,359.53156,2.3934553,-4.6448517,1.3934554,0.020063482,26.002485,0.99999994,-26.002485,1.0,0.46170473,317.306,569.17737,191.86584,2.4496925,0.05281693,3.7168143,0.678842,0.0030188088,814.2498,-2.293685,358.0185,360.31216,0.003739437437057495,267.5178532600403,35000
2.3897982,-4.6326604,1.3897982,0.015187159,28.866415,0.99999994,-28.866415,1.0,0.52391446,32.372887,-29.482372,703.42035,296.88605,667.8677,216.53177,0.47003672,0.03396678,2.649627,0.6812041,0.0,802.63916,12.868891,337.018,324.1491,2.3915725,-4.6385756,1.3915727,0.017553214,27.449589,0.9999999,-27.449589,1.0,0.5296236,298.7102,627.9545,215.28433,3.450751,0.09004158,5.7033396,0.7019526,0.0,802.63806,-32.138893,338.84213,370.98102,0.0037406446933746338,286.22108149528503,40000
2.392602,-4.642007,1.392602,0.018925631,27.665567,0.9999999,-27.665567,1.0,0.43765515,34.33066,-40.291275,903.33655,300.8542,720.73926,213.43832,4.433956,0.04432475,3.5529008,0.66410077,0.0,808.7416,4.5898128,341.29126,336.70145,2.3936858,-4.645619,1.3936858,0.020370645,27.519787,0.9999999,-27.519787,1.0,0.43725127,294.47473,675.50366,221.0779,0.5382488,0.064005636,3.4915586,0.7181779,0.0,808.7134,-11.326545,334.9104,346.23694,0.0037397391319274904,304.91978430747986,45000
2.3925745,-4.6419153,1.3925747,0.018889174,27.35622,0.9999999,-27.35622,1.0,0.39161712,100.55602,-115.41665,1529.076,295.36182,626.5131,219.11386,1.3046675,0.043934915,4.268827,0.66638863,0.0,813.82666,4.9359283,336.05316,331.11722,2.3935637,-4.645213,1.3935639,0.020208104,27.353539,0.9999999,-27.353539,1.0,0.45335308,298.89682,624.69586,215.40277,0.13037136,0.20734653,11.181205,0.7039161,0.0,813.80145,-128.04884,339.5869,467.63574,0.0037405660152435303,323.6226215362549,50000
