training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.0501966,-20.501965,2.0501966,0.1146911,7.1143684,0.9999999,-7.1143684,1.0,0.99902344,0.040039062,0.006426387,-8.749979,-8.75305,-5.6085777,0.6730297,0.013240655,5.302889e-06,0.008271145,-0.008591268,0.39675626,3.052065,-20.520647,2.052065,0.11647034,7.115171,0.9999999,-7.115171,1.0,0.99901867,0.03515625,0.006472189,-8.894978,-8.898251,-5.5472426,1.0355222,0.010330139,5.2208e-06,0.08186673321723938,409.3336832523346,5000
3.0342886,-20.35047,2.035047,0.100262925,6.5651646,0.9992416,-6.5601864,1.0,0.9990244,0.111328125,0.0058497586,-9.158221,-9.16231,-4.9762897,1.8427577,0.04366891,5.130466e-06,0.008194124,-0.007601767,0.374415,3.04282,-20.431099,2.04311,0.10794199,6.8703995,0.9997102,-6.8684096,1.0,0.9990139,0.0703125,0.006153877,-9.122522,-9.126336,-5.2195673,3.4668853,0.030482404,6.9296044e-07,0.0020890830516815187,419.77910351753235,10000
3.0303285,-20.320667,2.0320666,0.09742448,6.7973375,0.998262,-6.7855244,1.0,0.9990282,0.15234375,0.0055869473,-9.381133,-9.385657,-4.75299,4.9054103,0.060163647,2.8853808e-06,0.008705389,-0.008589147,0.37538305,3.034975,-20.35328,2.035328,0.10053053,6.8676815,0.999647,-6.865258,1.0,0.9990158,0.09863281,0.0059879343,-9.328833,-9.332934,-5.1319895,3.4005,0.03385568,5.9597284e-07,0.002106850814819336,430.31336283683777,15000
3.0250037,-20.280798,2.02808,0.09362756,6.470552,0.99692374,-6.4506483,1.0,0.99902916,0.18261719,0.0054220306,-9.424299,-9.42907,-4.543097,6.095073,0.080188975,2.531106e-06,0.007763113,-0.010322697,0.36504674,3.033068,-20.34143,2.034143,0.09940209,7.0036135,0.998925,-6.996085,1.0,0.99901676,0.12011719,0.0058270073,-9.313063,-9.317422,-4.8532305,4.725745,0.054013416,3.2866637e-07,0.002086372518539429,440.7452304363251,20000
3.0198662,-20.251637,2.0251637,0.09085011,6.5683393,0.99470264,-6.5335455,1.0,0.999033,0.18554688,0.0053611314,-9.518774,-9.523722,-4.4561787,9.766173,0.12928277,6.4289184e-06,0.0110036535,-0.007674826,0.36289483,3.0278723,-20.291065,2.0291066,0.09460525,6.9463167,0.99876565,-6.9377437,1.0,0.9989691,0.1328125,0.0059145037,-9.521088,-9.525629,-4.874997,40.069336,0.10045172,1.1295446e-06,0.0020908950328826902,451.1997106075287,25000
3.0159369,-20.233055,2.0233054,0.08908042,6.5214005,0.99263144,-6.4733477,1.0,0.9990387,0.21972656,0.005133186,-9.720652,-9.726046,-4.202039,20.683533,0.18382442,1.7573673e-06,0.008635881,-0.012325503,0.34387848,3.0268705,-20.29606,2.0296059,0.09508104,7.0296726,0.99726456,-7.0104446,1.0,0.998971,0.15332031,0.0059241056,-9.56231,-9.566997,-4.769783,45.379757,0.16575378,8.8516276e-07,0.0020997695922851563,461.69856429100037,30000
3.0174537,-20.204382,2.0204382,0.086349785,6.547327,0.99701554,-6.527787,1.0,0.9990454,0.22363281,0.005094057,-9.764671,-9.770102,-4.209808,33.606674,0.20577383,2.0112761e-06,0.0114113595,-0.011000137,0.3685691,3.0250955,-20.280571,2.028057,0.09360588,6.8953047,0.99703836,-6.874884,1.0,0.9989815,0.15917969,0.005864798,-9.62916,-9.633838,-4.8432093,38.10226,0.13731335,1.3133008e-06,0.002085215425491333,472.1246461868286,35000
3.0148816,-20.208855,2.0208852,0.08677568,6.471696,0.9939965,-6.432844,1.0,0.9990406,0.23339844,0.0050412104,-9.812072,-9.817694,-4.060684,104.529305,0.32631648,1.3351914e-06,0.018867925,-0.011614389,0.34593093,3.024011,-20.26261,2.0262609,0.091895215,7.0633764,0.99775004,-7.047485,1.0,0.9989662,0.15039062,0.00592793,-9.634784,-9.639499,-4.8115315,23.336084,0.13236502,1.2757264e-06,0.0020867429733276367,482.55836606025696,40000
3.0152392,-20.208752,2.020875,0.08676585,6.5171914,0.99436426,-6.480463,1.0,0.99904156,0.234375,0.0049728155,-9.892954,-9.898741,-3.972344,26.235418,0.23291911,2.676118e-06,0.009928441,-0.009967564,0.35373297,3.025035,-20.271765,2.0271766,0.09276724,6.9380856,0.9978583,-6.9232273,1.0,0.9990034,0.15527344,0.0058489847,-9.697018,-9.701797,-4.808503,147.87376,0.20740291,1.1311939e-06,0.0020998629093170167,493.05768632888794,45000
3.0125194,-20.183022,2.0183024,0.08431555,6.426399,0.9942169,-6.3892355,1.0,0.999053,0.27246094,0.0048374124,-10.134372,-10.140496,-3.8684225,41.52607,0.27113944,1.6121328e-06,0.011494339,-0.013246277,0.3611246,3.0215101,-20.244846,2.0244846,0.09020348,6.952427,0.9970255,-6.9317474,1.0,0.9989557,0.16601562,0.005776926,-9.793095,-9.798167,-4.6038313,96.130226,0.24149242,5.906834e-07,0.002086351299285889,503.4894497394562,50000
