training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
20.45785,-20.45785,0.110489644,1.0,0.08637115,-0.09641534,3.8783534,20.48016,-20.48016,0.112614386,1.0,0.0719380220413208,359.69012475013733,5000
20.274803,-20.274803,0.09305676,1.0,0.061483696,-0.107313916,3.286877,20.349567,-20.349567,0.10017694,1.0,0.0011653660774230956,365.5169599056244,10000
20.234108,-20.234108,0.0891808,1.0,0.07600295,-0.0755641,3.099852,20.276989,-20.276989,0.09326479,1.0,0.0011584467887878417,371.30919885635376,15000
20.199705,-20.199705,0.08590453,1.0,0.05930821,-0.073380776,3.1974149,20.222198,-20.222198,0.088046595,1.0,0.0011900701522827148,377.2595543861389,20000
20.160275,-20.160275,0.08214916,1.0,0.07586785,-0.0720566,2.9286609,20.202606,-20.202606,0.08618069,1.0,0.0011603663921356201,383.0613913536072,25000
20.135895,-20.135895,0.07982713,1.0,0.079101704,-0.067589,2.9178016,20.181236,-20.181236,0.08414544,1.0,0.0011823208332061767,388.9730005264282,30000
20.117683,-20.117683,0.07809276,1.0,0.10457378,-0.09575711,3.0024652,20.184326,-20.184326,0.08443972,1.0,0.0011806809902191163,394.8764100074768,35000
20.109985,-20.109985,0.07735957,1.0,0.06669702,-0.06801089,2.866343,20.163836,-20.163836,0.08248835,1.0,0.0011655070304870604,400.70395016670227,40000
20.110476,-20.110476,0.0774064,1.0,0.10659031,-0.087216236,2.8653638,20.183704,-20.183704,0.084380455,1.0,0.0011901217937469483,406.6545639038086,45000
20.097588,-20.097588,0.076179095,1.0,0.11771183,-0.07226082,2.870479,20.126148,-20.126148,0.0788991,1.0,0.0011642244815826415,412.4756910800934,50000
20.083193,-20.083193,0.074808076,1.0,0.077221446,-0.0891228,2.802619,20.148674,-20.148674,0.08104443,1.0,0.0011750551223754884,418.35097193717957,55000
20.100044,-20.100044,0.0764129,1.0,0.08633783,-0.096249305,2.88022,20.140812,-20.140812,0.08029557,1.0,0.0011762420654296876,424.23218750953674,60000
20.093338,-20.093338,0.07577409,1.0,0.11310726,-0.08623858,3.0186982,20.126007,-20.126007,0.0788856,1.0,0.0011608155727386475,430.03627038002014,65000
20.075796,-20.075796,0.07410359,1.0,0.09939443,-0.0707655,2.794191,20.11294,-20.11294,0.07764098,1.0,0.0011810762405395508,435.94165682792664,70000
20.078033,-20.078033,0.074316755,1.0,0.06339477,-0.065321736,2.7346268,20.16053,-20.16053,0.08217348,1.0,0.0011865922451019288,441.87462306022644,75000
20.08508,-20.08508,0.074987605,1.0,0.090963416,-0.07369725,2.8570583,20.13521,-20.13521,0.079762064,1.0,0.0011646910190582275,447.6980834007263,80000
20.054644,-20.054644,0.07208911,1.0,0.07520517,-0.07969574,2.7887864,20.118584,-20.118584,0.07817859,1.0,0.0011746026039123536,453.57110142707825,85000
20.078259,-20.078259,0.07433816,1.0,0.07962182,-0.08879359,2.8454127,20.112217,-20.112217,0.07757224,1.0,0.0011690516471862793,459.4163644313812,90000
20.063944,-20.063944,0.072974704,1.0,0.09435566,-0.08055252,2.800116,20.100498,-20.100498,0.07645623,1.0,0.0011914137840270996,465.3734383583069,95000
20.057167,-20.057167,0.07232943,1.0,0.078203775,-0.08865786,2.812413,20.10722,-20.10722,0.07709636,1.0,0.0011780857563018798,471.26387190818787,100000
20.029865,-20.029865,0.06972907,1.0,0.0841127,-0.0966437,2.870083,20.101624,-20.101624,0.07656337,1.0,0.07032764468193055,822.9021000862122,105000
20.063835,-20.063835,0.072964326,1.0,0.08444105,-0.07060065,2.944137,20.12395,-20.12395,0.07868962,1.0,0.001193911361694336,828.871661901474,110000
20.047981,-20.047981,0.07145452,1.0,0.075655356,-0.0752884,2.7175546,20.085697,-20.085697,0.07504658,1.0,0.0011655768394470214,834.6995506286621,115000
20.058601,-20.058601,0.07246589,1.0,0.075644135,-0.08002564,2.6909118,20.085867,-20.085867,0.0750627,1.0,0.0011685436248779298,840.5422732830048,120000
20.026812,-20.026812,0.06943833,1.0,0.0925683,-0.070000514,2.7592359,20.118008,-20.118008,0.07812352,1.0,0.0011599635601043702,846.3420958518982,125000
20.07053,-20.07053,0.07360215,1.0,0.070767626,-0.072607964,2.8201613,20.105316,-20.105316,0.076915026,1.0,0.0011542701721191405,852.1134512424469,130000
20.027138,-20.027138,0.069469444,1.0,0.07196909,-0.075470924,2.744328,20.088974,-20.088974,0.07535858,1.0,0.0011738872528076173,857.982892036438,135000
20.042646,-20.042646,0.070946425,1.0,0.10173805,-0.08635723,2.8110833,20.083252,-20.083252,0.07481347,1.0,0.0011733898639678954,863.8498468399048,140000
20.030128,-20.030128,0.06975432,1.0,0.09555144,-0.07683551,2.6645908,20.081806,-20.081806,0.07467581,1.0,0.0011589432716369629,869.6445679664612,145000
20.052273,-20.052273,0.07186321,1.0,0.08463989,-0.08680275,2.9043903,20.088718,-20.088718,0.07533426,1.0,0.0011526135444641114,875.4076414108276,150000
20.012745,-20.012745,0.06809868,1.0,0.08205955,-0.10229094,2.711772,20.128601,-20.128601,0.07913265,1.0,0.001177185297012329,881.293573141098,155000
20.032413,-20.032413,0.069971725,1.0,0.08046573,-0.074257635,2.7849324,20.068176,-20.068176,0.07337771,1.0,0.001176086139678955,887.1740083694458,160000
20.050343,-20.050343,0.071679495,1.0,0.11253077,-0.09222981,2.8746052,20.107388,-20.107388,0.07711233,1.0,0.0011798173904418946,893.0731008052826,165000
20.036205,-20.036205,0.07033281,1.0,0.09708564,-0.11411863,2.822086,20.087599,-20.087599,0.07522762,1.0,0.0011643616199493408,898.8949136734009,170000
20.051233,-20.051233,0.0717642,1.0,0.10742153,-0.10261522,2.9043586,20.070812,-20.070812,0.07362899,1.0,0.0011525857925415038,904.6578476428986,175000
20.013716,-20.013716,0.06819118,1.0,0.09283984,-0.093067326,2.818867,20.06616,-20.06616,0.07318575,1.0,0.0011647283554077148,910.4814939498901,180000
20.044151,-20.044151,0.0710897,1.0,0.079279035,-0.083807416,2.7602973,20.089222,-20.089222,0.075382166,1.0,0.0011596405029296875,916.2797017097473,185000
20.031742,-20.031742,0.06990777,1.0,0.0981914,-0.088099696,2.835669,20.079939,-20.079939,0.07449819,1.0,0.001171099042892456,922.1352016925812,190000
20.024563,-20.024563,0.06922422,1.0,0.08103067,-0.0893442,2.8529382,20.079067,-20.079067,0.07441503,1.0,0.0011774956703186035,928.0226848125458,195000
