training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.0460904,-20.460903,2.0460904,0.11078034,21.902008,0.99999994,-21.902008,1.0,2.1001396,0.0,-17.5004,-23.768549,0.87240565,-0.76591086,22.997961,0.52823824,-16.861227,-22.874922,0.06484519,3.0481968,-20.482002,2.0482001,0.11278982,21.929869,0.99999666,-21.929798,1.0,2.3430738,0.0,-17.722557,-23.57553,0.6330081,-17.046564,-22.658388,0.06754225,0.08428802609443664,421.4401445388794,5000
3.0291343,-20.29142,2.029142,0.09463899,33.205826,0.99999225,-33.20557,1.0,2.5543768,0.0,-26.4619,-40.991676,1.2304754,-1.518551,43.908775,0.6497998,-25.788628,-40.202473,0.2093578,3.0367124,-20.367126,2.0367124,0.101849124,34.34796,1.0,-34.34796,1.0,2.6840286,0.73529077,-26.548798,-40.939476,1.0794251,-25.900024,-40.19976,0.22936167,0.002175563192367554,432.3179659843445,10000
3.0252712,-20.25271,2.0252712,0.090952605,41.929718,1.0,-41.929718,1.0,2.83143,0.0,-32.916416,-56.621357,2.4242032,-1.6938261,54.09838,0.6482674,-32.361282,-55.942867,0.1979798,3.0279343,-20.279356,2.0279357,0.09349032,42.329155,0.99999857,-42.329094,1.0,2.8294034,0.0,-33.169243,-56.548275,0.3410201,-32.603806,-55.8156,0.17294633,0.0021708991527557373,443.17246651649475,15000
3.0206757,-20.206755,2.0206757,0.086575754,49.303436,0.99999994,-49.303436,1.0,2.1905344,0.0,-38.94837,-70.9163,2.907445,-2.4424837,80.01469,0.39468688,-38.44087,-70.28388,0.12536964,3.0234528,-20.234526,2.0234528,0.089220665,51.036934,1.0,-51.036934,1.0,2.3280435,0.1709292,-38.663895,-70.86482,0.35906267,-38.117767,-70.21813,0.12159608,0.0022014867782592772,454.1799051761627,20000
3.017088,-20.17088,2.017088,0.08315908,56.881645,1.0,-56.881645,1.0,1.7342948,0.0,-44.313457,-84.45168,2.7605696,-1.7450538,71.506035,0.2824556,-43.851585,-83.86929,0.096746184,3.020273,-20.202772,2.0202773,0.08619653,58.031338,0.99999577,-58.031094,1.0,2.4785438,0.0,-44.296978,-84.22144,0.2190966,-43.85663,-83.70042,0.101800986,0.0021703423023223876,465.03162145614624,25000
3.0129056,-20.129076,2.0129077,0.07917784,61.621944,0.9999979,-61.62182,1.0,2.1969407,0.0,-47.953323,-95.849846,1.5547421,-2.0016656,78.56037,0.480681,-47.47883,-95.27711,0.10179967,3.01856,-20.1856,2.01856,0.08456109,64.67949,1.0,-64.67949,1.0,2.5803957,0.0,-49.253376,-96.324104,0.37927264,-48.847626,-95.80188,0.11960794,0.0021826183319091797,475.9447181224823,30000
3.0114512,-20.11451,2.0114512,0.07779061,65.96131,1.0,-65.96131,1.0,3.166997,0.0,-50.12467,-106.52752,5.9799666,-5.3768806,135.78285,0.3376367,-49.70334,-105.98473,0.24060628,3.018343,-20.18343,2.018343,0.084354274,66.5556,1.0,-66.5556,1.0,2.7352357,0.0,-51.35431,-105.92813,0.71337676,-50.910744,-105.71731,0.2104071,0.00230538444519043,487.4716453552246,35000
3.0121288,-20.121288,2.0121288,0.07843616,68.4619,1.0,-68.4619,1.0,2.7232463,0.0,-51.703133,-115.17383,5.4664087,-4.036625,85.99974,0.55921394,-51.25795,-114.62729,0.13861576,3.0154161,-20.15419,2.015419,0.08156966,70.86929,0.9999972,-70.869095,1.0,2.554202,0.5625943,-53.78684,-114.28704,0.98941946,-53.402576,-114.05069,0.1223747,0.0021771097660064696,498.3571991920471,40000
3.0116906,-20.116913,2.0116916,0.078019425,70.02762,0.999999,-70.02755,1.0,3.4724636,0.0,-53.882507,-120.91236,5.742252,-3.9704301,139.49892,0.23254721,-53.497505,-120.61023,0.114629194,3.0185027,-20.185032,2.0185032,0.08450682,71.55304,0.99999964,-71.55302,1.0,3.275209,0.0,-55.56649,-121.59988,0.24835452,-55.207237,-121.2918,0.19117689,0.0021777385234832765,509.24589681625366,45000
3.0105932,-20.10624,2.0106237,0.077002846,70.44704,0.9999695,-70.444885,1.0,11.380803,1.7262123,-53.592606,-126.77387,5.105535,-6.6818457,284.54623,1.2428793,-53.304886,-126.34125,0.5013941,3.0136654,-20.136724,2.0136724,0.07990624,72.20805,0.99999315,-72.20756,1.0,9.787119,0.0,-52.562786,-124.81702,1.0476134,-52.150146,-124.23747,0.48992005,0.0022038596153259277,520.2651996612549,50000
