training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
540.2164,0.052120935,-20.643394,0.12816057,1.0,4.001865,-4.122103,148.34528,0.49114984,-14.779783,-25.337742,0.27668744,500.45004,0.0139204655,-20.668869,0.13058658,1.0,0.43529665,-15.282377,-25.318192,0.30188835,0.0813402217388153,406.7011272907257,5000
521.3086,0.054321088,-20.415237,0.106431335,1.0,2.7786386,-3.1669023,134.96092,0.396421,-25.33514,-46.591206,0.32054013,559.6019,0.08614001,-20.485981,0.113168925,1.0,0.3573838,-25.389765,-46.546135,0.32980645,0.0019099455833435058,416.25086092948914,10000
574.1034,0.10535872,-20.32435,0.09777537,1.0,2.8332546,-4.076222,142.86346,0.4334711,-34.365547,-66.257095,0.4037516,616.92993,0.12981892,-20.360931,0.101259165,1.0,0.32082596,-34.60991,-66.42979,0.29966816,0.0019143072128295897,425.8224024772644,15000
721.21045,0.14133011,-20.272491,0.09283644,1.0,3.6157517,-3.5613198,184.62129,0.40837926,-40.402527,-84.89624,0.53769934,722.51416,0.11039367,-20.297598,0.09522754,1.0,0.5502905,-40.302025,-84.73533,0.30693257,0.0018887027740478516,435.265921831131,20000
763.14343,0.11939641,-20.22372,0.08819151,1.0,4.1757655,-4.4402337,154.87003,0.40069366,-43.24659,-98.64934,0.35045516,801.92175,0.13391809,-20.275648,0.09313713,1.0,0.4440983,-43.449806,-99.34036,0.5187046,0.0019063124656677247,444.7974901199341,25000
791.42267,0.11612627,-20.191162,0.08509089,1.0,4.7612243,-3.6858284,168.1989,0.44552737,-44.750603,-107.49808,0.49442056,764.2675,0.09768149,-20.238657,0.08961413,1.0,0.39533427,-45.981483,-110.291016,0.50294316,0.001919301176071167,454.39400148391724,30000
824.09314,0.13601828,-20.171503,0.083218485,1.0,4.289234,-3.9894302,177.92834,0.38494486,-45.282406,-115.836136,0.9257821,819.53174,0.116561934,-20.235321,0.08929643,1.0,0.43027043,-46.218063,-112.62515,0.8016821,0.0019001962661743164,463.8949887752533,35000
821.4109,0.11803495,-20.177313,0.083771825,1.0,5.765867,-4.6271715,156.66376,0.39331397,-45.396248,-120.89058,0.40865934,802.1815,0.10652788,-20.216408,0.08749524,1.0,0.3793539,-47.718433,-116.33949,0.46194288,0.0019109391212463378,473.44968938827515,40000
799.59686,0.1096398,-20.172668,0.08332953,1.0,4.4618835,-3.5410805,158.45,0.3222456,-46.63643,-122.44997,0.47942212,796.5582,0.156663,-20.218754,0.08771848,1.0,0.3503587,-48.32312,-122.19487,0.52181786,0.001892853021621704,482.9139611721039,45000
830.9673,0.15384077,-20.147339,0.080917306,1.0,4.9975724,-4.997799,169.8995,0.41585043,-47.40518,-129.60489,0.43861246,802.0583,0.14413987,-20.188915,0.08487672,1.0,0.25909328,-46.495197,-125.19498,0.39470804,0.0019058070659637451,492.44300270080566,50000
746.5134,0.10218644,-20.129665,0.07923386,1.0,3.693818,-3.9731584,148.94884,0.44300804,-50.28617,-126.15849,0.47774285,870.39374,0.17500354,-20.202124,0.08613464,1.0,0.41860574,-47.93728,-126.36783,0.40568483,0.0019052388191223145,501.96920251846313,55000
809.3545,0.14480722,-20.157633,0.081897534,1.0,6.161207,-5.0690646,177.58716,0.2844644,-47.433304,-131.69186,0.5453357,833.22876,0.15176189,-20.19676,0.085624,1.0,0.5300608,-49.3842,-128.84364,0.544724,0.0019127541065216064,511.5329792499542,60000
850.4235,0.15901616,-20.142763,0.080481306,1.0,4.8846955,-5.443681,163.9625,0.34413287,-47.33428,-131.12338,0.34056783,807.2818,0.14777023,-20.181091,0.08413167,1.0,0.3420787,-48.194828,-131.73099,0.43461162,0.0019191341400146484,521.1286551952362,65000
842.65784,0.09953418,-20.12059,0.0783697,1.0,4.8712106,-5.2877307,186.32303,0.3551808,-49.44552,-130.29233,0.75214756,836.7153,0.15220411,-20.154,0.08155155,1.0,0.35931224,-47.62312,-128.31586,0.7676008,0.0019076940536499024,530.6671321392059,70000
840.0296,0.12583901,-20.119404,0.078256585,1.0,4.6006813,-4.029044,156.38745,0.30336052,-50.0625,-135.26666,0.39439666,770.0902,0.10364166,-20.197317,0.08567707,1.0,0.21552058,-51.313034,-134.21582,0.39747307,0.0018887670040130615,540.1109731197357,75000
804.0768,0.14505568,-20.131609,0.079419084,1.0,4.8995957,-4.8555126,163.92693,0.30382973,-49.76685,-131.58966,0.34414145,798.74854,0.11198403,-20.176743,0.08371745,1.0,0.4028989,-50.80812,-135.0076,0.34937304,0.0019068986892700195,549.6454713344574,80000
845.33356,0.13481629,-20.111061,0.077462286,1.0,6.5993094,-3.864077,154.53757,0.48408145,-51.08066,-132.82837,0.3288414,763.80615,0.097769216,-20.169092,0.082988925,1.0,0.40288776,-47.38611,-130.9136,0.42887926,0.0019020077228546143,559.1555154323578,85000
