training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0207028,-20.7028,0.020702802,0.13381824,359.67572,1.0,-359.67572,1.0,2.7199893,415.53915,-646.24603,2367.5906,145.89941,1023.3301,510.93286,0.9856807,7.6936684,15.338889,2.7473989,0.03774586,6.489083,-49.600395,146.22388,195.82426,1.0207297,-20.729675,0.020729676,0.13637775,347.37613,0.99999994,-347.37613,1.0,2.8499837,152.06253,1022.78546,499.62766,0.9760643,8.372873,14.191216,2.8423648,0.02567788,6.491032,-54.024036,152.38708,206.41112,0.08832641735076904,441.63210821151733,5000
1.0203602,-20.360199,0.0203602,0.10118944,295.1807,1.0,-295.1807,1.0,1.8749069,5163.3267,-7217.816,17974.936,129.83232,1080.2834,488.12836,6.6843767,2.178942,7.5344753,1.8645217,0.0072987904,29.35067,-62.485874,131.29987,193.78574,1.0204405,-20.440426,0.020440428,0.10883025,313.57562,1.0,-313.57562,1.0,1.8313677,125.21685,1078.9545,499.56616,7.982426,1.8983752,7.6814,1.8243608,0.02644655,29.359676,-54.267696,126.68483,180.95253,0.00380973596572876,460.6807930469513,10000
1.0202873,-20.287334,0.020287335,0.09425001,215.8964,1.0,-215.8964,1.0,1.1766815,5885.8022,-5036.4185,20839.402,199.08333,810.1008,344.5384,5.9963164,0.45479184,5.4265914,1.1674199,0.0272195,128.45576,-51.997845,205.50612,257.50397,1.02032,-20.320103,0.020320104,0.09737091,211.23758,1.0,-211.23758,1.0,1.1362157,198.26382,810.4247,345.58008,5.7199645,0.37117398,4.3720627,1.1386895,0.025265055,128.49437,-41.269047,204.68855,245.9576,0.003807239627838135,479.7169964313507,15000
1.0205615,-20.561485,0.020561486,0.120359786,152.14957,1.0,-152.14957,1.0,0.7150067,3528.7983,-4522.5894,13999.701,259.5824,621.3727,257.2158,6.314538,0.08835526,2.7240098,0.8633245,0.020914577,455.50473,-17.471,282.35764,299.82864,1.0205852,-20.585167,0.020585168,0.12261495,169.48203,1.0,-169.48203,1.0,0.7232882,252.095,655.4803,266.54095,1.9073064,0.10815011,2.7725415,0.8799263,0.015470533,455.60446,-26.493448,274.87524,301.36868,0.0038418427467346193,498.9262156486511,20000
1.0205498,-20.549784,0.020549783,0.11924524,143.8873,1.0,-143.8873,1.0,0.5724081,3000.8635,-4169.0522,14484.218,279.9762,588.1484,232.46591,1.6353755,0.051138107,3.3310516,0.7685355,0.008606432,688.7674,-0.7838903,314.41455,315.19846,1.0205727,-20.572662,0.020572662,0.121424064,146.83824,1.0,-146.83824,1.0,0.5676472,272.16406,606.82825,241.97032,2.384433,0.05062948,2.5627847,0.7789931,0.015446564,688.747,-0.4335531,306.6014,307.03497,0.003808188724517822,517.9671659469604,25000
1.0204043,-20.404428,0.020404428,0.105401896,138.76709,0.99999994,-138.76709,1.0,0.52698404,2520.5637,-1166.3794,7896.853,279.0608,582.32184,233.87556,1.0984796,0.05421427,2.4290748,0.8072891,0.011134543,690.0264,-2.9079564,313.5621,316.47006,1.0204848,-20.484814,0.020484814,0.113057494,156.96536,1.0,-156.96536,1.0,0.51108104,267.74475,587.141,247.0597,1.2208253,0.04657533,2.5266314,0.78000295,0.018471029,690.0231,2.3631017,302.2459,299.8828,0.003898740005493164,537.460871219635,30000
1.0203379,-20.337955,0.020337958,0.09907117,152.88268,1.0,-152.88268,1.0,0.48909152,5488.379,-5569.2827,19716.299,270.9639,620.59045,244.04599,1.5233183,0.0630821,2.519289,0.81187177,0.0069555165,689.5938,-9.021334,305.4436,314.46494,1.0204294,-20.429396,0.020429399,0.10777982,152.61227,1.0,-152.61227,1.0,0.48632163,264.701,635.9962,251.80379,4.004522,0.047834408,2.9570947,0.7702652,0.008822787,689.5732,1.493335,299.17966,297.6863,0.0038173816680908204,556.5477850437164,35000
1.0203054,-20.30539,0.02030539,0.09596948,144.07916,1.0,-144.07916,1.0,0.50655496,3004.4465,-5005.6743,12312.732,280.62698,575.6308,232.23615,2.4349575,0.05033134,3.0448425,0.8063657,0.0134618655,690.7529,-0.22887303,315.1646,315.3935,1.0203657,-20.365728,0.020365728,0.10171604,155.51274,1.0,-155.51274,1.0,0.47615924,266.66733,606.5111,248.94923,1.0309058,0.058277566,2.935968,0.8238729,0.01398575,690.721,-5.7174883,301.20337,306.92087,0.003807995843887329,575.5877742767334,40000
1.0202833,-20.28333,0.02028333,0.093868725,145.91489,1.0,-145.91489,1.0,0.4701798,2355.4998,-1903.1686,7779.2754,273.43665,594.3092,240.40614,2.1979105,0.042964578,2.2244375,0.7887076,0.011321103,691.4423,4.864589,308.00876,303.14417,1.0203547,-20.354748,0.020354748,0.10067029,150.4657,1.0,-150.4657,1.0,0.45633018,275.47913,633.574,239.54102,3.6042893,0.04551305,2.4587533,0.78432053,0.005926323,691.45654,3.1025324,310.05197,306.94943,0.0038080238819122314,594.6278989315033,45000
1.0202587,-20.258642,0.020258643,0.09151749,142.54916,1.0,-142.54916,1.0,0.44709218,3367.405,-4462.809,13049.295,277.34756,602.46484,235.47551,1.9598116,0.046990976,2.5103881,0.7836015,0.011649302,676.8611,2.036692,311.1906,309.15393,1.0202925,-20.29251,0.02029251,0.09474279,148.5972,1.0,-148.5972,1.0,0.43721634,270.40555,604.1439,244.351,2.446192,0.035968043,2.4723713,0.7720806,0.012330809,676.85046,9.497538,304.24808,294.75055,0.003808960199356079,613.6727063655853,50000
1.0202314,-20.2314,0.0202314,0.08892293,135.93472,0.99999994,-135.93472,1.0,0.47466403,4362.504,-3671.6633,11885.199,281.6768,521.3653,229.74289,1.0509902,0.04347948,2.4309375,0.758491,0.013960816,696.8278,4.54368,316.51816,311.9745,1.0203075,-20.30762,0.020307621,0.09618194,146.80814,0.99999994,-146.80814,1.0,0.46686384,273.04767,545.08026,240.5712,2.4056487,0.048190128,2.3777878,0.79777414,0.016164731,696.6408,1.2608311,307.8797,306.61887,0.003895908498764038,633.1522607803345,55000
1.0202839,-20.283941,0.020283943,0.09392695,152.85457,1.0,-152.85457,1.0,0.4468617,3453.953,-2620.6675,12871.516,270.47427,658.59094,245.43842,1.6013075,0.06617607,2.9590225,0.83779,0.009811296,689.77045,-11.157776,304.9628,316.12057,1.0202993,-20.299368,0.020299368,0.095396,147.89755,1.0,-147.89755,1.0,0.45633993,257.12347,630.7624,260.367,6.747105,0.060259495,2.5838964,0.8194283,0.016089901,689.84247,-7.077435,291.6156,298.69302,0.003810550308227539,652.2050185203552,60000
1.0202752,-20.275236,0.020275235,0.09309769,152.47089,1.0,-152.47089,1.0,0.45311606,1243.9813,-1281.7324,6376.6426,270.77576,656.04926,244.48047,2.142952,0.059724346,2.4516437,0.81206393,0.0075993882,691.6438,-6.725783,305.35797,312.08374,1.0203266,-20.326578,0.020326579,0.09798756,162.06451,1.0,-162.06451,1.0,0.44354606,268.5512,671.6383,247.35124,1.5012329,0.050750248,2.414355,0.8098431,0.011854828,691.6181,-0.51888466,303.1321,303.651,0.004134492301940918,672.8774900436401,65000
1.0202788,-20.278866,0.020278865,0.09344343,159.1995,1.0,-159.1995,1.0,0.44970223,3607.4377,-2954.3977,9994.015,269.33914,652.8594,246.46892,0.9508374,0.047332652,2.2921193,0.8134794,0.014215447,690.93744,1.8429712,303.886,302.04303,1.0202968,-20.296795,0.020296793,0.095150955,156.8096,1.0,-156.8096,1.0,0.4599939,257.22388,658.4962,261.13098,3.475459,0.063743904,2.7229745,0.81854105,0.0047900756,690.9364,-9.496163,291.7707,301.26685,0.0038085272312164305,691.920131444931,70000
1.0202966,-20.296524,0.020296525,0.09512522,149.953,1.0,-149.953,1.0,0.47268835,2710.008,-2615.5637,12424.21,272.39166,604.1542,241.3936,3.0224352,0.055313915,3.6207235,0.8057694,0.010390685,699.5755,-3.7174842,307.37042,311.08792,1.0203578,-20.357895,0.020357896,0.10097009,148.55795,1.0,-148.55795,1.0,0.4428561,265.91104,617.4587,249.87909,1.5314134,0.05633522,4.2378817,0.78314507,0.021548435,699.5425,-4.4317536,300.88815,305.31992,0.00400477261543274,711.9440016746521,75000
1.0203316,-20.331587,0.020331588,0.09846464,149.39215,1.0,-149.39215,1.0,0.47659558,2980.8186,-2631.0212,11128.458,273.00708,615.6063,241.71457,4.2492337,0.05014786,2.42403,0.8124973,0.01530821,691.3602,-0.102224864,307.57507,307.6773,1.0203519,-20.351875,0.020351874,0.10039661,159.20651,1.0,-159.20651,1.0,0.45227283,264.49908,633.7664,251.92711,4.184645,0.04663302,2.5765827,0.79617155,0.012839297,691.4077,2.3279564,299.06946,296.74152,0.003811115741729736,730.9995853900909,80000
