training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.051992,-20.51992,2.051992,0.11640095,8.267005,0.9999999,-8.267005,1.0,0.99902344,0.045898438,0.006218945,-10.605614,-10.610633,-5.470402,0.568268,0.011133176,1.5866651e-06,0.011398419,-0.010904467,0.44855765,3.050961,-20.50961,2.0509613,0.115419276,8.137861,0.9999999,-8.137861,1.0,0.99902344,0.041015625,0.0063293474,-10.229611,-10.234219,-5.5158415,0.25008258,0.010381303,3.9900686e-07,0.0816545823097229,408.27292251586914,5000
3.0412602,-20.414291,2.0414293,0.106341206,8.73237,0.9998309,-8.730895,1.0,0.99902725,0.13476562,0.005213594,-12.024793,-12.03234,-4.3044505,4.1052423,0.04933027,1.0667377e-05,0.008616306,-0.0134122595,0.43667465,3.0448678,-20.449894,2.0449893,0.10973193,8.834921,0.99987835,-8.833847,1.0,0.9990177,0.10839844,0.00577078,-11.908202,-11.915089,-4.863276,38.892498,0.07540725,3.7166637e-07,0.0020976314544677733,418.76108622550964,10000
3.0364797,-20.371881,2.037188,0.10230211,9.2105465,0.99929166,-9.204023,1.0,0.99902916,0.22167969,0.0047249226,-12.900644,-12.9095955,-3.7436728,7.2034564,0.1175787,4.8463457e-06,0.010388135,-0.009182002,0.37995732,3.035607,-20.36271,2.036271,0.101428814,9.110807,0.999336,-9.104759,1.0,0.99902153,0.140625,0.00567586,-12.795772,-12.803648,-4.738962,36.331093,0.09763562,7.055245e-08,0.0021118019580841064,429.32010102272034,15000
3.0286953,-20.288841,2.028884,0.094393484,9.595917,0.99981135,-9.594108,1.0,0.9990425,0.29492188,0.0042791236,-13.511772,-13.521651,-3.4058704,17.410484,0.19135901,4.2192805e-06,0.00868946,-0.00952905,0.3834642,3.03084,-20.309757,2.0309758,0.09638554,9.206343,0.9998641,-9.205092,1.0,0.9990177,0.1484375,0.0056310054,-13.23691,-13.245281,-4.672221,314.366,0.2946455,2.9581383e-08,0.002092026090621948,439.7802379131317,20000
3.0267842,-20.288336,2.0288336,0.09434539,9.450993,0.9979505,-9.431623,1.0,0.9990511,0.3017578,0.0042466917,-13.956309,-13.966766,-3.25954,32.84636,0.2579145,4.071741e-06,0.008701897,-0.0117022125,0.378976,3.0344427,-20.345627,2.0345626,0.09980163,9.889892,0.99988014,-9.888707,1.0,0.99901485,0.15917969,0.005692868,-13.505342,-13.5139675,-4.680705,149.59523,0.17654783,1.12644265e-07,0.0020970201492309572,450.26534366607666,25000
3.027359,-20.279469,2.0279467,0.093500905,9.711082,0.99941224,-9.705376,1.0,0.9990568,0.3671875,0.0039250874,-14.220772,-14.231881,-2.8556042,38.05789,0.42813772,1.6731034e-05,0.010297162,-0.009474761,0.35026288,3.0270083,-20.280182,2.0280185,0.093568906,9.952877,0.99898976,-9.942823,1.0,0.999012,0.15722656,0.0055634677,-13.710452,-13.719343,-4.6154447,27.018368,0.13910551,2.6927786e-08,0.002110030460357666,460.81550097465515,30000
3.024699,-20.258415,2.0258412,0.09149577,9.888703,0.9988577,-9.877408,1.0,0.99909306,0.39160156,0.0038170083,-14.3364315,-14.347782,-2.7251863,45.294094,0.54512215,6.098875e-06,0.009204075,-0.009348264,0.36895454,3.0273898,-20.29119,2.029119,0.09461724,9.573849,0.99827075,-9.557294,1.0,0.9990053,0.16894531,0.005572047,-13.559843,-13.56864,-4.5602474,35.149513,0.19957405,1.9832491e-07,0.002094638204574585,471.28869700431824,35000
3.0223453,-20.244854,2.0244856,0.090204425,9.633006,0.9978598,-9.6123905,1.0,0.9990988,0.42578125,0.0036572642,-14.76837,-14.780324,-2.5397666,45.78092,0.6474006,3.996686e-06,0.011037776,-0.011948642,0.3594249,3.0258095,-20.26561,2.0265608,0.09218093,9.655104,0.9992487,-9.647851,1.0,0.99900436,0.1640625,0.005590003,-13.8067,-13.815717,-4.582248,13.004211,0.1514112,2.759961e-08,0.0020973251342773437,481.77532935142517,40000
3.0223885,-20.247175,2.0247176,0.09042542,10.105106,0.9976709,-10.081572,1.0,0.9990988,0.43066406,0.0035712896,-15.16083,-15.173196,-2.5106559,39.966446,0.7011409,6.3145185e-06,0.009817217,-0.009389263,0.35311916,3.0235431,-20.252934,2.025293,0.09097359,10.064447,0.99824995,-10.046835,1.0,0.9990206,0.18261719,0.0056002242,-13.755607,-13.764476,-4.6825266,62.64555,0.18693957,2.6784886e-07,0.0021071821212768553,492.31124544143677,45000
3.019001,-20.205013,2.0205014,0.08641,9.629938,0.9984996,-9.61549,1.0,0.9991169,0.43945312,0.0035701343,-15.192404,-15.204824,-2.4867473,58.6672,0.6952829,2.2823228e-07,0.01014876,-0.010230543,0.34066692,3.0270133,-20.276716,2.0276718,0.09323893,10.04436,0.9993414,-10.037746,1.0,0.99902153,0.19824219,0.0053628804,-13.743593,-13.752728,-4.3977046,166.40231,0.26180375,5.361702e-07,0.002092583227157593,502.7741684913635,50000
3.0180912,-20.209696,2.0209696,0.08685588,9.340854,0.9971217,-9.313969,1.0,0.9991636,0.4580078,0.003503519,-15.443081,-15.455891,-2.3385396,207.86629,1.223409,1.1497136e-06,0.009955265,-0.008755848,0.3559127,3.0220118,-20.23104,2.023104,0.08888857,10.223627,0.9989078,-10.212461,1.0,0.99902725,0.18945312,0.0055280305,-13.618156,-13.627037,-4.533701,68.01794,0.22408906,2.2721741e-07,0.0020919831275939943,513.2340908050537,55000
3.0171843,-20.192688,2.019269,0.085236184,9.969467,0.99791515,-9.948683,1.0,0.99914455,0.4794922,0.0033103982,-15.767621,-15.781008,-2.0733783,528.17255,1.8205473,3.7776095e-05,0.011523426,-0.009512059,0.3395116,3.0203524,-20.210194,2.0210195,0.086903304,9.869989,0.99933296,-9.863407,1.0,0.99900246,0.19726562,0.005528668,-13.74988,-13.758882,-4.5392914,73.4765,0.1927879,3.4090055e-09,0.0021046473979949953,523.7573328018188,60000
3.0164204,-20.193293,2.019329,0.08529367,9.5126295,0.99709135,-9.4849615,1.0,0.99915314,0.45117188,0.0034540847,-15.611984,-15.624989,-2.3094497,240.96039,1.6063782,1.7306796e-06,0.010861283,-0.0102824075,0.34995863,3.02031,-20.209734,2.0209732,0.08685944,10.270396,0.99933684,-10.263586,1.0,0.9989977,0.17871094,0.005614195,-13.954613,-13.9636755,-4.683559,67.39805,0.18145022,6.9668936e-08,0.002096890878677368,534.2417924404144,65000
