training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.045258,-20.452581,2.045258,0.10998784,20.976368,0.9999999,-20.976368,1.0,3.0782623,0.0,-16.87194,-23.49947,1.3320234,-1.2486099,34.740974,0.64980716,-16.215532,-22.572863,0.0974339,3.0446587,-20.446817,2.0446818,0.10943898,20.78799,0.9999769,-20.787512,1.0,3.0499892,1.64487,-17.030827,-23.731367,0.56819725,-16.333462,-22.531311,0.11440195,0.08437742719650268,421.8871548175812,5000
3.0291169,-20.291168,2.0291169,0.09461526,31.835154,0.99999994,-31.835154,1.0,2.216012,0.0,-24.62194,-41.183014,2.1469913,-1.650537,51.997665,0.6636308,-24.005116,-40.395092,0.15805683,3.032926,-20.329262,2.032926,0.09824308,31.809963,0.99999994,-31.809963,1.0,1.8767922,0.0,-25.150528,-41.045704,0.72735363,-24.575413,-40.27296,0.15987569,0.002273369312286377,433.2540066242218,10000
3.0222065,-20.222065,2.0222065,0.08803394,39.568535,1.0,-39.568535,1.0,2.6392362,0.0,-31.097382,-56.882435,3.8053734,-4.8703637,89.369484,0.6143004,-30.523838,-56.176434,0.11735861,3.0228047,-20.228115,2.0228114,0.08861002,39.90604,0.99999344,-39.905777,1.0,2.3554468,0.0,-30.921486,-56.808147,0.6042175,-30.373178,-56.125618,0.12034118,0.002275732421875,444.63267374038696,15000
3.0165865,-20.165867,2.0165868,0.0826817,47.41515,0.99999976,-47.41514,1.0,1.8512799,0.42286563,-37.479694,-71.355995,5.545945,-4.0372734,85.43214,0.7281039,-36.98508,-70.72195,0.070550025,3.019796,-20.197975,2.0197973,0.08573949,47.848244,0.9999987,-47.84818,1.0,2.66402,0.0,-36.794098,-71.36145,0.47565022,-36.268425,-70.69281,0.09688547,0.0023185395240783693,456.2253761291504,20000
3.0158598,-20.158596,2.0158598,0.08198945,54.86715,0.99999994,-54.86715,1.0,2.2266755,0.0,-42.157547,-84.542694,3.9209766,-4.0825167,86.771416,0.33686614,-41.70853,-83.959564,0.07965803,3.0189245,-20.189243,2.0189245,0.084908076,55.97719,0.99999994,-55.97719,1.0,2.5255659,0.0,-41.923702,-84.69077,0.43118578,-41.45319,-84.08182,0.10122192,0.002273484468460083,467.59280347824097,25000
3.0127673,-20.127712,2.0127714,0.07904802,60.115173,0.999996,-60.11493,1.0,2.1652386,0.0,-45.818108,-96.57424,6.2110558,-4.3356743,98.89574,0.32348472,-45.40793,-96.171364,0.11622159,3.0156796,-20.156796,2.0156796,0.08181782,61.179142,0.99999994,-61.179142,1.0,2.628535,0.0,-45.945435,-96.757484,0.27346644,-45.504192,-96.24515,0.1009719,0.002286642551422119,479.02602100372314,30000
3.0118167,-20.118168,2.011817,0.07813894,66.50508,0.99999976,-66.505066,1.0,2.632156,0.0,-47.958862,-107.10198,2.862825,-3.980614,90.52899,0.24976723,-47.558777,-106.646385,0.08488435,3.0176008,-20.176008,2.0176008,0.08364757,63.201035,1.0,-63.201035,1.0,2.1645458,0.0,-48.136208,-107.07457,0.32042325,-47.769302,-106.58348,0.082592964,0.0023256569385528563,490.65431022644043,35000
3.0128236,-20.128235,2.0128236,0.079097785,66.991806,1.0,-66.991806,1.0,2.0885177,0.0,-48.613228,-115.069176,2.049899,-2.0052984,63.911545,0.34626362,-48.229187,-114.581856,0.11394429,3.0135913,-20.13591,2.0135913,0.07982872,67.39913,1.0,-67.39913,1.0,2.12522,0.0,-50.880974,-115.232796,0.3125628,-50.444717,-114.70189,0.09494468,0.0022941764831542967,502.12519884109497,40000
3.0123093,-20.1231,2.01231,0.07860873,69.359726,0.99999934,-69.35968,1.0,2.5735807,0.0,-49.5538,-121.41726,3.6011033,-5.0378294,103.116196,0.24870451,-49.196976,-120.772064,0.114155725,3.0118744,-20.118744,2.0118744,0.07819388,68.60048,1.0,-68.60048,1.0,2.654672,0.0,-50.847954,-121.40858,0.37770402,-50.45591,-121.088776,0.13632694,0.0022865931034088136,513.5581698417664,45000
3.0092454,-20.092487,2.0092487,0.07569315,68.98082,0.9999966,-68.98058,1.0,2.2704191,0.0,-51.062477,-127.21414,2.0378833,-2.1130705,75.820045,0.42181104,-50.654137,-126.804535,0.106935956,3.0135875,-20.135891,2.0135894,0.07982706,69.37172,0.999998,-69.37158,1.0,2.5639215,0.0,-49.30696,-126.5669,0.23976737,-48.952236,-126.1878,0.10201521,0.0022673444271087647,524.8948967456818,50000
