training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
579.0717,0.13115384,-20.620472,0.12597749,1.0,4.3359985,-5.0167623,163.04709,0.33366996,-14.645405,-25.725391,0.30605793,536.5437,0.031281125,-20.619717,0.12590547,1.0,0.41426995,-14.652668,-25.306858,0.3533718,0.08113532118797302,405.6766266822815,5000
540.2919,0.09894736,-20.407202,0.10566596,1.0,5.31874,-3.8957734,146.41315,0.30554706,-24.891068,-46.13414,0.20715275,571.07166,0.127379,-20.426731,0.107526034,1.0,0.34538376,-25.421917,-46.44049,0.14220932,0.0019388850212097167,415.37105774879456,10000
624.5792,0.17476663,-20.308529,0.09626856,1.0,2.9447956,-2.669321,130.02951,0.35303885,-34.71829,-65.92247,0.18412723,604.3575,0.16247147,-20.29862,0.09532488,1.0,0.389511,-33.898125,-65.80376,0.2123963,0.0019593177795410154,425.16765236854553,15000
741.85266,0.19384888,-20.226477,0.088454045,1.0,3.9858816,-3.8450074,150.18541,0.7873297,-40.497437,-84.00305,0.28544873,757.2894,0.1716755,-20.25919,0.09156964,1.0,0.60852927,-39.780884,-84.04685,0.31855637,0.0019482621669769287,434.9089686870575,20000
851.0021,0.13898502,-20.226646,0.08847012,1.0,4.8936415,-4.719157,160.95383,0.71553,-42.787346,-99.47421,0.33909515,822.3876,0.1827935,-20.257736,0.09143096,1.0,0.40491983,-42.311672,-100.77928,0.34133452,0.001933206558227539,444.5750081539154,25000
866.36536,0.17348358,-20.176987,0.083740875,1.0,4.9308205,-4.668907,172.05249,0.23705582,-44.095505,-113.38396,0.39126444,849.9731,0.16430578,-20.211283,0.08700691,1.0,0.24514149,-43.66078,-113.587105,0.33227703,0.0019657110691070558,454.4035692214966,30000
856.3402,0.20195892,-20.1736,0.08341804,1.0,4.7842035,-4.2754617,167.69751,0.41776347,-44.06651,-118.33607,0.44579387,899.0995,0.16853367,-20.208223,0.08671561,1.0,0.36789563,-44.357407,-119.468,0.4766239,0.001960044574737549,464.20379853248596,35000
918.41974,0.2483776,-20.16278,0.08238782,1.0,6.4652157,-6.818574,169.85956,0.31149137,-44.04938,-124.1142,0.3395864,795.7923,0.11555087,-20.177383,0.08377861,1.0,0.31316823,-46.149475,-122.80418,0.30677295,0.0019486200332641602,473.9469041824341,40000
947.24695,0.23555574,-20.159653,0.0820899,1.0,5.920428,-5.828717,191.96193,0.36912468,-44.262157,-123.64842,0.40453815,897.0647,0.19766814,-20.162052,0.082318425,1.0,0.26027644,-45.414665,-124.35361,0.36445072,0.0019639679908752443,483.7667496204376,45000
888.23254,0.14904901,-20.13082,0.07934386,1.0,4.4132867,-5.470373,163.94347,0.38801056,-45.58949,-127.39064,0.3876177,813.8397,0.12093958,-20.18866,0.08485256,1.0,0.37054908,-43.9177,-128.88634,0.4864002,0.00195378475189209,493.5356786251068,50000
