training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.020814,-20.813889,0.02081389,0.14439815,343.34503,1.0,-343.34503,1.0,2.765519,347.66614,-435.90848,2500.159,148.67088,1032.8582,508.97888,0.3480979,8.756262,14.839375,2.7852402,0.0032820667,6.493792,-56.53665,148.99557,205.53223,1.0208145,-20.814531,0.02081453,0.14445925,340.50714,1.0,-340.50714,1.0,2.9158502,160.00128,1031.1313,487.2439,0.38463184,9.28087,19.539673,2.9284616,0.0132989045,6.4958034,-59.961918,160.32608,220.288,0.08691312475204467,434.56564259529114,5000
1.0204036,-20.40361,0.020403612,0.10532407,299.6595,1.0,-299.6595,1.0,1.8667443,2331.187,-3452.4495,12924.831,139.8833,1133.4783,462.48822,4.097328,1.973653,6.918311,1.8668799,0.03482104,29.684803,-57.10326,141.36754,198.4708,1.0204206,-20.4205,0.020420501,0.106932506,307.09845,1.0,-307.09845,1.0,1.891323,132.46115,1126.4548,473.18515,3.6737075,2.0016809,6.544129,1.9031851,0.029858649,29.693674,-57.952576,133.94583,191.8984,0.003802316379547119,453.57723093032837,10000
1.0203353,-20.33538,0.02033538,0.09882584,209.9506,0.99999994,-209.9506,1.0,1.1226649,2211.085,-1716.7375,6923.436,215.41052,855.8495,322.3017,4.1744604,0.35371953,3.8240998,1.1360762,0.018734073,128.48088,-39.022152,221.83456,260.85672,1.0203364,-20.3364,0.0203364,0.09892294,210.27876,1.0,-210.27876,1.0,1.2180266,210.97249,825.5064,325.47308,6.768304,0.5206559,4.790516,1.2301389,0.013250536,128.51611,-60.486862,217.3983,277.88516,0.0038013636589050294,472.58405470848083,15000
1.020614,-20.614021,0.02061402,0.125363,148.81335,1.0,-148.81335,1.0,0.68827707,4932.407,-4891.985,21064.986,282.39795,567.5465,229.62163,1.7810094,0.09625517,3.2134898,0.86233366,0.015570698,447.5014,-20.699253,304.773,325.47226,1.0206618,-20.661875,0.020661876,0.12992062,140.47516,1.0,-140.47516,1.0,0.69556594,283.5384,591.84,228.2546,2.2762787,0.062121734,2.8456876,0.8028443,0.014000978,447.60724,-5.4257755,305.91876,311.34454,0.003799488401412964,491.58150243759155,20000
1.0205003,-20.500349,0.02050035,0.11453708,144.99078,0.99999994,-144.99078,1.0,0.580289,2869.484,-2722.2239,12548.565,290.01788,556.43384,220.81636,1.1948671,0.056534354,2.7804687,0.7924562,0.005518019,665.754,-4.3502717,323.30557,327.65585,1.0205064,-20.50634,0.020506341,0.11510784,152.63593,1.0,-152.63593,1.0,0.5792572,300.75574,572.647,209.07173,1.8175901,0.05868595,2.884008,0.8383882,0.03655432,665.68646,-5.7821193,334.04007,339.82217,0.003798754119873047,510.57527804374695,25000
1.0204245,-20.424456,0.020424457,0.10730923,148.62137,1.0,-148.62137,1.0,0.52230275,2277.3071,-2547.5356,12763.548,286.34372,571.94183,224.52368,6.596071,0.06140862,3.078826,0.804783,0.007956617,669.11005,-7.633622,319.79922,327.43286,1.0204681,-20.46822,0.02046822,0.11147709,146.72993,0.99999994,-146.72993,1.0,0.53425026,291.4497,601.35077,219.30832,4.394033,0.069239095,4.1854067,0.81620085,0.01739715,669.12885,-12.873433,324.90613,337.77957,0.0038005229473114014,529.5778985023499,30000
1.0204362,-20.43618,0.02043618,0.108425684,155.89798,1.0,-155.89798,1.0,0.50534916,4386.994,-3468.766,12999.845,282.26196,616.3122,229.76593,1.5064057,0.04563709,2.6019802,0.79995006,0.022778578,672.7652,2.9352148,315.9002,312.965,1.0204679,-20.467882,0.020467883,0.111445114,142.83327,1.0,-142.83327,1.0,0.49845934,284.39987,572.5446,227.0578,1.1524689,0.047134414,2.2614913,0.80545384,0.012639419,672.7415,1.927799,318.03696,316.10916,0.003805417728424072,548.6049919128418,35000
1.0203893,-20.389278,0.02038928,0.10395899,150.30984,1.0,-150.30984,1.0,0.5338217,3447.7764,-4338.997,14517.87,283.73706,606.2579,229.01382,0.74934614,0.054107927,2.8105397,0.8034476,0.020594263,680.94977,-2.7972913,317.78455,320.58185,1.0203851,-20.385101,0.020385105,0.10356138,147.61713,1.0,-147.61713,1.0,0.48681223,288.2768,573.64954,223.22864,2.7221444,0.05239475,2.3059325,0.7909124,0.0033834963,680.8991,-1.6305836,322.32175,323.95233,0.003798998498916626,567.599990606308,40000
1.0203352,-20.335232,0.020335231,0.09881169,155.15186,1.0,-155.15186,1.0,0.46355814,4059.1875,-2588.9248,9849.565,282.6687,596.88635,230.70152,1.7527863,0.059899863,3.114542,0.8179684,0.020218614,673.3602,-6.6661735,316.33673,323.0029,1.0203153,-20.315327,0.02031533,0.09691611,149.5075,1.0,-149.5075,1.0,0.46287012,285.3956,556.6435,226.33372,6.2154884,0.053619858,2.8513136,0.8320229,0.022247717,673.37915,-2.4375362,319.06458,321.5021,0.0037995622158050538,586.5978066921234,45000
1.020308,-20.308037,0.020308036,0.09622156,152.27109,1.0,-152.27109,1.0,0.46333838,3706.0132,-4305.77,10843.335,278.8282,612.0253,234.02185,4.084196,0.057284623,2.350823,0.830616,0.027260108,676.85205,-4.9306116,312.6708,317.6014,1.0203495,-20.349525,0.020349527,0.100173086,149.20874,1.0,-149.20874,1.0,0.49849957,285.22583,616.4647,226.92969,2.261062,0.061057046,2.7659042,0.82769626,0.016064793,676.8124,-7.4835453,319.06644,326.55,0.003799267578125,605.5941507816315,50000
