training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.0828017,-2.7600622,0.08280186,0.9221853,6.3096724,0.9999999,-6.3096724,1.0,0.99902344,0.0126953125,0.007156861,-7.49249,-7.4936347,-6.321207,0.16518237,0.005014276,5.453856e-05,0.020016786,-0.002293475,0.108480774,1.0829699,-2.765668,0.08297004,0.9277908,6.292306,0.9999998,-6.292306,1.0,0.99902344,0.015625,0.007230764,-7.411327,-7.4123416,-6.373415,0.25911754,0.00414931,4.1659172e-05,0.03792415471076965,189.62079906463623,5000
1.0779318,-2.5977306,0.07793192,0.75985366,6.3342767,0.9999999,-6.3342767,1.0,0.99902344,0.017578125,0.006916277,-7.609956,-7.6114388,-6.093221,0.2250607,0.008243548,1.6538163e-05,0.0052496744,-0.014660354,0.11244955,1.0778371,-2.5945766,0.0778373,0.7566998,6.339932,0.9999998,-6.339932,1.0,0.99902344,0.020507812,0.007094273,-7.5623736,-7.5637083,-6.1968546,0.233759,0.008101489,2.0730728e-05,0.003206153440475464,205.65158128738403,10000
1.0766983,-2.5566132,0.07669839,0.7187361,6.149477,0.9999999,-6.149477,1.0,0.99902344,0.0234375,0.0067865457,-7.6874194,-7.6891465,-5.9202504,0.33365074,0.012748514,5.043489e-06,0.0064957216,-0.008533692,0.112241745,1.0767596,-2.5586562,0.076759696,0.7207793,6.2465963,0.9999998,-6.2465963,1.0,0.99902344,0.015625,0.006970092,-7.651284,-7.65282,-6.079754,0.30899826,0.010802158,3.8797116e-05,0.0032489158153533935,221.89617037773132,15000
1.0762589,-2.541965,0.07625896,0.704088,6.252769,0.9999999,-6.252769,1.0,0.99902344,0.024414062,0.0068651536,-7.6710186,-7.672619,-6.0335684,0.41762432,0.011735914,3.977656e-05,0.0037220921,-0.010149534,0.088956915,1.0748485,-2.494956,0.07484868,0.657079,6.173229,0.9999998,-6.173229,1.0,0.99902344,0.0107421875,0.0068991613,-7.64353,-7.645161,-5.974658,0.51752234,0.013721972,1.714692e-05,0.0031045222759246826,237.41879773139954,20000
1.0743012,-2.4767156,0.07430146,0.6388384,6.2183685,0.9999998,-6.2183685,1.0,0.9990225,0.025390625,0.006766026,-7.752984,-7.754779,-5.916993,1.3391913,0.014979793,1.3903597e-05,0.0061867023,-0.005460112,0.10495913,1.0753423,-2.5114162,0.075342484,0.6735391,6.1758933,0.9999998,-6.1758933,1.0,0.99902344,0.022460938,0.006880575,-7.6825433,-7.6842074,-5.9806185,0.68506986,0.014329946,4.097046e-05,0.0032180289268493654,253.50895237922668,25000
1.0749624,-2.4987524,0.07496257,0.6608753,6.2202864,0.9999998,-6.2202864,1.0,0.99902344,0.022460938,0.0068239006,-7.7069254,-7.70863,-5.962824,0.4185667,0.014689336,2.552777e-05,0.008253755,-0.011115625,0.14986771,1.0747257,-2.4908605,0.074725814,0.6529833,6.352701,0.9999999,-6.352701,1.0,0.99902344,0.026367188,0.006891024,-7.661703,-7.6632757,-6.05301,0.46966413,0.010694884,3.1383646e-05,0.003153001976013184,269.27397537231445,30000
1.0743071,-2.4769068,0.0743072,0.6390298,6.1633806,0.9999999,-6.1633806,1.0,0.99902344,0.034179688,0.0067180926,-7.6833806,-7.6851783,-5.8442874,0.3525267,0.014979756,3.0798332e-05,0.0061021494,-0.019855209,0.17669383,1.075756,-2.5252035,0.0757561,0.68732643,6.2664986,0.9999999,-6.2664986,1.0,0.99902344,0.024414062,0.006846974,-7.658122,-7.6598115,-5.9304633,0.37870866,0.012520168,3.6343677e-05,0.0031232059478759765,284.89001631736755,35000
1.0730981,-2.4366093,0.07309827,0.5987321,6.247504,0.9999998,-6.247504,1.0,0.99902344,0.032226562,0.0066995826,-7.7567987,-7.7586455,-5.8673215,0.45826465,0.015386943,5.0575993e-05,0.012214689,-0.012607344,0.1736983,1.0745921,-2.4864092,0.07459228,0.64853233,6.2099113,0.9999998,-6.2099113,1.0,0.9990244,0.01953125,0.0068060486,-7.674839,-7.6766043,-5.8690557,1.9577066,0.017442122,2.8578244e-05,0.003123605442047119,300.50805735588074,40000
1.07485,-2.4950066,0.074850194,0.6571296,6.216069,0.9999998,-6.216069,1.0,0.99902344,0.032226562,0.00674792,-7.7222934,-7.7240987,-5.87567,0.48940215,0.01585717,4.8129416e-05,0.013028961,-0.0126791345,0.17113425,1.0735486,-2.4516234,0.073548704,0.6137466,6.2442446,0.9999998,-6.2442446,1.0,0.99902344,0.026367188,0.0069403388,-7.696723,-7.6983166,-6.0666714,0.26943484,0.011931076,4.950538e-05,0.003233758544921875,316.6768629550934,45000
1.0731735,-2.4391222,0.07317367,0.6012453,6.051469,0.9999998,-6.051469,1.0,0.99902344,0.030273438,0.006693681,-7.755433,-7.7573047,-5.840995,0.5671923,0.016627256,1.3995203e-05,0.016600598,-0.020215716,0.23495775,1.0738308,-2.4610357,0.07383107,0.62315863,6.217417,0.9999998,-6.217417,1.0,0.99902344,0.025390625,0.0069476115,-7.6750555,-7.676675,-6.0182605,0.24688342,0.012815355,5.7387956e-06,0.003174876594543457,332.55125999450684,50000
