training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0084907,-2.8302643,0.008490793,0.99238735,17.91315,0.9999999,-17.91315,1.0,0.11670691,0.0,-14.845596,-24.787819,0.38379633,-0.31603348,12.563947,0.27200183,-14.243811,-24.030556,0.015815374,1.0087056,-2.9019363,0.008705809,1.0640594,17.963669,0.9999998,-17.963669,1.0,0.13461444,0.0,-15.057787,-24.699268,0.22532497,-14.4628105,-23.9379,0.018124633,0.03441851139068604,172.0925681591034,5000
1.0085564,-2.852127,0.008556381,1.01425,26.181585,1.0,-26.181585,1.0,0.40743533,0.0,-21.370096,-40.425404,3.317565,-2.8804083,74.12314,0.08705819,-20.911068,-39.80813,0.04458217,1.0085584,-2.8528259,0.008558477,1.0149486,27.282902,0.99999994,-27.282902,1.0,0.17886914,0.0,-21.323011,-40.447823,0.15724479,-20.867893,-39.853504,0.04644662,0.0016108875751495362,180.14701056480408,10000
1.0089113,-2.973713,0.008921141,1.1358361,29.872505,0.9999901,-29.872211,1.0,0.3038996,0.0,-24.239803,-52.721516,3.9755085,-4.0349827,75.68206,0.275617,-23.821156,-52.24999,0.06002692,1.0087875,-2.9291887,0.008787567,1.0913117,29.95856,0.99999994,-29.95856,1.0,0.431551,0.0,-25.303673,-52.86616,0.59328234,-24.889109,-52.395393,0.05569367,0.0016126184463500976,188.21010756492615,15000
1.0089343,-2.9780796,0.008934239,1.1402025,32.82618,1.0,-32.82618,1.0,0.3636902,0.0,-26.124952,-62.42364,8.107003,-3.0739274,121.28926,0.27953744,-25.701643,-62.031345,0.06727514,1.008885,-2.96168,0.00888504,1.1238029,32.118973,1.0,-32.118973,1.0,0.15817524,0.0,-25.928066,-62.272106,0.35343996,-25.49886,-61.89757,0.059066415,0.001606416368484497,196.24219393730164,20000
1.00871,-2.904954,0.008714862,1.0670769,33.064453,0.9999952,-33.064293,1.0,0.22642419,0.0,-27.023014,-68.842224,2.612858,-2.8997214,54.781345,0.31558907,-26.629951,-68.514305,0.061597414,1.0090731,-3.0256531,0.009076959,1.187776,32.26407,0.9999962,-32.263947,1.0,0.21911329,0.0,-25.31551,-68.58717,0.3561536,-24.931915,-68.27615,0.06496756,0.001608375883102417,204.28407835960388,25000
1.0088711,-2.957021,0.008871063,1.1191438,33.70343,1.0,-33.70343,1.0,0.36985794,0.0,-27.297377,-73.267555,12.144367,-4.9303865,153.07692,0.72106844,-26.871445,-72.99225,0.07226452,1.0089772,-2.9923842,0.008977152,1.1545072,35.143677,1.0,-35.143677,1.0,0.23257963,0.0,-26.818218,-73.10349,0.9483876,-26.42965,-72.821236,0.06623073,0.0016105591297149659,212.3368787765503,30000
1.0088261,-2.9420385,0.008826116,1.1041615,33.194298,1.0,-33.194298,1.0,1.4576979,0.0,-27.215408,-74.26782,6.4289303,-14.069774,121.7819,0.5688105,-26.82107,-73.98131,0.09582409,1.0090568,-3.01981,0.00905943,1.1819329,33.9263,0.9999973,-33.92621,1.0,1.421035,0.0,-26.463705,-74.580505,0.46360376,-26.054321,-74.276794,0.10130878,0.0016078279972076416,220.3760232925415,35000
1.0087066,-2.902184,0.008706551,1.0643069,34.016663,1.0,-34.016663,1.0,0.25925738,0.0,-27.412687,-76.22907,4.181623,-6.7452946,71.56387,0.4671985,-27.045277,-75.93123,0.068849385,1.0089917,-2.9972653,0.0089917965,1.1593884,34.425034,0.99999994,-34.425034,1.0,0.27257913,0.0,-27.57679,-76.457985,0.539159,-27.194027,-76.21706,0.06347373,0.0016076075077056885,228.41406559944153,40000
1.0087671,-2.9226623,0.008767987,1.0847851,34.139168,0.9999991,-34.139137,1.0,0.24540879,0.0,-27.678345,-76.642296,11.719947,-3.0785103,87.741425,0.5357747,-27.276001,-76.42294,0.06949183,1.0087377,-2.9125445,0.008737633,1.0746675,33.890297,1.0,-33.890297,1.0,0.21966398,0.0,-27.299713,-76.64171,1.180641,-26.90141,-76.33177,0.067571774,0.0016095078945159913,236.46161031723022,45000
1.0085812,-2.8603692,0.0085811075,1.0224922,32.498123,1.0,-32.498123,1.0,0.36613783,0.0,-26.627022,-77.2192,3.6686134,-3.2604356,62.95685,1.3441314,-26.225143,-77.02116,0.073348105,1.0086604,-2.8868065,0.008660419,1.0489295,33.643906,1.0,-33.643906,1.0,0.21325432,0.0,-27.658434,-77.81533,0.5687888,-27.265211,-77.67818,0.07165712,0.0016073789596557618,244.4985101222992,50000
