training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
31.940079,0.076070294,-2.3754287,0.5375515,1.0,4.1523113,-3.9990933,74.31928,0.06835928,-15.841028,-26.123411,0.06254096,37.119892,0.10634735,-2.397697,0.55982006,1.0,0.36844116,-16.106562,-26.159119,0.054444723,0.032436699914932254,162.18351531028748,5000
55.039238,0.12816809,-2.3830125,0.54513544,1.0,2.8364122,-2.656139,54.336227,0.053472467,-22.544407,-43.253952,0.11316984,58.649822,0.14014772,-2.3877678,0.5498909,1.0,0.032267496,-22.554043,-43.31375,0.11555446,0.0013180150985717773,168.77359652519226,10000
71.23482,0.13415715,-2.4621007,0.6242236,1.0,6.620328,-7.0306034,141.13663,0.18638456,-25.170658,-57.375813,0.16935283,74.667145,0.15774566,-2.438465,0.60058784,1.0,0.24158299,-26.207813,-57.252987,0.14380997,0.0013175801277160646,175.36150336265564,15000
79.489685,0.12107074,-2.5057282,0.66785127,1.0,3.5250843,-3.6686597,83.60997,0.12828723,-26.787535,-67.151024,0.16252473,82.06801,0.15539189,-2.4614072,0.62353003,1.0,0.18781096,-26.894785,-67.21525,0.16451386,0.001323174238204956,181.97738003730774,20000
87.27782,0.19462499,-2.4277313,0.58985424,1.0,4.311359,-3.0470128,54.00174,0.16399044,-28.017467,-75.51996,0.15248549,86.957214,0.13837387,-2.503861,0.66598374,1.0,0.13092606,-26.169409,-75.00513,0.16083899,0.0013217677116394043,188.58622455596924,25000
86.59898,0.1644223,-2.4763887,0.63851166,1.0,3.0580072,-2.3197799,66.379555,0.28046608,-28.289032,-81.33978,0.15727994,85.38545,0.13962558,-2.4875045,0.64962745,1.0,0.29143122,-27.839962,-81.89311,0.16158554,0.0013197328090667725,195.18489384651184,30000
85.99658,0.14643745,-2.464394,0.62651724,1.0,4.5231824,-3.9507155,105.52725,0.60692525,-28.440216,-86.717026,0.17780235,85.22699,0.12671839,-2.5180032,0.6801263,1.0,0.29706356,-27.658329,-86.41484,0.17874978,0.001315427827835083,201.762038230896,35000
92.04739,0.20033793,-2.4495163,0.6116392,1.0,5.1551833,-4.698509,96.23196,0.4501028,-28.85194,-88.421684,0.18164223,88.65143,0.13468292,-2.4805439,0.6426669,1.0,0.3695439,-28.877823,-86.766624,0.16845429,0.0013163632869720458,208.34386014938354,40000
87.519035,0.15128002,-2.4688249,0.63094807,1.0,2.333871,-2.601239,59.941742,0.24455932,-28.717606,-92.072296,0.16253911,90.87602,0.1813125,-2.4333692,0.5954921,1.0,0.26623815,-28.260239,-87.59609,0.19407001,0.0013248377799987793,214.96805477142334,45000
90.85391,0.17442225,-2.4051485,0.56727135,1.0,4.184094,-4.7883554,101.52765,0.30398682,-27.495728,-92.99252,0.21036507,91.53612,0.18499959,-2.4198253,0.5819484,1.0,0.3719889,-28.710526,-88.69551,0.18664834,0.0013190869331359864,221.56349444389343,50000
