training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
7.578303,-7.6285563,204.24873,335.16284,2.0516555,-13.816392,0.92540133,1.0,19.184637,0.35711882,-2.1935906,0.3557135,1.0,0.34604067,-16.228271,-27.084492,0.15950218,329.65323,1.8888891,-14.098573,0.98183745,1.0,19.875402,0.384201,-2.1767154,0.3388383,1.0,0.23964074,-15.599146,-27.121607,0.21438825,0.038422931861877445,192.11467671394348,5000
9.819335,-10.213247,226.87422,389.20084,2.7773166,-13.898276,0.9417782,1.0,33.99008,0.59559506,-2.1558757,0.3179988,1.0,0.16788507,-23.722404,-43.91612,0.2960299,436.81982,3.2847047,-13.433752,0.84887344,1.0,34.52057,0.5719209,-2.1832497,0.34537262,1.0,0.18993935,-24.633993,-43.916794,0.28913733,0.0022707984447479248,203.46867394447327,10000
18.390266,-19.433952,352.35178,474.35175,3.6808243,-13.15271,0.79266495,1.0,47.96308,0.6940075,-2.14855,0.31067285,1.0,0.84717786,-28.085089,-57.4395,0.37133893,495.18097,3.605566,-13.001457,0.76241446,1.0,44.779152,0.6236488,-2.1925745,0.35469738,1.0,0.40744978,-29.56364,-57.410378,0.45195305,0.0022681767463684083,214.8095624446869,15000
11.5904045,-9.255128,302.57263,500.72968,3.4081063,-12.800497,0.7222225,1.0,48.46758,0.65365326,-2.1518805,0.31400338,1.0,0.22504246,-31.578438,-67.96323,0.4657622,548.40625,4.2405014,-12.516001,0.6653232,1.0,50.696262,0.6739,-2.16812,0.33024275,1.0,1.1079252,-30.992928,-67.83322,0.5902609,0.0022656110763549803,226.1376223564148,20000
13.597017,-13.026909,271.45264,561.1052,4.6690245,-12.092843,0.58069164,1.0,53.534134,0.70125914,-2.140974,0.30309692,1.0,0.3022466,-32.56491,-75.319275,0.5914216,555.85504,3.8825305,-12.38993,0.640109,1.0,56.778786,0.7238702,-2.1593096,0.3214326,1.0,0.29436135,-32.47944,-75.70706,0.66839945,0.002269713258743286,237.4861934185028,25000
10.407396,-9.435854,262.91162,555.2461,4.343087,-11.952157,0.55255437,1.0,48.56345,0.6329797,-2.1570706,0.31919372,1.0,0.4889208,-32.39831,-81.31884,0.6662211,550.5466,4.418908,-12.012087,0.5645403,1.0,55.20623,0.7067882,-2.142222,0.3043448,1.0,0.5802907,-32.189865,-81.28331,0.7400465,0.0022658398628234862,248.81539845466614,30000
13.43033,-11.467566,292.95975,543.4156,3.6426232,-12.024347,0.5669925,1.0,52.99597,0.72132313,-2.1238742,0.28599715,1.0,0.18274966,-33.87834,-86.32733,0.76164937,569.1311,4.628954,-11.674198,0.49696288,1.0,55.024178,0.7199725,-2.126311,0.28843418,1.0,0.14073955,-33.078346,-86.19505,0.7221172,0.0022691114902496337,260.1609606742859,35000
9.93178,-7.8391204,209.15135,560.41943,3.8908484,-11.728921,0.5079071,1.0,50.51544,0.65614414,-2.145342,0.30746526,1.0,0.36626565,-35.192627,-89.07739,0.9292513,579.50464,4.6776137,-11.724373,0.5069976,1.0,49.07405,0.6524092,-2.1433072,0.3054303,1.0,0.29538256,-33.70376,-89.6887,0.8117245,0.0022658950328826905,271.4904408454895,40000
17.55042,-15.837899,292.51624,571.91895,4.7533083,-11.529444,0.46801186,1.0,52.329987,0.7124958,-2.1333008,0.2954237,1.0,0.3393519,-35.93213,-92.10135,0.84976685,586.60583,5.373462,-11.493932,0.46090934,1.0,51.668358,0.61938924,-2.1804218,0.34254465,1.0,0.35114068,-35.699265,-92.39772,0.80110407,0.002266437101364136,282.8226306438446,45000
7.161565,-9.072336,226.2781,565.1727,4.271302,-11.307627,0.42364827,1.0,51.933983,0.6445334,-2.1625323,0.3246552,1.0,0.36585203,-34.55101,-94.38501,0.9128233,577.0779,4.2877216,-11.533054,0.46873394,1.0,53.452427,0.6760686,-2.139462,0.30158514,1.0,1.0102463,-32.580566,-92.70032,0.98245007,0.0022681872844696046,294.16357231140137,50000
