training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0010245,-3.4148088,0.0010244427,1.5769316,215.06503,1.0,-215.06503,1.0,2.752028,13.117832,-79.61354,465.48523,244.91699,681.3931,277.69885,1.9528844,10.548312,10.135939,3.5861406,0.03874657,7.5834613,-79.61354,245.29616,324.9097,1.0010362,-3.4539359,0.0010361809,1.6160588,202.77135,1.0,-202.77135,1.0,2.5920126,257.16687,678.5017,262.7775,2.0282364,11.271044,13.30814,3.7121663,0.13247316,7.5857162,-85.11965,257.54614,342.6658,0.04020057415962219,201.00288701057434,5000
1.000978,-3.2600389,0.0009780116,1.4221616,104.10133,1.0,-104.10133,1.0,0.41045576,14.734163,-36.814358,372.29376,364.0662,378.46338,139.65802,1.6263435,1.3183377,4.401873,1.7918432,0.059953444,29.025673,-36.814358,365.51746,402.33182,1.0009753,-3.2507453,0.0009752236,1.4128681,108.19366,1.0,-108.19366,1.0,0.43875298,367.66714,364.0587,135.8314,1.8594555,1.4677573,4.696277,1.8847895,0.08938918,29.032852,-41.16154,369.1188,410.28033,0.0037030545711517334,219.51816534996033,10000
1.000974,-3.247016,0.0009741048,1.4091388,61.4569,1.0,-61.4569,1.0,0.23163563,7.621436,-11.123036,187.60901,418.45264,242.84161,83.29113,0.61958414,0.17338419,2.5919647,1.1434861,0.0,90.149605,-11.123036,422.9601,434.08316,1.0009696,-3.2321002,0.00096963014,1.3942232,60.66343,1.0,-60.66343,1.0,0.21284239,416.28833,234.65741,85.47943,0.16968007,0.15229802,2.8033338,1.1268221,0.07538626,90.167885,-9.223996,420.79672,430.02072,0.003700309181213379,238.01971578598022,15000
1.0009464,-3.1547647,0.00094642944,1.3168876,52.919765,1.0,-52.919765,1.0,0.20621261,10.560874,-38.552147,315.65527,433.37103,193.26166,68.06118,0.0399977,0.0613228,2.0143712,1.0073752,0.010660386,181.02318,-2.0496893,442.4222,444.4719,1.0009542,-3.1803102,0.0009540932,1.3424332,50.988785,1.0,-50.988785,1.0,0.17247644,431.09937,196.44493,70.365425,0.0,0.057197306,2.462167,0.97861886,0.01626739,181.03387,-1.3029561,440.15106,441.454,0.003702150058746338,256.53047132492065,20000
1.0009205,-3.068297,0.0009204891,1.2304199,51.35636,1.0,-51.35636,1.0,0.21165511,10.6400585,-9.153731,182.56393,433.23566,196.70891,68.19606,0.5995411,0.053143516,2.278797,0.9845816,0.032064643,183.553,-0.5770017,442.4133,442.9903,1.0009466,-3.1556048,0.0009466815,1.3177279,49.995712,1.0,-49.995712,1.0,0.13860762,434.78876,197.66092,66.625656,0.35581994,0.059088428,2.2058141,1.008458,0.02299194,183.55606,-1.6682358,443.96655,445.6348,0.0037017717838287354,275.0393352508545,25000
1.000928,-3.0936418,0.0009280925,1.2557647,51.997314,1.0,-51.997314,1.0,0.13997698,20.387884,-4.740416,172.82031,432.87408,177.96953,68.55937,0.20048906,0.045554228,2.114281,0.97101957,0.061073296,183.51178,0.8158516,442.04968,441.23383,1.0009308,-3.1025465,0.00093076396,1.2646693,54.43995,1.0,-54.43995,1.0,0.15229493,432.3806,181.88864,69.062195,0.7159903,0.04913278,1.9980347,0.98888874,0.026413536,183.49263,0.15912876,441.55524,441.39612,0.0037016366481781005,293.54752492904663,30000
1.0009137,-3.045958,0.0009137875,1.2080812,50.886887,1.0,-50.886887,1.0,0.12761894,24.489836,-10.6921625,184.06299,431.58948,196.08043,69.87018,0.50854707,0.048036113,2.1273496,0.98438513,0.06440161,183.23067,0.3598444,440.751,440.39117,1.0009465,-3.1554108,0.0009466233,1.3175339,52.10379,0.99999994,-52.10379,1.0,0.12179007,431.68945,201.03847,69.775764,0.25065488,0.06343482,2.311114,1.0207791,0.021630615,183.22455,-2.4615881,440.85068,443.31226,0.0037042636871337893,312.06884837150574,35000
1.0009298,-3.09944,0.0009298321,1.2615633,52.425053,1.0,-52.425053,1.0,0.136312,6.9493885,-6.757207,137.6064,429.94843,205.0969,71.546814,0.23981398,0.052157998,2.0625865,0.9933722,0.08826817,183.25024,-0.39545354,439.11093,439.50638,1.0009389,-3.129478,0.00093884347,1.2916011,53.016495,1.0,-53.016495,1.0,0.114225894,431.07355,190.8395,70.39264,0.38854006,0.05662434,2.5840626,1.0095475,0.037789408,183.24359,-1.213868,440.23572,441.4496,0.003699773025512695,330.5677285194397,40000
1.0009221,-3.0735075,0.0009220523,1.2356304,52.422375,1.0,-52.422375,1.0,0.094783746,7.9396687,-7.826676,104.21268,432.90375,191.0831,68.52979,0.44248563,0.047127847,2.034285,0.9864537,0.014037364,183.91554,0.52823377,442.09952,441.5713,1.0009204,-3.0680084,0.0009204026,1.2301314,50.914566,1.0,-50.914566,1.0,0.110142566,434.12097,193.52534,67.29755,0.9276457,0.044850275,2.0808723,0.97230816,0.023597552,183.8917,0.9469918,443.31555,442.36856,0.003701269865036011,349.0740828514099,45000
1.0008968,-2.989263,0.00089677895,1.151386,49.16411,1.0,-49.16411,1.0,0.09804066,22.710768,-6.3568673,146.02307,432.24445,196.04979,69.21221,0.22198783,0.04448314,2.413364,0.9773349,0.05191386,183.988,1.0150362,441.44385,440.4288,1.0009145,-3.048221,0.00091446645,1.2103443,51.172867,1.0,-51.172867,1.0,0.09579331,432.38086,182.98384,69.068794,0.2774112,0.046414215,1.9309267,0.9774844,0.023408867,183.99554,0.6597686,441.58063,440.92087,0.0036995409965515135,367.5717942714691,50000
