training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.0809135,-2.6971211,0.08091363,0.8592443,7.0878143,0.9999999,-7.0878143,1.0,0.99902344,0.0234375,0.005870062,-10.370516,-10.375706,-5.0623,0.12336811,0.012738012,6.0870325e-06,0.063528255,-0.016362552,0.44372064,1.0799049,-2.6634974,0.07990492,0.8256203,7.0795364,0.99999994,-7.0795364,1.0,0.99902344,0.0234375,0.005973964,-10.535313,-10.540526,-5.201932,0.11866078,0.012574894,5.49781e-07,0.03368455834388733,168.42280912399292,5000
1.074409,-2.4803047,0.07440914,0.6424278,7.2336707,0.9999998,-7.2336707,1.0,0.99902344,0.03125,0.005388872,-11.570614,-11.577563,-4.461114,0.17465974,0.019158706,3.551641e-05,0.032082662,-0.032892518,0.52975446,1.0758344,-2.5278187,0.075834565,0.68994176,7.309389,0.9999998,-7.309389,1.0,0.99902344,0.026367188,0.0055103945,-11.4900465,-11.496754,-4.629138,0.1833179,0.018370366,2.2104352e-05,0.0019740442752838134,178.2930359840393,10000
1.0741067,-2.4702291,0.07410687,0.6323521,7.280655,0.9999999,-7.280655,1.0,0.99902344,0.041015625,0.0053796796,-11.874489,-11.881722,-4.474647,0.2779255,0.021270785,1.580474e-05,0.008006553,-0.009873265,0.17270456,1.0753468,-2.5115635,0.0753469,0.6736865,7.550785,0.9999999,-7.550785,1.0,0.99902344,0.033203125,0.0053902543,-12.010355,-12.017656,-4.5416265,0.27343237,0.020007564,1.7447584e-05,0.0019769875049591066,188.17797827720642,15000
1.0737468,-2.4582322,0.073746964,0.6203552,7.3000298,0.9999998,-7.3000298,1.0,0.99902344,0.043945312,0.005327197,-11.951834,-11.959268,-4.347895,0.31959605,0.02391925,2.4333507e-05,0.014317708,-0.01281658,0.22081566,1.0739797,-2.465998,0.07397994,0.62812096,7.2501845,0.9999998,-7.2501845,1.0,0.99902344,0.03515625,0.0054060323,-11.997892,-12.005227,-4.4955587,0.2660847,0.022131633,7.322245e-06,0.001977857494354248,198.06727147102356,20000
1.0731223,-2.4374137,0.07312241,0.59953684,7.1578956,0.9999999,-7.1578956,1.0,0.99902344,0.05078125,0.0053601516,-12.020052,-12.027415,-4.485673,0.19217606,0.021530364,1.5410816e-06,0.012941639,-0.012521902,0.23279317,1.0748445,-2.4948196,0.07484459,0.6569427,7.394086,0.9999999,-7.394086,1.0,0.99902344,0.045898438,0.00529157,-12.10459,-12.112145,-4.375613,0.22038841,0.02337129,9.464577e-05,0.0019756582736968993,207.9455680847168,25000
1.0744416,-2.4813879,0.074441634,0.6435108,7.234646,0.9999999,-7.234646,1.0,0.99902344,0.044921875,0.0052556396,-12.126174,-12.133733,-4.3931537,0.2655213,0.023133317,2.88077e-06,0.015890487,-0.01980137,0.35913545,1.0743494,-2.4783163,0.074349485,0.64043915,7.2705336,0.9999999,-7.2705336,1.0,0.99902344,0.03515625,0.005301267,-12.102176,-12.109772,-4.329912,0.3798296,0.02594383,3.8597136e-05,0.0019764481544494628,217.8278136253357,30000
1.0728248,-2.4275022,0.07282507,0.58962524,7.085966,0.9999998,-7.085966,1.0,0.99902344,0.04296875,0.0052408245,-12.126635,-12.134231,-4.3549175,0.5190236,0.023514275,0.00012815639,0.013067316,-0.014522635,0.24097483,1.0745527,-2.4850898,0.07455269,0.6472127,7.4197397,0.99999994,-7.4197397,1.0,0.99902344,0.04296875,0.0052342303,-12.254688,-12.262435,-4.3300333,0.44516966,0.023529807,4.562315e-05,0.0019811989784240722,227.73381304740906,35000
1.0736902,-2.4563413,0.073690236,0.6184641,7.416318,0.99999994,-7.416318,1.0,0.99902344,0.04296875,0.005253534,-12.275608,-12.283336,-4.3702784,0.21374148,0.022947479,7.709994e-06,0.014002375,-0.019236626,0.31380337,1.0726088,-2.4202993,0.07260898,0.58242214,7.1964145,0.9999998,-7.1964145,1.0,0.99902344,0.043945312,0.005264937,-12.231382,-12.239081,-4.3544207,0.31606236,0.02347697,3.5026935e-06,0.0019790246963500976,237.6289415359497,40000
1.0731268,-2.437564,0.07312691,0.59968686,7.343725,0.9999999,-7.343725,1.0,0.99902344,0.041015625,0.0052887853,-12.151562,-12.159173,-4.365822,0.22465616,0.022731379,2.333158e-05,0.018581964,-0.01543053,0.25707483,1.0738584,-2.4619493,0.07385848,0.6240722,7.324279,0.99999994,-7.324279,1.0,0.9990244,0.041992188,0.0053221984,-12.186205,-12.193834,-4.3805976,1.9742199,0.02715693,4.780292e-06,0.0019791228294372557,247.524560213089,45000
1.0748285,-2.494287,0.07482861,0.65640986,7.4674644,0.9999999,-7.4674644,1.0,0.99902344,0.038085938,0.005216773,-12.315685,-12.323489,-4.3326044,0.7983815,0.023813287,2.5249824e-06,0.033603862,-0.037143372,0.54392076,1.074224,-2.474134,0.07422401,0.6362568,7.464899,0.99999994,-7.464899,1.0,0.99902344,0.037109375,0.005303355,-12.116055,-12.123608,-4.390038,0.3706079,0.023167698,1.1324802e-05,0.0019795181274414064,257.4221558570862,50000
