training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
2.128017,-2.128017,0.2901397,1.0,0.3968001,-0.5285808,6.844886,2.1010857,-2.1010857,0.2632085,1.0,0.027273167753219606,136.3658561706543,5000
2.086817,-2.086817,0.24893993,1.0,0.42293268,-0.37992492,6.661467,2.090845,-2.090845,0.25296807,1.0,0.0008622780799865722,140.6772518157959,10000
2.0584579,-2.0584579,0.22058097,1.0,0.35974935,-0.33454818,7.361759,2.0799246,-2.0799246,0.24204765,1.0,0.0008559742927551269,144.9571282863617,15000
2.063042,-2.063042,0.22516486,1.0,0.16249397,-0.13084927,2.9293125,2.0599546,-2.0599546,0.22207744,1.0,0.0008210834980010986,149.0625503063202,20000
2.0498693,-2.0498693,0.2119923,1.0,0.15286817,-0.18233167,3.746468,2.0407453,-2.0407453,0.2028685,1.0,0.0008202200889587402,153.16365551948547,25000
2.0394793,-2.0394793,0.2016023,1.0,0.267055,-0.15603544,3.4032125,2.0451102,-2.0451102,0.20723327,1.0,0.0008154666423797608,157.24099397659302,30000
2.0289586,-2.0289586,0.19108164,1.0,0.20818852,-0.44456026,6.3914795,2.0439725,-2.0439725,0.20609553,1.0,0.0008147266387939454,161.31463193893433,35000
2.0298665,-2.0298665,0.19198936,1.0,0.27214754,-0.19747993,4.5067663,2.0395153,-2.0395153,0.2016383,1.0,0.0008168678283691406,165.39897561073303,40000
2.0296183,-2.0296183,0.19174108,1.0,0.34854662,-0.18185438,4.8739214,2.03576,-2.03576,0.19788286,1.0,0.0008174595355987549,169.48627829551697,45000
2.0313544,-2.0313544,0.19347742,1.0,0.27173582,-0.3059996,4.612978,2.021532,-2.021532,0.18365489,1.0,0.0008184168815612792,173.57836818695068,50000
2.0237155,-2.0237155,0.18583821,1.0,0.34886026,-0.2118643,4.5789022,2.0274682,-2.0274682,0.18959099,1.0,0.0008207200527191162,177.68197298049927,55000
2.0391452,-2.0391452,0.20126817,1.0,0.24184841,-0.64572215,8.618425,2.0349214,-2.0349214,0.19704431,1.0,0.0008157991409301758,181.7609739303589,60000
