training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0080451,-2.681679,0.008045036,0.843802,14.727671,1.0,-14.727671,1.0,0.54906136,0.0,-11.154959,-24.789743,5.613687,-5.142216,80.84926,-0.27592567,-10.693966,-24.032505,0.01778215,1.0080886,-2.6961937,0.008088581,0.8583166,14.527171,1.0,-14.527171,1.0,0.54112387,0.0,-11.036234,-24.771889,0.10443103,-10.587837,-24.011894,0.015648365,0.034518527412414554,172.59265303611755,5000
1.0078768,-2.625615,0.007876845,0.78773785,20.605368,0.9999999,-20.605368,1.0,0.8445202,0.0,-14.816357,-40.60766,8.400592,-9.724688,134.37564,0.17098944,-14.339424,-40.008553,0.048627455,1.0081196,-2.7110338,0.008133101,0.8731568,21.626642,0.99998647,-21.62635,1.0,0.6171937,0.0,-14.7750025,-40.64615,0.2931685,-14.304689,-40.04819,0.042466544,0.001640726089477539,180.7962884902954,10000
1.0083206,-2.775961,0.008327883,0.938084,23.078836,0.9999927,-23.07867,1.0,0.35636157,0.0,-16.070873,-52.813305,4.2988634,-5.4997115,83.86332,0.55044746,-15.540153,-52.338528,0.05232304,1.0083758,-2.7928936,0.008378681,0.9550164,23.851856,0.9999971,-23.851788,1.0,0.6840929,0.0,-15.869673,-52.85078,0.32779932,-15.3340645,-52.351406,0.044850383,0.0016385751247406006,188.98916959762573,15000
1.0084108,-2.803627,0.008410881,0.9657501,24.221931,0.99999994,-24.221931,1.0,0.5695125,0.0,-17.243536,-61.883934,7.1600614,-7.8873663,101.90408,0.5537489,-16.68595,-61.475086,0.04972001,1.0084386,-2.8128638,0.008438591,0.9749867,24.406395,0.99999994,-24.406395,1.0,0.5398386,0.0,-16.659878,-61.843124,0.37908322,-16.123022,-61.453865,0.05396946,0.0016379935741424561,197.17914199829102,20000
1.0084444,-2.8148482,0.008444544,0.9769711,24.036877,0.9999999,-24.036877,1.0,0.2960972,0.0,-17.199583,-67.9984,4.6958675,-5.4773116,75.08018,0.32038984,-16.837543,-67.6966,0.04891475,1.0085815,-2.8605115,0.008581535,1.0226345,25.135944,0.99999994,-25.135944,1.0,0.4252144,0.0,-18.190239,-66.74728,5.5427423,-17.840775,-66.37007,0.05774389,0.0016381657123565674,205.369975566864,25000
1.0084125,-2.8041852,0.008412556,0.96630824,25.007109,0.99999994,-25.007109,1.0,0.41150162,0.0,-17.70823,-70.60481,5.1849732,-4.7690344,90.17504,0.406426,-17.251266,-70.2952,0.07143006,1.0082994,-2.7664545,0.008299364,0.92857766,26.10199,0.99999994,-26.10199,1.0,0.55843824,0.0,-17.575119,-70.882904,0.49961847,-17.079872,-70.59269,0.07420486,0.0016378909111022949,213.5594346523285,30000
1.0082731,-2.7577255,0.008273177,0.9198487,25.07513,0.99999994,-25.07513,1.0,1.0424354,0.0,-18.198887,-72.32086,12.246294,-14.435422,186.11055,0.4293236,-17.669977,-72.097374,0.05691287,1.0084524,-2.8175216,0.0084525645,0.9796446,25.849585,0.9999999,-25.849585,1.0,1.1167126,0.0,-17.186367,-71.69505,0.72025776,-16.638931,-71.40232,0.051793918,0.0016360113143920898,221.73949575424194,35000
1.0083942,-2.7980862,0.008394258,0.960209,26.306438,1.0,-26.306438,1.0,0.43781567,0.0,-17.047935,-73.17936,5.3843412,-7.6347013,107.97249,0.66236734,-16.538023,-72.9337,0.05852189,1.0082288,-2.7429824,0.008228947,0.9051055,24.33252,0.9999999,-24.33252,1.0,0.41481084,0.0,-17.834944,-73.43311,1.1813291,-17.324518,-73.19323,0.06229762,0.0016385641098022462,229.93232083320618,40000
1.0084271,-2.8090532,0.00842716,0.971176,26.136688,0.99999994,-26.136688,1.0,0.2950103,0.0,-17.799969,-73.57888,3.1399846,-3.5343847,53.52151,0.29438087,-17.269447,-73.29407,0.051857967,1.0083271,-2.7757435,0.008327231,0.9378666,26.158016,0.99999994,-26.158016,1.0,0.37593925,0.0,-17.92001,-74.48707,0.31304356,-17.407036,-74.22978,0.05176554,0.0016373281478881836,238.11896634101868,45000
1.0084143,-2.8047373,0.008414212,0.9668602,25.836607,1.0,-25.836607,1.0,0.29759336,0.0,-17.447968,-74.91927,5.7446184,-8.131786,105.16209,0.43570793,-16.922102,-74.66535,0.047192045,1.0082932,-2.76439,0.0082931705,0.9265129,26.073563,0.99999994,-26.073563,1.0,0.31499684,0.0,-17.619865,-74.06642,0.69573617,-17.14694,-73.818756,0.04399194,0.0016363032341003417,246.3004870414734,50000
