training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
37.665756,0.08640827,-2.3186257,0.4807486,1.0,4.4614463,-4.3868675,79.602486,0.20902422,-11.501196,-27.45552,0.07392579,37.275295,0.08731153,-2.3009453,0.4630682,1.0,0.16559216,-11.543473,-27.380743,0.069245934,0.033162357330322266,165.81180262565613,5000
62.851273,0.13125692,-2.3161976,0.47832072,1.0,10.817944,-10.59974,190.78842,-0.00030167773,-16.164345,-44.823776,0.18091176,58.45302,0.07638346,-2.3764832,0.5386063,1.0,0.040490866,-16.1834,-45.26752,0.19313705,0.0013786427497863769,172.70502257347107,10000
76.807495,0.18503565,-2.3426645,0.50478727,1.0,4.197069,-4.2191205,93.10428,0.0829251,-18.360191,-59.174477,0.16980198,69.345825,0.13840926,-2.3643427,0.52646565,1.0,0.06045468,-17.927258,-58.820976,0.17125091,0.0013694241523742677,179.55214858055115,15000
76.62513,0.13269943,-2.3606877,0.5228106,1.0,3.834873,-3.7482538,84.39954,0.089455046,-20.25275,-70.60674,0.17525809,79.559006,0.1254377,-2.3722544,0.5343776,1.0,0.057584167,-19.313637,-70.56752,0.16659342,0.001378001117706299,186.44215941429138,20000
78.88432,0.12777603,-2.3727803,0.5349033,1.0,3.4961853,-4.194574,93.31079,0.04135391,-20.119675,-79.29432,0.2393396,75.3244,0.11206803,-2.3804219,0.5425451,1.0,0.7400086,-21.551872,-79.25592,0.26244384,0.0013767885208129883,193.32610774040222,25000
84.03841,0.15294436,-2.3798501,0.5419731,1.0,3.115148,-3.0974631,76.01604,0.07225303,-21.024418,-87.21121,0.1911543,88.22831,0.15359654,-2.364353,0.52647597,1.0,0.23702927,-20.848225,-86.975876,0.20744216,0.0013688796043395996,200.1705105304718,30000
88.76907,0.19960527,-2.342647,0.50477,1.0,11.584724,-12.059583,207.45479,0.2613395,-20.821325,-91.99243,0.42304337,81.228195,0.13337223,-2.4085555,0.5706783,1.0,0.16237248,-19.72092,-92.4439,0.4082296,0.0013721704959869384,207.03136825561523,35000
82.94028,0.16474374,-2.3957832,0.5579061,1.0,11.281717,-11.448393,218.42004,0.25407228,-19.76978,-96.293274,0.25909305,89.96939,0.18311395,-2.3762727,0.5383958,1.0,0.117841244,-20.681,-96.5001,0.2543539,0.001375183391571045,213.90729069709778,40000
90.50275,0.19456661,-2.3789325,0.5410555,1.0,4.3408456,-4.347116,84.64867,0.0828476,-20.275517,-96.81412,0.1895178,89.6647,0.18848853,-2.3714204,0.5335432,1.0,0.18310413,-20.544498,-97.85628,0.24448298,0.0013708715915679932,220.7616536617279,45000
90.84221,0.18469176,-2.3773937,0.53951675,1.0,7.824657,-7.9608836,141.16965,0.19766462,-20.155533,-99.83872,0.14981067,89.95776,0.19528213,-2.3475032,0.50962615,1.0,0.2225515,-20.23225,-100.192345,0.14844142,0.0013711230754852295,227.61727499961853,50000
85.30011,0.15242289,-2.3517299,0.51385283,1.0,4.841187,-6.0369663,88.79243,0.15679276,-21.623661,-102.85843,0.18750656,83.572,0.1533162,-2.3611906,0.5233136,1.0,0.18905275,-20.44241,-101.99385,0.19263753,0.001377700138092041,234.50578045845032,55000
86.66551,0.14691071,-2.3898964,0.5520195,1.0,3.5339801,-5.1489162,92.42327,0.5241073,-19.173271,-100.85534,0.26037806,88.32215,0.17627585,-2.3479457,0.5100687,1.0,0.30331385,-20.105907,-102.59435,0.25081113,0.001369072151184082,241.35114645957947,60000
84.00367,0.19754134,-2.3305182,0.4926414,1.0,3.148001,-3.8732402,77.09347,0.25654063,-19.457264,-97.71736,0.20127201,82.160934,0.15536593,-2.3560328,0.5181558,1.0,0.39329562,-22.85363,-97.40903,0.16151594,0.0013767234325408936,248.23476886749268,65000
92.1588,0.1861842,-2.3453257,0.5074487,1.0,3.696938,-3.069819,81.10736,0.3952558,-21.916023,-99.62665,0.23669752,82.29438,0.10591055,-2.3894618,0.5515847,1.0,0.16075784,-20.64092,-99.31212,0.22720525,0.0013732479095458984,255.1010136604309,70000
82.88775,0.14500904,-2.367148,0.5292709,1.0,2.6014876,-2.6681428,60.218765,0.106073715,-20.678925,-98.12693,0.25729614,90.01764,0.20650874,-2.333257,0.49537987,1.0,0.24818563,-20.91296,-99.20329,0.2511772,0.0013747601509094239,261.97481989860535,75000
77.6517,0.13756284,-2.3479338,0.5100566,1.0,2.2708733,-3.1194487,84.335915,0.21040305,-20.969154,-101.6151,0.21467862,77.88433,0.17686518,-2.3425071,0.50462997,1.0,0.13450277,-19.530315,-101.53519,0.23090237,0.0013673921585083007,268.811785697937,80000
88.49673,0.17605677,-2.365005,0.527128,1.0,6.4019947,-5.406103,110.34395,0.049408082,-19.925331,-103.37308,0.24083607,86.98392,0.13420677,-2.339211,0.50133395,1.0,0.09793124,-20.087072,-102.43135,0.22310516,0.0013714559555053712,275.6690709590912,85000
81.11728,0.17249936,-2.3497267,0.51184976,1.0,2.7209187,-2.3366737,57.052006,0.1903048,-22.551659,-98.45895,0.19062375,82.83773,0.1682387,-2.3465612,0.50868416,1.0,0.32061446,-20.908197,-97.50697,0.20156573,0.0013689544200897216,282.5138487815857,90000
82.37161,0.1608094,-2.3618255,0.5239484,1.0,13.162258,-11.302118,191.60402,0.1564146,-22.00092,-99.046326,0.21009082,86.347244,0.19296661,-2.337086,0.49920896,1.0,0.088682264,-20.322517,-96.5573,0.20789063,0.0013681910037994386,289.3548092842102,95000
78.96534,0.18666378,-2.349482,0.5116051,1.0,8.3637,-8.27236,131.1074,0.28735495,-20.798256,-96.54441,0.2110583,80.464485,0.17254384,-2.347966,0.510089,1.0,0.23109695,-21.571497,-93.792786,0.20803253,0.001372011137008667,296.21487069129944,100000
82.19217,0.14623675,-2.3534863,0.51560926,1.0,3.5486383,-3.1047215,73.52547,0.20823824,-20.201908,-97.16174,0.20000868,85.79323,0.1751486,-2.3376353,0.49975824,1.0,0.19132985,-20.795969,-97.94891,0.2047346,0.017055423593521118,381.4919972419739,105000
80.93363,0.13798365,-2.3587475,0.52087057,1.0,2.8882232,-4.915822,89.89886,0.42615187,-21.990944,-94.26166,0.2447364,84.00371,0.1608024,-2.3454828,0.5076057,1.0,0.22145948,-21.477718,-93.387085,0.25592515,0.0014106941699981689,388.54547333717346,110000
