training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0008861,-2.9539433,0.000886183,1.1160661,220.89691,0.99999994,-220.89691,1.0,1.4612048,32.715363,-109.05132,839.5704,186.00757,771.9152,364.11285,0.42397657,10.161222,13.84943,2.8248196,0.07858672,7.5666275,-76.50785,186.3859,262.89374,1.0008675,-2.8917158,0.0008675148,1.0538388,214.17874,1.0,-214.17874,1.0,1.4641922,191.19931,784.1327,357.5205,0.27924836,11.163277,14.698399,2.8588345,0.06392625,7.568935,-84.11567,191.57776,275.69342,0.04009131965637207,200.45660948753357,5000
1.000884,-2.9469357,0.0008840808,1.1090586,116.75406,0.99999994,-116.75406,1.0,0.5414794,94.321365,-56.79738,819.5786,302.50165,560.25726,206.66103,0.11518184,1.784507,6.6505423,1.5286064,0.031736765,32.745544,-56.79738,304.13892,360.9363,1.000921,-3.0698986,0.00092096964,1.2320217,122.81105,1.0,-122.81105,1.0,0.5746211,306.85046,594.55994,202.09322,0.094795465,1.8331025,7.115303,1.5560639,0.035166588,32.754204,-58.404102,308.48816,366.89227,0.003705501127243042,218.98412942886353,10000
1.0008868,-2.9561057,0.0008868318,1.1182288,62.298912,1.0,-62.298912,1.0,0.3056012,13.222077,-20.142107,301.0027,394.398,323.4581,107.98092,0.061084744,0.23438153,3.36094,1.0263138,0.052417215,109.241455,-20.142107,399.86008,420.0022,1.0009058,-3.0191865,0.000905756,1.1813095,64.59624,1.0,-64.59624,1.0,0.28479102,392.11563,301.2138,110.30196,0.049031865,0.23553666,3.3209805,1.0050925,0.0095163435,109.26563,-20.272781,397.57892,417.85168,0.003700395679473877,237.48611330986023,15000
1.0008626,-2.8754954,0.0008626486,1.0376183,46.0142,1.0,-46.0142,1.0,0.1582152,57.502052,-14.98544,387.5407,423.77734,211.2367,77.82183,0.0,0.064468645,2.850465,0.8563056,0.016313298,248.98819,-3.6025214,436.22678,439.82928,1.0008684,-2.8947048,0.0008684115,1.0568278,45.48161,1.0,-45.48161,1.0,0.17032802,423.8897,220.25005,77.722336,0.1548697,0.052493732,2.249814,0.86353457,0.012180539,249.00957,-0.62096304,436.34018,436.96115,0.003699918031692505,255.98571276664734,20000
1.0008701,-2.9004955,0.00087014865,1.0626185,44.618523,1.0,-44.618523,1.0,0.1943137,37.131153,-16.955982,352.7861,423.2115,233.85037,78.40752,0.043207444,0.051050685,2.256202,0.85663456,0.022943854,261.66046,-0.2749226,436.2945,436.56943,1.0008763,-2.9210699,0.000876321,1.083193,46.760536,1.0,-46.760536,1.0,0.17923152,421.89764,220.41136,79.7373,0.12403707,0.05575651,2.6175222,0.8538417,0.0,261.67392,-1.5063281,434.98135,436.48767,0.0037046420097351074,274.5089280605316,25000
1.0008681,-2.8935306,0.00086805923,1.0556536,45.509964,1.0,-45.509964,1.0,0.13038982,29.558933,-8.27961,204.72757,422.0121,231.86696,79.646866,0.098755024,0.04254853,2.6193192,0.84021014,0.041223776,261.8258,1.9509873,435.10336,433.15237,1.000871,-2.903327,0.00087099813,1.06545,47.512363,1.0,-47.512363,1.0,0.13844144,423.01706,220.14812,78.61955,0.030312242,0.04897529,2.3727489,0.87452143,0.019586757,261.8117,0.26828158,436.10764,435.83936,0.0037011508464813232,293.0146872997284,30000
1.000853,-2.843098,0.0008529294,1.005221,44.376713,1.0,-44.376713,1.0,0.13096577,14.533995,-8.295309,160.34311,424.07605,229.21024,77.507095,0.119337335,0.044959012,2.2272162,0.8487054,0.01625927,261.9764,1.3206201,437.17487,435.85425,1.0008913,-2.9712305,0.0008913692,1.1333535,46.74578,1.0,-46.74578,1.0,0.12975127,423.17087,233.0661,78.46052,0.031113898,0.049327053,2.475524,0.8469683,0.03471729,261.9548,0.17628185,436.2686,436.09232,0.0037005103111267088,311.51725220680237,35000
1.0008664,-2.887919,0.00086637563,1.0500417,47.936165,1.0,-47.936165,1.0,0.13829464,34.803394,-12.367772,255.88152,422.33527,222.79178,79.30877,0.20584819,0.046796836,2.9769208,0.8495415,0.0242014,261.71384,0.83831257,435.42096,434.58264,1.0008454,-2.8180497,0.00084541494,0.98017263,44.04773,1.0,-44.04773,1.0,0.12900466,424.7536,222.39374,76.834335,0.15653385,0.050657652,2.0234377,0.85019034,0.012735314,261.72083,-0.17212111,437.83963,438.01175,0.003701658821105957,330.0255513191223,40000
1.000864,-2.880011,0.0008640034,1.0421342,47.597794,1.0,-47.597794,1.0,0.12520671,11.16282,-23.025682,173.07706,426.21936,222.0626,75.3443,0.03945718,0.051185083,2.3291132,0.87408984,0.034608755,261.97314,-0.31045964,439.31802,439.62848,1.0008695,-2.8984332,0.00086952996,1.0605562,47.63845,1.0,-47.63845,1.0,0.11425182,423.42633,206.23679,78.178604,0.16658433,0.042339645,2.0059566,0.86827934,0.0072260057,261.95218,2.0066469,436.52396,434.5173,0.0036976056098937987,348.5135850906372,45000
1.0008548,-2.849337,0.00085480115,1.0114602,47.340435,1.0,-47.340435,1.0,0.10982935,21.572733,-4.6968546,171.13591,423.6225,216.40752,77.99095,0.024958232,0.05026013,2.1769524,0.8582969,0.03626367,261.92447,-0.0681343,436.71872,436.78687,1.0008471,-2.8234816,0.0008470445,0.9856045,46.433174,1.0,-46.433174,1.0,0.11339608,424.16788,212.69426,77.42812,0.042322814,0.04973143,1.9911654,0.85640454,0.0,261.9313,0.070347175,437.26443,437.1941,0.003699020195007324,367.00869584083557,50000
