group,algorithm,seed_count,final_step,final_mean,final_std
antmaze_medium_explore,crl,1,1000000,0.1,0.0
antmaze_medium_explore,gcbc,1,1000000,0.016,0.0
antmaze_medium_explore,gciql,1,1000000,0.11200000000000002,0.0
antmaze_medium_explore,gcivl,1,1000000,0.12400000000000003,0.0
antmaze_medium_explore,hiql,1,1000000,0.17200000000000001,0.0
antmaze_medium_explore,qrl,1,1000000,0.0,0.0
antmaze_medium_navigate,crl,1,1000000,0.9559999999999998,0.0
antmaze_medium_navigate,gcbc,1,1000000,0.27999999999999997,0.0
antmaze_medium_navigate,gciql,1,1000000,0.74,0.0
antmaze_medium_navigate,gcivl,1,1000000,0.588,0.0
antmaze_medium_navigate,hiql,1,1000000,0.9559999999999998,0.0
antmaze_medium_navigate,qrl,1,1000000,0.844,0.0
antmaze_medium_stitch,crl,1,1000000,0.404,0.0
antmaze_medium_stitch,gcbc,1,1000000,0.54,0.0
antmaze_medium_stitch,gciql,1,1000000,0.348,0.0
antmaze_medium_stitch,gcivl,1,1000000,0.508,0.0
antmaze_medium_stitch,hiql,1,1000000,0.9359999999999999,0.0
antmaze_medium_stitch,qrl,1,1000000,0.704,0.0
antsoccer_arena_navigate,crl,1,1000000,0.23600000000000004,0.0
antsoccer_arena_navigate,gcbc,1,1000000,0.039999999999999994,0.0
antsoccer_arena_navigate,gciql,1,1000000,0.476,0.0
antsoccer_arena_navigate,gcivl,1,1000000,0.56,0.0
antsoccer_arena_navigate,hiql,1,1000000,0.6279999999999999,0.0
antsoccer_arena_navigate,qrl,1,1000000,0.184,0.0
antsoccer_arena_stitch,crl,1,1000000,0.008,0.0
antsoccer_arena_stitch,gcbc,1,1000000,0.2,0.0
antsoccer_arena_stitch,gciql,1,1000000,0.024,0.0
antsoccer_arena_stitch,gcivl,1,1000000,0.236,0.0
antsoccer_arena_stitch,hiql,1,1000000,0.16,0.0
antsoccer_arena_stitch,qrl,1,1000000,0.012,0.0
cube_single_play,crl,1,1000000,0.148,0.0
cube_single_play,gcbc,1,1000000,0.10400000000000001,0.0
cube_single_play,gciql,1,1000000,0.6880000000000001,0.0
cube_single_play,gcivl,1,1000000,0.54,0.0
cube_single_play,hiql,1,1,0.0,0.0
cube_single_play,qrl,1,1000000,0.032,0.0
humanoidmaze_medium_navigate,crl,1,500000,0.5519999999999999,0.0
humanoidmaze_medium_navigate,gcbc,1,1000000,0.10400000000000001,0.0
humanoidmaze_medium_navigate,gciql,1,1000000,0.27999999999999997,0.0
humanoidmaze_medium_navigate,gcivl,1,1000000,0.27199999999999996,0.0
humanoidmaze_medium_navigate,qrl,1,1000000,0.088,0.0
humanoidmaze_medium_stitch,crl,1,500000,0.42400000000000004,0.0
humanoidmaze_medium_stitch,gcbc,1,1000000,0.27999999999999997,0.0
humanoidmaze_medium_stitch,gciql,1,1000000,0.144,0.0
humanoidmaze_medium_stitch,gcivl,1,1000000,0.15999999999999998,0.0
humanoidmaze_medium_stitch,qrl,1,1000000,0.15200000000000002,0.0
pointmaze_medium,crl,1,1000000,0.22400000000000003,0.0
pointmaze_medium,gcbc,1,1000000,0.11600000000000002,0.0
pointmaze_medium,gciql,1,1000000,0.5199999999999999,0.0
pointmaze_medium,gcivl,1,1000000,0.8240000000000001,0.0
pointmaze_medium,hiql,1,1000000,0.656,0.0
pointmaze_medium,qrl,1,1000000,0.9400000000000001,0.0
pointmaze_medium_stitch,crl,1,1000000,0.0,0.0
pointmaze_medium_stitch,gcbc,1,1000000,0.24000000000000005,0.0
pointmaze_medium_stitch,gciql,1,1000000,0.284,0.0
pointmaze_medium_stitch,gcivl,1,1000000,0.588,0.0
pointmaze_medium_stitch,hiql,1,1000000,0.9119999999999999,0.0
pointmaze_medium_stitch,qrl,1,1000000,0.604,0.0
